N	3gram	Bakhtin_fo_1	VerxiiNi
1	вместе с тем	2	8
2	с одной стороны	2	7
3	с точки зрения	2	6
4	во всяком случае	1	6
5	в том числе	4	5
6	до сих пор	3	5
7	друг с другом	1	5
8	для того чтобы	5	5
9	о том что	1	4
10	том числе и	2	4
11	но все же	2	4
12	к тому же	2	4
13	главным образом в	1	3
14	так же как	2	3
15	в связи с	5	3
16	в том что	2	3
17	с тем и	1	2
18	но все это	1	2
19	друг на друга	2	2
20	в этом отношении	3	2
21	и для того	1	2
22	в значительной мере	1	2
23	может быть и	2	2
24	по сравнению с	2	2
25	но вместе с	1	2
26	между этими двумя	3	2
27	то же время	9	2
28	с самого начала	2	2
29	он не имеет	1	2
30	той или иной	2	2
31	в то же	6	2
32	и в этом	1	2
33	и в сущности	2	1
34	и того же	5	1
35	и все же	1	1
36	в широком смысле	2	1
37	и путь к	1	1
38	лишь то что	1	1
39	одном и том	1	1
40	по отношению к	3	1
41	имеем в виду	1	1
42	в самом деле	1	1
43	связан и с	1	1
44	одного и того	5	1
45	которой нет ничего	1	1
46	в соответствии с	2	1
47	же время он	1	1
48	а следовательно и	1	1
49	представлены и в	1	1
50	и в то	5	1
51	до известной степени	1	1
52	принципиально отличается от	1	1
53	сами по себе	1	1
54	в одном и	1	1
55	особенно важное значение	1	1
56	того же материала	1	1
57	с тем что	1	1
58	совершенно ясно что	1	1
59	совершенно так же	1	1
60	жизни то есть	2	1
61	этими двумя моментами	1	1
62	те же что	1	1
63	в xvii веке	2	1
64	совершенно иной характер	1	1
65	не имеет ни	1	1
66	в данном случае	1	1
67	но в то	1	1
68	тот факт что	1	1
69	смысле этого слова	1	1
70	и том же	1	1
71	в отличие от	2	1
72	что в таком	2	1
73	с нашей точки	3	1
74	все более и	1	1
75	мы уже говорили	3	1
76	друг к другу	2	1
77	что касается до	1	1
78	сих пор не	1	1
79	не может быть	3	1
80	но по существу	2	1
81	что происходит в	1	1
82	в то время	3	1
83	все эти элементы	1	1
84	так и в	1	1
85	в свою очередь	1	1
86	и у них	1	1
87	более и более	1	1
88	что и у	1	1
89	нашей точки зрения	3	1
90	мы имеем в	1	1
91	между собой поэтому	1	1
92	том что все	1	1
93	старости и смерти	1	1
94	же что и	2	1
95	все эти особенности	1	1
96	закономерности этого мира	1	1
97	бросающееся в глаза	1	1
98	так как по	1	1
99	в себе не	1	1
