N	3gram	Vinokur_St_3	Mirosoze
1	не может быть	5	8
2	для того чтобы	1	4
3	его отношение к	1	4
4	до сих пор	2	3
5	к тому что	2	3
6	от того что	1	3
7	и в этом	2	3
8	а не в	1	2
9	и той же	1	2
10	как и всегда	1	2
11	тут у него	1	2
12	потому что он	2	2
13	может быть назван	2	2
14	но это не	3	2
15	у нас не	1	2
16	на этом пути	1	2
17	нас не было	1	2
18	о том что	4	2
19	одной и той	1	2
20	в том что	11	2
21	и всегда у	1	1
22	потому что в	1	1
23	том что он	1	1
24	сойти с ума	1	1
25	только тогда когда	2	1
26	с точки зрения	4	1
27	для себя и	1	1
28	можно найти элементы	1	1
29	сам по себе	1	1
30	его не интересовала	1	1
31	у него есть	2	1
32	но и в	2	1
33	между тем как	2	1
34	в этом отношении	4	1
35	на то что	3	1
36	на почве этого	1	1
37	тем что выше	1	1
38	не потому что	1	1
39	но и это	1	1
40	что это за	2	1
41	его отношении к	1	1
42	ни на что	1	1
43	в этом направлении	1	1
44	для того же	1	1
45	что у него	1	1
46	но так как	1	1
47	и сам он	1	1
48	чем у пушкина	1	1
49	не может жить	1	1
50	и народ в	1	1
51	на протяжении всего	1	1
52	между народом и	1	1
53	той или иной	1	1
54	не означает что	1	1
55	на самом деле	1	1
56	в конце концов	3	1
57	у него было	1	1
