N	4gram	Bakhtin_fo_1	DiskursI
1	в то же время	6	4
2	с одной стороны и	2	2
3	дело в том что	2	2
4	одного и того же	5	2
5	одно и то же	3	2
6	в одно и то	3	1
7	предъявляемых к данному положению	1	1
8	жизненной формы определенного положения	1	1
9	многослойным и разносоставным в	1	1
10	нем разделились ядро и	1	1
11	разделились ядро и оболочка	1	1
12	в нем разделились ядро	1	1
13	весьма существенную роль в	1	1
14	ядро и оболочка внешнее	1	1
15	специфически построенный образ человека	1	1
16	требований предъявляемых к данному	1	1
17	здесь как и в	1	1
18	ни в чем не	2	1
19	человека стал многослойным и	1	1
20	и оболочка внешнее и	1	1
21	одном и том же	1	1
22	образ человека проходящего свой	1	1
23	совокупность требований предъявляемых к	1	1
24	построенный образ человека проходящего	1	1
25	и разносоставным в нем	1	1
26	стал многослойным и разносоставным	1	1
27	в том что в	1	1
28	и образ умершего сливаются	1	1
29	включает в себя и	1	1
30	одних и тех же	2	1
31	проходящего свой жизненный путь	1	1
32	идеальный образ определенной жизненной	1	1
33	в той или иной	1	1
34	образ человека стал многослойным	1	1
35	оболочка внешнее и внутреннее	1	1
36	время становления и роста	1	1
37	и в то же	4	1
38	и то же время	3	1
39	в том числе и	2	1
40	идеал и образ умершего	1	1
41	разносоставным в нем разделились	1	1
42	образ определенной жизненной формы	1	1
43	определенной жизненной формы определенного	1	1
44	новый специфически построенный образ	1	1
45	человека проходящего свой жизненный	1	1
