1	состоит в том что	2	3
2	в том что он	1	3
3	в том что оно	1	2
4	заключается в том что	4	2
5	в силу того что	1	2
6	и в самом деле	1	2
7	а с другой стороны	2	2
8	одного и того же	2	2
9	с этой точки зрения	1	1
10	в собственном смысле слова	1	1
11	именно в силу того	1	1
12	можно было бы назвать	1	1
13	совершенно прав когда указывает	1	1
14	одно и то же	3	1
15	что с точки зрения	1	1
16	в последней части романа	1	1
17	сводится к тому что	2	1
18	в этом отношении и	1	1
19	не что иное как	2	1
20	я имею в виду	1	1
21	никак не может быть	1	1
