N	4gram	Bakhtin_Pr_3	Formalny
1	в то же время	12	5
2	не может быть и	1	3
3	может быть и речи	1	3
4	и в то же	5	3
5	в этом отношении очень	1	2
6	но тем не менее	1	1
7	может быть даже и	1	1
8	может быть речь лишь	1	1
9	ни в чем не	2	1
10	и во всяком случае	1	1
11	и прежде всего в	1	1
12	же степени как и	1	1
13	и дело идет лишь	1	1
14	или во всяком случае	1	1
15	быть речь лишь о	1	1
16	то же время не	2	1
17	все более и более	1	1
18	один и тот же	1	1
19	сводится к тому чтобы	2	1
20	как раз и не	1	1
21	в большей или меньшей	1	1
22	не чем иным как	1	1
23	во всяком случае в	1	1
24	в такой же степени	2	1
25	но в то же	3	1
26	новых точек зрения не	1	1
27	дело идет лишь о	2	1
28	тем что он есть	1	1
29	и понять его нельзя	1	1
30	большей или меньшей степени	1	1
31	одну в высшей степени	1	1
