N	2gram	Medvedev_V_1	Tragedij
1	и в	26	18
2	в романе	4	10
3	в году	6	9
4	в этом	26	9
5	не только	25	8
6	он сам	2	7
7	достоевский в	1	7
8	может быть	22	7
9	как бы	5	7
10	и не	19	7
11	но в	2	6
12	и его	6	6
13	в образе	2	6
14	же время	5	6
15	что он	4	6
16	у него	6	6
17	то же	10	5
18	все же	5	5
19	это не	7	5
20	как и	7	5
21	несмотря на	1	5
22	в то	6	5
23	в дальнейшем	1	5
24	так и	5	5
25	не может	17	5
26	у достоевского	1	5
27	он всегда	1	4
28	еще не	2	4
29	в себе	6	4
30	в целом	4	4
31	в этой	4	4
32	в нем	6	4
33	об этом	9	4
34	том что	8	4
35	и что	1	4
36	но и	10	4
37	и даже	2	4
38	прежде всего	13	4
39	так же	3	4
40	но это	1	4
41	все это	10	4
42	что в	10	4
43	и все	1	4
44	то что	6	4
45	достоевского в	1	3
46	и он	2	3
47	отнюдь не	3	3
48	как в	1	3
49	в своем	8	3
50	и как	3	3
51	все эти	6	3
52	то есть	1	3
53	должно быть	2	3
54	о чем	2	3
55	с ее	1	3
56	и сам	1	3
57	жизнь и	1	3
58	с ним	1	3
59	в его	14	3
60	один из	5	3
61	романа и	1	3
62	уже в	1	3
63	для него	8	3
64	в конце	3	3
65	как будто	1	3
66	как это	12	3
67	в основном	5	3
68	вряд ли	1	2
69	что эти	1	2
70	а как	2	2
71	из своих	2	2
72	по замыслу	1	2
73	никогда не	4	2
74	и то	1	2
75	он был	1	2
76	не был	1	2
77	с его	3	2
78	отношение к	1	2
79	как говорит	5	2
80	перед нами	4	2
81	говорит что	1	2
82	в самом	4	2
83	бы и	6	2
84	жизнью и	1	2
85	по словам	8	2
86	он не	2	2
87	что она	2	2
88	что все	3	2
89	его в	3	2
90	знает что	1	2
91	к области	1	2
92	ни в	1	2
93	с тем	3	2
94	в ходе	1	2
95	что говорит	3	2
96	вопрос о	1	2
97	одном из	3	2
98	не в	6	2
99	что этот	1	2
100	этими двумя	1	2
101	одна из	4	2
102	не имеет	1	2
103	в русском	1	2
104	не могут	7	2
105	он и	2	2
106	к тому	4	2
107	и это	1	2
108	в ее	4	2
109	данном случае	1	2
110	что делать?	1	2
111	еще в	1	2
112	как у	2	2
113	о том	10	2
114	в глаза	1	2
115	что и	3	2
116	даже на	1	2
117	бросается в	1	2
118	в том	15	2
119	который в	1	2
120	между этими	1	2
121	и ее	4	2
122	человеческой личности	1	2
123	и детей	1	2
124	уже не	1	2
125	в виде	1	2
126	в известной	1	2
127	в одном	4	2
128	друг друга	1	2
129	не случайно	1	2
130	тем что	1	2
131	писателя и	2	2
132	чем он	1	2
133	как же	1	2
134	говорит о	7	2
135	было в	2	2
136	в данном	1	2
137	и дети	1	2
138	о его	2	2
139	еще раз	1	2
140	от всего	1	2
141	потому что	1	2
142	личности и	1	2
143	отцы и	1	2
144	состоит из	1	2
145	в частности	11	2
146	только о	2	2
147	по поводу	2	2
148	во сне	21	2
149	в таком	1	2
150	а между	1	1
151	ту же	2	1
152	также что	2	1
153	и т	23	1
154	одним из	5	1
155	например в	3	1
156	в сфере	2	1
157	с жизнью	1	1
158	человека и	3	1
159	что наконец	1	1
160	сам по	1	1
161	и др	9	1
162	самом деле	1	1
163	силы и	1	1
164	замысел его	1	1
165	неожиданное появление	1	1
166	это и	6	1
167	же по	1	1
168	и есть	5	1
169	старика и	1	1
170	смотреть на	1	1
171	для достижения	1	1
172	не вполне	2	1
173	на себя	1	1
174	по определению	1	1
175	даже самый	2	1
176	в виду	4	1
177	не способен	1	1
178	подчеркнуть что	2	1
179	в ней	2	1
180	свободен только	1	1
181	между собой	1	1
182	быть в	1	1
183	и служит	1	1
184	в чем	2	1
185	и мира	1	1
186	во всех	6	1
187	но не	2	1
188	но как	3	1
189	значение и	1	1
190	некоторые черты	1	1
191	и достоевский	2	1
192	за пределы	1	1
193	далее следует	1	1
194	к сожалению	2	1
195	это самое	1	1
196	чем же	4	1
197	в истории	1	1
198	опирается на	1	1
199	вот как	4	1
200	замысел и	2	1
201	романа или	1	1
202	что ее	1	1
203	мысль о	2	1
204	и наконец	2	1
205	первоначальный замысел	1	1
206	вызова и	1	1
207	роль играет	1	1
208	то в	1	1
209	в которой	2	1
210	при создании	3	1
211	не получил	1	1
212	он в	1	1
213	бы не	2	1
214	материал своих	1	1
215	таков второй	2	1
216	всего необходимо	1	1
217	общеизвестно что	1	1
218	этого образа	1	1
219	как он	2	1
220	если он	1	1
221	в братьях	1	1
222	и если	1	1
223	что без	2	1
224	идей и	3	1
225	три года	2	1
226	этом свидетельствует	1	1
227	так сказать	2	1
228	творца и	1	1
229	тем дело	1	1
230	и еще	1	1
231	не значит	1	1
232	сознает свою	1	1
233	его самого	1	1
234	не как	1	1
235	и по	3	1
236	на этом	1	1
237	таким образом	31	1
238	а затем	2	1
239	же не	1	1
240	для характеристики	1	1
241	им как	2	1
242	в другом	2	1
243	самого автора	1	1
244	в ход	1	1
245	не нашел	1	1
246	лишь в	2	1
247	это было	1	1
248	заключается в	2	1
249	в них	4	1
250	он же	5	1
251	достоевского и	2	1
252	этого не	1	1
253	со своими	1	1
254	которой он	1	1
255	года и	2	1
256	обратимся к	1	1
257	все герои	1	1
258	или вообще	1	1
259	и при	5	1
260	в своей	4	1
261	взгляд на	1	1
262	почти не	1	1
263	в котором	3	1
264	знает и	1	1
265	не столько	2	1
266	в черновиках	1	1
267	понятно что	1	1
268	значение для	1	1
269	начнем с	2	1
270	но он	1	1
271	непосредственного чувства	1	1
272	по себе	2	1
273	тому что	6	1
274	перед собою	1	1
275	не менее	2	1
276	вплоть до	2	1
277	и художественной	1	1
278	что эта	1	1
279	она не	3	1
280	самого начала	1	1
281	того как	1	1
282	и непосредственного	2	1
283	виду не	1	1
284	например что	3	1
285	но только	1	1
286	этой схемы	1	1
287	только не	2	1
288	это мы	3	1
289	судя по	1	1
290	только нет	1	1
291	в самой	1	1
292	или как	1	1
293	говорит в	3	1
294	к ней	1	1
295	он пытался	1	1
296	для нас	1	1
297	связи с	4	1
298	затем начинает	1	1
299	что на	1	1
300	в области	2	1
301	ли это	2	1
302	он вполне	1	1
303	один раз	1	1
304	могут быть	5	1
305	быть свободен	1	1
306	что оно	3	1
307	не случайное	1	1
308	признается что	1	1
309	что при	2	1
310	утверждать что	4	1
311	э по	2	1
312	в применении	1	1
313	образы и	5	1
314	как мы	1	1
315	того чтобы	3	1
316	стихах и	1	1
317	всего этого	1	1
318	является чисто	1	1
319	своих романов	1	1
320	роль в	4	1
321	эдгара по	1	1
322	можно было	2	1
323	же говорит	4	1
324	и опирается	1	1
325	по сравнению	1	1
326	за этими	1	1
327	воображение всегда	1	1
328	действия не	1	1
329	говорил что	2	1
330	а по	1	1
331	ситуации и	1	1
332	вот почему	4	1
333	это происходит	1	1
334	на вопрос	2	1
335	творческий процесс	15	1
336	после того	1	1
337	с того	1	1
338	приступил к	1	1
339	а также	1	1
340	толстой и	1	1
341	чтобы не	2	1
342	нет это	1	1
343	от него	1	1
344	по слову	1	1
345	доходит до	1	1
346	между тем	5	1
347	ума и	2	1
348	отметить что	2	1
349	говорит он	1	1
350	в форме	3	1
351	романа в	1	1
352	о своих	1	1
353	для самого	1	1
354	того что	3	1
355	процесс у	1	1
356	мы видим	1	1
357	согласиться с	1	1
358	с ними	4	1
359	ответа на	1	1
360	что даже	2	1
361	только в	7	1
362	как нечто	1	1
363	приходит в	1	1
364	с одной	2	1
365	вот что	9	1
366	эти образы	1	1
367	есть в	1	1
368	носит в	2	1
369	каким же	1	1
370	мы бы	1	1
371	только на	1	1
372	дело с	1	1
373	не знать	1	1
374	свидетельствует о	1	1
375	которых можно	1	1
376	отцов и	1	1
377	и чисто	1	1
378	в понятие	1	1
379	рассказывает о	4	1
380	достоевский говорил	1	1
381	был прав	1	1
382	в общем	2	1
383	говорит по	1	1
384	характерно что	1	1
385	и их	3	1
386	всяком случае	1	1
387	могло бы	2	1
388	т п	9	1
389	не для	1	1
390	к ним	1	1
391	братьях карамазовых	1	1
392	случайное и	1	1
393	во взглядах	1	1
394	идет в	1	1
395	характерны для	1	1
396	и вместе	1	1
397	в особенности	2	1
398	июля года	1	1
399	даже не	2	1
400	развития в	1	1
401	именно в	2	1
402	что не	3	1
403	естественно что	2	1
404	не было	7	1
405	в образах	1	1
406	попал в	2	1
407	на этот	1	1
408	а не	7	1
409	не быть	2	1
410	перед сном	1	1
411	в связи	3	1
412	более чем	1	1
413	н толстой	1	1
414	вместе с	7	1
415	цитата из	1	1
416	и особенно	1	1
417	и потому	2	1
418	в духе	1	1
419	если так	1	1
420	сравнению с	1	1
421	необходимо подчеркнуть	1	1
422	в той	1	1
423	применении к	1	1
424	при которой	1	1
425	это его	1	1
426	от природы	1	1
427	и судьбы	1	1
428	пародия на	2	1
429	с этой	1	1
430	еще к	1	1
431	и от	3	1
432	романа с	1	1
433	его воображение	1	1
434	в книге	2	1
435	исключительное значение	1	1
436	не является	5	1
437	о совершенно	1	1
438	причем в	1	1
439	в результате	5	1
440	это как	1	1
441	а к	1	1
442	о нем	1	1
443	из себя	2	1
444	бы в	3	1
445	у которого	1	1
446	но у	1	1
447	конце концов	2	1
448	хотя бы	19	1
449	только что	4	1
450	сказал что	1	1
451	в стихах	1	1
452	к ее	1	1
453	героя и	1	1
454	необходимое условие	1	1
455	из тех	1	1
456	совершенно не	1	1
457	т е	18	1
458	в кругу	1	1
459	есть и	1	1
460	к этой	1	1
461	это в	1	1
462	это понятие	1	1
463	во всяком	1	1
