N	2gram	Tiupa_Lite_2	Sotsiolo
1	в том	10	5
2	в этом	9	5
3	и только	2	3
4	более чем	1	3
5	как же	1	3
6	для нас	2	3
7	не только	8	3
8	и в	19	3
9	о литературе	1	3
10	не в	4	3
11	в его	4	3
12	за пределы	1	2
13	но и	10	2
14	конце концов	1	2
15	и мы	1	2
16	было бы	2	2
17	к которому	1	2
18	исторической жизни	1	2
19	в смысле	1	2
20	должна быть	1	2
21	далеко не	1	2
22	в результате	2	2
23	том что	7	2
24	в частности	4	2
25	то что	7	2
26	и что	2	2
27	еще не	2	2
28	только как	1	2
29	ведь это	2	2
30	таким образом	1	2
31	это и	1	2
32	отношению к	3	2
33	в конце	2	2
34	что в	4	2
35	может быть	17	2
36	как бы	2	2
37	по отношению	4	2
38	очевидно что	2	2
39	по существу	3	2
40	то же	12	2
41	крайней мере	2	1
42	я и	4	1
43	право на	3	1
44	быть не	2	1
45	наконец в	2	1
46	даже в	4	1
47	а вот	1	1
48	в мире	9	1
49	границы и	1	1
50	сказать и	1	1
51	в этой	3	1
52	тому что	1	1
53	отнюдь не	4	1
54	более не	1	1
55	с другой	8	1
56	ни одно	1	1
57	его в	1	1
58	с ним	2	1
59	это не	1	1
60	именно в	1	1
61	в чем	1	1
62	все же	2	1
63	один из	4	1
64	в то	9	1
65	его собственная	1	1
66	кто не	1	1
67	тем же	3	1
68	и наконец	2	1
69	еще и	1	1
70	только то	1	1
71	а с	1	1
72	тем что	4	1
73	и как	3	1
74	что он	3	1
75	не пошел	1	1
76	прежде всего	4	1
77	как живой	1	1
78	в них	2	1
79	так и	7	1
80	не было	2	1
81	одной стороны	6	1
82	но только	2	1
83	и не	11	1
84	никогда не	3	1
85	он по	1	1
86	мы не	4	1
87	своего ремесла	1	1
88	это как	2	1
89	же время	9	1
90	ничего не	3	1
91	между собою	1	1
92	любой литературный	1	1
93	и о	1	1
94	все эти	1	1
95	как и	10	1
96	бы в	1	1
97	для этого	2	1
98	иначе говоря	1	1
99	не желаем	1	1
100	в сущности	3	1
101	и его	3	1
102	в этих	1	1
103	место в	1	1
104	связи с	1	1
105	хотя бы	2	1
106	в целом	2	1
107	для наших	1	1
108	не может	9	1
109	в своей	1	1
110	не от	1	1
111	а в	3	1
112	тех кто	4	1
113	о том	2	1
114	в области	4	1
115	и потому	1	1
116	же это	1	1
117	в него	2	1
118	но именно	1	1
119	никак не	1	1
120	в строгом	1	1
121	из тех	2	1
122	исторической поэтики	1	1
123	словесного творчества	1	1
124	на что	1	1
125	все то	1	1
126	столь же	5	1
127	нет а	1	1
128	он говорит	1	1
129	должно было	1	1
130	в конечном	5	1
131	что это	1	1
132	у которых	1	1
133	вовсе не	2	1
134	ли не	4	1
135	на отдельные	1	1
136	же самое	1	1
137	с одной	7	1
138	но не	5	1
139	у него	2	1
140	в данном	3	1
141	но как	2	1
142	и по	1	1
143	что на	1	1
144	конечном счете	5	1
145	не меняет	1	1
146	по крайней	2	1
147	поэта и	1	1
148	и будет	1	1
149	в каждом	2	1
150	они не	1	1
