N	2gram	Bakhtin_Fr_3	Analitik
1	не только	13	22
2	и в	40	18
3	как и	11	14
4	так и	3	14
5	в этом	15	14
6	и его	17	13
7	но и	11	13
8	том что	4	12
9	в качестве	1	12
10	и не	13	12
11	в частности	3	12
12	при этом	3	11
13	то есть	18	10
14	а в	3	10
15	как бы	3	10
16	что в	12	9
17	может быть	9	9
18	а не	5	9
19	в том	8	9
20	со своей	1	8
21	с его	3	8
22	своего рода	2	8
23	и даже	4	8
24	в первой	2	8
25	по отношению	3	7
26	как раз	5	7
27	в его	13	7
28	с другой	2	7
29	но не	2	7
30	отношению к	2	7
31	и самого	1	6
32	еще не	3	6
33	в этой	3	6
34	он не	9	6
35	в их	4	6
36	не в	1	6
37	для него	5	6
38	о том	4	6
39	в начале	3	6
40	того же	2	5
41	той же	8	5
42	мы имеем	1	5
43	в самом	6	5
44	лишь в	2	5
45	в мире	4	5
46	или иной	2	5
47	в сущности	9	5
48	что и	3	5
49	между тем	3	5
50	в конце	3	5
51	никогда не	1	5
52	и т.п	10	5
53	в свою	1	5
54	прежде всего	16	5
55	такого рода	3	5
56	в результате	1	5
57	другой стороны	1	5
58	представляет собой	1	5
59	принадлежит к	1	4
60	и на	8	4
61	что он	2	4
62	отнюдь не	1	4
63	в своем	7	4
64	и как	3	4
65	и к	3	4
66	таким образом	10	4
67	по себе	1	4
68	тем самым	1	4
69	в одном	7	4
70	не менее	2	4
71	свою очередь	1	4
72	в пределах	1	4
73	и сам	2	4
74	внимание на	1	4
75	можно сказать	2	4
76	в заключительной	1	4
77	во втором	1	4
78	далеко не	2	4
79	о чем	2	4
80	в данном	4	4
81	все же	2	4
82	перед нами	1	4
83	здесь и	5	3
84	который в	2	3
85	мы не	2	3
86	в целом	2	3
87	уже в	2	3
88	здесь не	3	3
89	о смерти	1	3
90	но как	2	3
91	что они	1	3
92	как в	3	3
93	с этим	2	3
94	из этих	2	3
95	роль в	4	3
96	подобно тому	1	3
97	в году	5	3
98	без исключения	1	3
99	то же	7	3
100	его в	1	3
101	ко второму	1	3
102	точки зрения	2	3
103	все это	4	3
104	в то	6	3
105	дело не	3	3
106	только не	1	3
107	ничего не	1	3
108	же время	6	3
109	той или	2	3
110	в ее	3	3
111	данном случае	2	3
112	в произведении	1	3
113	так в	4	3
114	жизнь и	1	3
115	путь к	1	3
116	именно в	2	3
117	было бы	4	3
118	дело с	1	3
119	на языке	1	3
120	во всем	3	3
121	этом отношении	2	3
122	были бы	1	3
123	в особенности	5	3
124	еще и	2	3
125	что не	1	3
126	не было	5	3
127	однако и	1	3
128	не всегда	1	3
129	он и	7	3
130	как это	1	3
131	к жизни	2	3
132	к этому	6	3
133	только к	1	2
134	отношения к	1	2
135	например в	2	2
136	самом деле	3	2
137	от своей	1	2
138	в первом	1	2
139	по преимуществу	2	2
140	есть не	1	2
141	в поход	1	2
142	а для	1	2
143	и он	1	2
144	в ней	4	2
145	во всех	6	2
146	со всеми	5	2
147	свою жизнь	1	2
148	в общем	1	2
149	иметь дело	1	2
150	отличие от	3	2
151	это и	2	2
152	и той	2	2
153	когда он	1	2
154	и каждое	1	2
155	но в	8	2
156	бы и	1	2
157	все эти	8	2
158	в тех	1	2
159	в себе	3	2
160	после чего	1	2
161	не могла	1	2
162	так сказать	5	2
163	на его	2	2
164	в нем	5	2
165	не как	1	2
166	и вот	2	2
167	свое время	1	2
168	одной и	2	2
169	и по	1	2
170	значительной степени	2	2
171	могла бы	1	2
172	это не	2	2
173	в них	9	2
174	с тем	1	2
175	несмотря на	1	2
176	или точнее	1	2
177	с точки	1	2
178	в отличие	3	2
179	от его	1	2
180	но они	1	2
181	даже в	4	2
182	вплоть до	3	2
183	дело в	2	2
184	одна из	3	2
185	судя по	1	2
186	по своей	1	2
187	углом зрения	1	2
188	представляется нам	2	2
189	в себя	1	2
190	в дальнейшем	2	2
191	те же	5	2
192	не с	1	2
193	поэтому в	2	2
194	приобщается к	1	2
195	начале этого	1	2
196	об этом	3	2
197	произведения как	1	2
198	и здесь	4	2
199	в значительной	3	2
200	в форме	2	2
201	один из	4	2
202	обе эти	1	2
203	только в	3	2
204	и ее	2	2
205	с одной	1	2
206	все они	1	2
207	для всех	1	2
208	с нею	2	2
209	всяком случае	1	2
210	нуждается в	3	2
211	не для	1	2
212	тем что	3	2
213	который не	1	2
214	и прежде	3	2
215	в романе	15	2
216	говорит о	1	2
217	там где	3	2
218	связь с	6	2
219	не может	3	2
