N	2gram	Vinokur_Ku_2	OGranits
1	и в	23	13
2	и его	3	12
3	прежде всего	8	9
4	может быть	15	8
5	не может	9	8
6	и не	16	8
7	в его	5	7
8	и их	1	7
9	и пр	8	7
10	точки зрения	14	7
11	только в	5	6
12	как бы	4	6
13	не только	20	6
14	то что	9	6
15	мы должны	2	6
16	таким образом	5	6
17	языковых средств	1	5
18	языка и	8	5
19	все же	7	5
20	но ведь	1	5
21	в поэзии	1	5
22	с точки	8	5
23	в процессе	3	5
24	хотя бы	9	5
25	мы не	1	4
26	слов и	2	4
27	тех пор	2	4
28	еще и	2	4
29	на фоне	3	4
30	но в	11	4
31	до тех	1	4
32	вопроса о	6	4
33	мы можем	1	4
34	то же	6	4
35	лишь в	5	4
36	в своей	2	4
37	в школе	1	4
38	было бы	15	4
39	все это	5	4
40	лингвистического вкуса	1	4
41	в каждом	1	4
42	вряд ли	4	3
43	и то	5	3
44	в ее	1	3
45	самом деле	9	3
46	в пределах	4	3
47	так и	4	3
48	понятно что	1	3
49	говорить о	4	3
50	в их	2	3
51	пор пока	1	3
52	по отношению	1	3
53	общего с	1	3
54	с этим	3	3
55	в которой	1	3
56	в себе	1	3
57	языка как	2	3
58	к одному	1	3
59	не как	2	3
60	в одном	1	3
61	так как	15	3
62	здесь мы	2	3
63	но и	7	3
64	слово в	1	3
65	как и	2	3
66	и уже	1	3
67	точку зрения	1	3
68	что же	5	3
69	не в	8	3
70	да и	6	3
71	но для	3	3
72	и для	2	3
73	никогда не	2	3
74	и все	2	3
75	превращается в	2	3
76	что в	10	3
77	в искусстве	1	3
78	поставить вопрос	2	3
79	ничего общего	1	3
80	смысле слова	2	2
81	и др	1	2
82	данном случае	2	2
83	зависимости от	5	2
84	роль в	2	2
85	мы уже	1	2
86	те же	3	2
87	есть не	1	2
88	мог бы	1	2
89	подойти к	1	2
90	не исчерпывается	1	2
91	если бы	12	2
92	что иное	1	2
93	иное как	1	2
94	не что	1	2
95	с самого	1	2
96	себе что	1	2
97	в ней	3	2
98	речи не	3	2
99	а также	3	2
100	в чем	1	2
101	между тем	6	2
102	явлений и	1	2
103	в общем	1	2
104	нуждается в	2	2
105	в языке	10	2
106	лингвистики в	1	2
107	что они	2	2
108	вслед за	1	2
109	к сожалению	1	2
110	и следовательно	2	2
111	материалом для	2	2
112	может иметь	1	2
113	как в	3	2
114	в данном	4	2
115	в этом	18	2
116	но так	2	2
117	в том	19	2
118	тот же	5	2
119	с ними	2	2
120	в действительности	1	2
121	или иного	2	2
122	от этого	2	2
123	которое мы	1	2
124	в целом	1	2
125	и тем	5	2
126	же слово	1	2
127	все эти	12	2
128	с одной	2	2
129	уже в	3	2
130	кажется что	1	2
131	в нем	4	2
132	связанные с	2	2
