N	4gram	Medvedev_F_3	Marksizm
1	в то же время	7	8
2	бы то ни было	4	4
3	одного и того же	1	4
4	на самом же деле	2	3
5	и пр и пр	1	3
6	ни в коем случае	1	2
7	в собственном смысле слова	1	2
8	все более и более	1	2
9	в неразрывной связи с	1	2
10	какой бы то ни	1	2
11	с нашей точки зрения	1	2
12	одним и тем же	2	2
13	с точки зрения самого	2	2
14	отнюдь не сводится к	1	1
15	в данной социальной группе	2	1
16	мы можем сказать что	1	1
17	так а не иначе	1	1
18	в том числе и	1	1
19	эта проблема может быть	1	1
20	на самом деле конечно	1	1
21	в том что это	1	1
22	смысле этого слова и	1	1
23	одно в высшей степени	1	1
24	бы оно ни было	1	1
25	еще одно в высшей	1	1
26	и не может быть	3	1
27	высказывание в то же	1	1
28	следующей главе глава третья	1	1
29	не может быть понято	3	1
30	с той или иной	1	1
31	в жизни и в	1	1
32	высказывания и его конкретной	1	1
33	сами по себе в	1	1
34	по себе в своей	1	1
35	в следующей главе глава	1	1
36	высказывание в том числе	1	1
37	дело в том что	1	1
38	каких бы то ни	1	1
39	от высказывания и его	1	1
40	в коем случае не	1	1
