1	одно и то же	3	5
2	что в то время	1	3
3	одним и тем же	3	3
4	в том что оно	1	2
5	одной и той же	2	2
6	в том что он	1	2
7	в очень редких случаях	1	1
8	вместе с тем мы	1	1
9	на то что оно	1	1
10	с одной стороны и	1	1
11	и в самом деле	1	1
12	относится к содержанию как	1	1
13	в том смысле в	1	1
14	в то время как	1	1
15	сводится к тому что	2	1
16	один и тот же	1	1
17	заключается в том что	4	1
18	потому что мы видим	1	1
19	только до тех пор	1	1
20	только в очень редких	1	1
21	но вместе с тем	1	1
22	в силу того что	1	1
23	в том что ее	1	1
