1	в то же	5	9
2	то же время	5	9
3	не может быть	8	7
4	с одной стороны	2	6
5	в том что	4	5
6	в конечном счете	5	5
7	с другой стороны	8	4
8	но с другой	1	3
9	в этом отношении	13	3
10	в данном случае	1	3
11	в том чтобы	2	3
12	по отношению к	7	3
13	говоря уже о	1	2
14	в том числе	2	2
15	и т п	9	2
16	одно и то	1	2
17	еще в году	1	2
18	не говоря уже	1	2
19	подобно тому как	2	2
20	о том что	3	2
21	по крайней мере	2	2
22	и то же	1	2
23	не могут быть	4	1
24	имеем дело с	1	1
25	одной стороны и	2	1
26	сознания на то	1	1
27	этой точки зрения	2	1
28	и не может	2	1
29	конечном счете вся	1	1
30	для него в	2	1
31	все то что	1	1
32	после того как	1	1
33	так и от	2	1
34	что он не	1	1
35	есть познанная необходимость	1	1
36	даже и не	1	1
37	в конце концов	2	1
38	же время она	1	1
39	нет и не	1	1
40	в стихах и	1	1
41	и в то	3	1
42	в этой системе	1	1
43	т п это	1	1
44	в свою очередь	1	1
45	можно было бы	2	1
46	приводит к тому	1	1
47	читателя зрителя слушателя	1	1
48	к тому что	3	1
49	с этой точки	1	1
50	в соответствии с	1	1
51	вместе с тем	3	1
52	но и он	2	1
53	для того чтобы	2	1
54	не имеет ничего	1	1
55	в ноябре года	1	1
56	то же самое	1	1
57	том числе и	2	1
58	не в том	1	1
59	в частности в	2	1
60	из которых он	1	1
61	творческий процесс не	1	1
62	органической связи с	1	1
63	той или иной	1	1
64	всех этих и	2	1
65	а в том	1	1
66	мы имеем дело	1	1
67	ничего общего с	1	1
68	в этом же	1	1
69	имеет ничего общего	1	1
70	во всех этих	2	1
71	но даже и	1	1
72	только то что	2	1
73	не только не	2	1
74	в одном из	3	1
