N	4gram	Trubetskoy_1	Marksizm
1	в то же время	2	8
2	одного и того же	3	4
3	бы то ни было	2	4
4	одно и то же	1	3
5	в том что он	1	2
6	то же самое что	1	1
7	мы уже говорили что	1	1
8	уже о том что	1	1
9	говоря уже о том	1	1
10	дело в том что	1	1
11	тем не менее в	1	1
12	в том числе и	1	1
13	во всяком случае за	1	1
14	не только по отношению	1	1
15	и не может быть	1	1
16	только по отношению к	1	1
17	в этом последнем случае	1	1
18	общи у него с	1	1
19	а может быть и	1	1
20	но для того чтобы	1	1
21	вступить в противоречие с	1	1
22	из поколения в поколение	1	1
23	приводит к тому что	1	1
24	в широком смысле слова	1	1
25	несмотря на то что	2	1
26	не говоря уже о	1	1
