N	2gram	Losev_Prob_1	Poddanst
1	не только	17	17
2	и в	32	14
3	и не	31	12
4	в области	2	11
5	в этом	19	10
6	в отношении	3	10
7	в качестве	2	9
8	но в	14	9
9	то же	10	9
10	в том	9	9
11	в пределах	1	8
12	хотя бы	3	8
13	только в	7	7
14	в то	6	7
15	xix века	1	6
16	было бы	8	6
17	но и	9	6
18	в смысле	1	6
19	в которых	3	5
20	с другой	3	5
21	может быть	14	5
22	и пр	4	5
23	а я	1	5
24	не в	4	5
25	и о	8	5
26	на путях	1	4
27	если бы	4	4
28	а также	4	4
29	в своем	5	4
30	и к	1	4
31	как бы	14	4
32	и если	6	4
33	том что	12	4
34	не может	8	4
35	и потому	2	4
36	в котором	5	4
37	по себе	15	4
38	что в	12	4
39	мы должны	5	4
40	же в	4	4
41	а в	4	4
42	то что	42	4
43	и т	11	3
44	настоящий момент	1	3
45	мы не	2	3
46	сводится к	1	3
47	между тем	2	3
48	это не	6	3
49	хотя и	6	3
50	и как	6	3
51	тот же	1	3
52	в себе	15	3
53	в нем	13	3
54	сами по	3	3
55	в россии	1	3
56	для того	8	3
57	заключается в	1	3
58	прежде всего	10	3
59	с тем	5	3
60	россии как	2	3
61	что мы	13	3
62	и без	1	3
63	с точки	3	3
64	но не	9	3
65	она есть	5	3
66	наряду с	1	3
67	могут быть	2	3
68	т е	1	3
69	тем самым	4	3
70	потому что	16	3
71	точки зрения	3	3
72	в сравнении	1	3
73	сравнении с	1	3
74	я и	2	3
75	в настоящий	1	3
76	нужно помнить	1	2
77	и это	9	2
78	отношения к	1	2
79	например в	2	2
80	в ее	3	2
81	переход от	1	2
82	и есть	6	2
83	есть не	6	2
84	начала и	1	2
85	с с	1	2
86	которую мы	1	2
87	является в	2	2
88	есть нечто	11	2
89	только это	1	2
90	которое в	1	2
91	никак не	4	2
92	не нужно	3	2
93	обстоятельство это	1	2
94	во всех	7	2
95	говорить о	6	2
96	если в	1	2
97	в общем	1	2
98	во всей	3	2
99	со стороны	1	2
100	отнюдь не	10	2
101	с этим	3	2
102	того что	7	2
103	помнить что	3	2
104	духа и	1	2
105	думать что	1	2
106	есть в	5	2
107	но о	2	2
108	в начале	1	2
109	и других	1	2
110	в его	6	2
111	из них	3	2
112	в виде	15	2
113	не к	1	2
114	в силу	1	2
115	как раз	13	2
116	в последние	1	2
117	именно как	4	2
118	и с	2	2
119	именно в	4	2
120	здесь нужно	1	2
121	и тем	13	2
122	в жизни	3	2
123	для них	2	2
124	в них	7	2
125	не было	4	2
126	а не	15	2
127	должно быть	2	2
128	в эту	2	2
129	образом на	1	2
130	не будем	2	2
131	друг другу	2	2
132	что из	1	2
133	не менее	19	2
134	все это	7	2
135	между прочим	2	2
136	не о	2	2
137	одна из	1	2
138	сколько бы	2	2
139	мысль о	1	2
140	да и	3	2
141	тем более	5	2
142	для нас	5	2
143	может и	3	2
144	как на	1	2
145	равным образом	1	1
146	также и	11	1
147	же как	2	1
148	не очень	2	1
149	определенный момент	1	1
150	и то	6	1
151	пусть не	1	1
152	тем и	2	1
153	дело касается	1	1
154	которая хотя	1	1
155	тем же	1	1
156	в определенный	2	1
157	по преимуществу	2	1
158	идет речь	1	1
159	на человеческую	1	1
160	должна быть	1	1
161	был и	1	1
162	это такое	1	1
163	на нее	1	1
164	не с	1	1
165	особенно в	2	1
166	очень далеко	1	1
167	приближением к	1	1
168	и само	1	1
169	какой она	1	1
170	бы что	1	1
171	идти в	1	1
172	для этого	3	1
173	находится в	1	1
174	оно есть	1	1
175	на себя	2	1
176	с ее	1	1
177	и ее	8	1
178	мы и	4	1
179	и здесь	6	1
180	настоящее время	3	1
181	и что	9	1
182	литературы и	4	1
183	притом в	1	1
184	еще не	9	1
185	и на	8	1
186	он был	1	1
187	виде то	1	1
188	мира а	1	1
189	и который	2	1
190	оно ни	1	1
191	с его	2	1
192	за последние	1	1
193	момента и	1	1
194	в достижении	1	1
195	прошлого не	1	1
196	чем говорить	1	1
197	не просто	23	1
198	и чем	1	1
199	них в	1	1
200	мы хотим	3	1
201	в истории	4	1
202	тем больше	1	1
203	известном смысле	1	1
204	все же	1	1
205	этой последней	1	1
206	исторического прошлого	1	1
207	вопросом о	1	1
208	мы видим	2	1
209	взывает к	1	1
210	только знак	2	1
211	более или	3	1
212	веры в	1	1
213	должен быть	1	1
214	не связаны	1	1
215	понимать что	2	1
216	может оказаться	1	1
217	в самом	6	1
218	только то	4	1
219	в условиях	1	1
220	настоящую минуту	1	1
221	но как	6	1
222	в которой	2	1
223	бы и	1	1
224	что это	3	1
225	или его	2	1
226	из этих	2	1
227	тот или	1	1
228	если мы	11	1
229	именно на	3	1
230	человека с	1	1
231	история и	1	1
232	себя в	1	1
233	в известном	1	1
234	переходит в	1	1
235	что его	3	1
236	сливаются в	3	1
237	уже в	3	1
238	во многих	2	1
239	xviii и	1	1
240	только на	4	1
241	этот вывод	1	1
242	на то	8	1
243	если он	1	1
244	но на	1	1
245	в наших	1	1
246	взятые в	2	1
247	как оно	3	1
248	в определенном	1	1
249	т д	10	1
250	выражена в	1	1
251	мы знаем	1	1
252	мир в	1	1
253	есть как	2	1
254	одно из	2	1
255	есть та	2	1
256	идеи и	1	1
257	не как	2	1
258	богов и	1	1
259	что каждая	1	1
260	друг друга	1	1
261	чтобы в	1	1
262	мы можем	4	1
263	чтобы это	1	1
264	и только	4	1
265	каждый из	1	1
266	выражается и	1	1
267	прежде чем	3	1
268	с собой	2	1
269	одно и	1	1
270	мы возьмем	2	1
271	многих других	1	1
272	бы это	1	1
273	в каждом	1	1
274	связанные с	1	1
275	или иной	5	1
276	из всех	1	1
277	на этой	2	1
278	ясно что	3	1
279	его в	6	1
280	в душе	1	1
281	везде и	1	1
282	из числа	2	1
283	было и	1	1
284	народов как	1	1
285	что не	3	1
286	в это	2	1
287	но есть	2	1
288	которая и	1	1
289	на свои	1	1
290	в настоящую	1	1
291	из нее	1	1
292	кто не	1	1
293	где он	1	1
294	далеко не	5	1
295	в этой	10	1
296	как и	3	1
297	и уже	3	1
298	с которым	1	1
299	в свете	1	1
300	бы ее	1	1
301	и я	1	1
302	но идея	1	1
303	нисколько не	3	1
304	в одно	4	1
305	и еще	3	1
306	или менее	3	1
307	как осуществление	1	1
308	бы оно	3	1
309	что если	2	1
310	и при	2	1
311	в которые	1	1
312	так же	9	1
313	и особенно	2	1
314	бесконечное количество	4	1
315	всяком случае	3	1
316	недостаточно для	1	1
317	прийти к	1	1
318	место в	1	1
319	который конечно	1	1
320	поскольку они	1	1
321	знаем что	2	1
322	бы мы	3	1
323	в данном	9	1
324	вопрос о	1	1
325	он будет	2	1
326	науки и	2	1
327	что было	1	1
328	в отдельности	4	1
329	эти последние	2	1
330	отдельности и	1	1
331	на какие	1	1
332	в прошлом	1	1
333	в процесс	1	1
334	и менее	3	1
335	ни были	1	1
336	какой угодно	1	1
337	называли себя	1	1
338	и вся	1	1
339	и очень	2	1
340	и осуществить	1	1
341	есть знак	8	1
342	узости и	1	1
343	этой области	2	1
344	и другим	2	1
345	в основном	1	1
346	россия есть	1	1
347	что эта	1	1
348	она не	2	1
349	иной раз	1	1
350	есть прежде	1	1
351	но для	3	1
352	к другим	1	1
353	тогда когда	1	1
354	этом смысле	6	1
355	она должна	1	1
356	центральную область	1	1
357	того чтобы	9	1
358	та или	1	1
359	не имеет	2	1
360	никогда не	7	1
361	и конца	1	1
362	и всегда	2	1
363	в результате	2	1
364	казалось бы	4	1
365	о котором	1	1
366	в настоящее	3	1
367	чтобы понять	3	1
368	находятся в	1	1
369	этих двух	1	1
370	они являются	1	1
371	не более	1	1
372	и притом	4	1
373	что жизнь	1	1
374	что по	1	1
375	другой стороны	3	1
376	бы за	1	1
377	только что	2	1
378	как некоего	1	1
379	в этих	3	1
380	о смысле	1	1
381	чем оно	2	1
382	составляющих ее	1	1
383	значило бы	1	1
384	нет ничего	10	1
