1	о том что	5	9
2	с точки зрения	2	8
3	в том что	2	8
4	в связи с	1	7
5	в конце концов	1	6
6	с другой стороны	2	5
7	а с другой	1	3
8	а именно в	1	3
9	и то что	2	3
10	на первом плане	1	3
11	вместе с тем	1	3
12	с одной стороны	4	3
13	в то время	1	3
14	можно сказать что	1	3
15	после того как	1	3
16	в настоящее время	1	3
17	все же не	1	3
18	людей в этом	1	2
19	но и в	2	2
20	мы находим в	1	2
21	до сих пор	3	2
22	дело в том	1	2
23	никак не может	2	2
24	мы находим и	1	2
25	античного мифа о	1	2
26	том что он	1	2
27	для того чтобы	1	2
28	по отношению к	1	2
29	не может быть	1	2
30	потому что они	1	2
31	у нас и	1	2
32	в данном случае	2	2
33	в значительной мере	1	2
34	но все же	1	2
35	и никак не	1	2
36	в средневековой литературе	1	1
37	в природе и	1	1
38	и тем же	1	1
39	человеческого рода и	1	1
40	не только в	1	1
41	и до сих	1	1
42	ни о каком	1	1
43	в античной литературе	1	1
44	а также и	2	1
45	в предисловии к	1	1
46	еще в одном	1	1
47	если мы будем	1	1
48	таким образом здесь	1	1
49	а так как	1	1
50	между тем как	1	1
51	в себе самом	1	1
52	до нас не	3	1
53	здесь вовсе не	1	1
54	и как бы	1	1
55	в большей степени	1	1
56	как мы увидим	2	1
57	в нем и	1	1
58	в одной из	1	1
59	она основана на	1	1
60	но до нас	1	1
61	нового времени в	1	1
62	сам по себе	1	1
63	этот же мотив	1	1
64	в этом отношении	3	1
65	смешиваются в одном	1	1
66	то есть только	2	1
67	хотя и в	2	1
68	девкалион и пирра	2	1
69	в большинстве случаев	4	1
70	в то же	5	1
71	в нем не	1	1
72	в самом себе	1	1
73	из земли с	1	1
74	нас не дошло	1	1
75	между небом и	1	1
76	как раз в	1	1
77	нас и нет	1	1
78	и сейчас в	1	1
79	о том как	1	1
80	в самом деле	4	1
81	для всего космоса	1	1
82	еще и до	1	1
83	то есть в	2	1
84	таким образом уже	1	1
85	и вообще на	1	1
86	в огне и	1	1
87	отношению к людям	1	1
88	людей и животных	1	1
89	в своем романе	1	1
90	то же время	5	1
91	которого мы уже	1	1
92	но в то	1	1
93	от радости что	1	1
94	то есть с	1	1
95	как и вообще	1	1
96	той или иной	1	1
97	с ним в	1	1
98	и превращается в	1	1
99	одним и тем	1	1
100	свидетельствует о том	1	1
