N	3gram	Potebnia_M_3	VLabPisa
1	и т д	3	15
2	в этом отношении	2	13
3	и т п	2	9
4	с другой стороны	4	8
5	не может быть	3	8
6	по отношению к	5	7
7	по этому поводу	1	7
8	более или менее	3	6
9	то же время	5	5
10	в то же	5	5
11	не могут быть	2	4
12	в художественном произведении	1	4
13	можно сказать что	2	4
14	равно как и	1	4
15	в том что	16	4
16	вместе с тем	4	3
17	о том что	1	3
18	к тому что	2	3
19	одной стороны и	1	2
20	в чем же	1	2
21	подобно тому как	2	2
22	до сих пор	3	2
23	что все эти	1	2
24	каждой из этих	1	2
25	только то что	1	2
26	таким образом в	1	2
27	по крайней мере	5	2
28	в том чтобы	2	2
29	с одной стороны	3	2
30	из них не	1	2
31	носит в себе	1	2
32	от того что	5	2
33	не только не	2	2
34	в каждом отдельном	1	2
35	для его художественного	1	2
36	для того чтобы	3	2
37	и главным образом	1	2
38	то все же	1	1
39	и связанное с	1	1
40	и может быть	2	1
41	бросается в глаза	1	1
42	том смысле что	1	1
43	человека и если	1	1
44	то время как	1	1
45	в самом деле	1	1
46	и в каждой	2	1
47	что для него	1	1
48	в том же	2	1
49	т д само	1	1
50	в силу того	1	1
51	художественного произведения и	1	1
52	говоря уже о	1	1
53	в таком случае	2	1
54	сами по себе	1	1
55	между собою в	1	1
56	сама по себе	2	1
57	что он не	3	1
58	но и в	4	1
59	только в том	3	1
60	вместе с этим	2	1
61	с ними в	1	1
62	в противном случае	1	1
63	как увидим ниже	1	1
64	со всех сторон	1	1
65	не подлежит сомнению	1	1
66	своего развития в	1	1
67	одно и то	5	1
68	есть то что	1	1
69	так или иначе	1	1
70	в целом и	1	1
71	того что мы	2	1
72	в данном случае	1	1
73	далеко не всегда	1	1
74	не только в	4	1
75	таким образом и	1	1
76	очевидно что не	1	1
77	противном случае он	1	1
78	то же самое	1	1
79	и то же	5	1
80	того что не	1	1
81	не об этом	1	1
82	не имели бы	1	1
83	свойственна не только	1	1
84	вне себя и	1	1
85	не в том	5	1
86	но вместе с	2	1
87	предмета в его	1	1
88	один из его	1	1
89	почти то же	2	1
90	а между тем	2	1
91	все то что	1	1
92	д само собою	1	1
93	именно в том	2	1
94	не могут иметь	1	1
95	а в том	5	1
96	у него в	1	1
97	а вместе с	1	1
98	в то время	4	1
99	не говоря уже	1	1
100	в стороне вопрос	1	1
101	в свою очередь	3	1
102	одной из этих	1	1
103	ничего общего с	1	1
104	и художественное произведение	1	1
105	между тем такая	1	1
106	образом потому что	1	1
107	идеи и образа	1	1
108	в каждой из	1	1
109	после того как	1	1
110	том что и	1	1
111	в том смысле	3	1
112	к тому же	1	1
113	могло бы быть	1	1
114	только тогда когда	7	1
115	заключает в себе	5	1
