N	3gram	Ircho_Kome_2	TeoriaLi
1	по отношению к	3	8
2	в отличие от	2	7
3	в том что	5	6
4	то же время	3	6
5	в то же	3	6
6	так и не	1	5
7	того или иного	1	5
8	более или менее	1	4
9	с другой стороны	1	3
10	тем не менее	1	3
11	в свою очередь	1	3
12	той или иной	1	3
13	в этом смысле	2	3
14	мы имеем дело	1	2
15	в соответствии с	1	2
16	с точки зрения	1	2
17	в самом начале	2	2
18	с одной стороны	2	2
19	так или иначе	3	2
20	не может быть	1	2
21	я думаю что	1	1
22	на себя внимание	5	1
23	в том числе	3	1
24	никак не может	1	1
25	в одной из	2	1
26	в целом ряде	1	1
27	и в то	1	1
28	что он не	1	1
29	бы то ни	2	1
30	друг перед другом	1	1
31	том числе и	1	1
32	точно так же	1	1
33	между тем к	1	1
34	в том случае	1	1
35	том случае если	1	1
36	даже если она	1	1
37	едва ли не	5	1
38	обращает на себя	5	1
39	в основе его	1	1
40	в первом случае	1	1
41	если говорить о	1	1
42	то ни было	2	1
43	таким образом и	1	1
44	не более чем	2	1
45	имеем дело с	1	1
46	таким же образом	1	1
47	в связи с	3	1
48	и частной жизни	1	1
49	в первую очередь	3	1
50	в то время	3	1
51	она могла бы	1	1
52	о том что	4	1
53	каждой из них	1	1
54	мере в какой	1	1
55	в большинстве случаев	1	1
56	в общественном сознании	1	1
57	как видно из	1	1
58	в котором по	1	1
59	с первых же	1	1
60	в поле зрения	2	1
61	к более или	1	1
62	для того чтобы	4	1
63	по своему происхождению	1	1
64	к тому же	10	1
