N	2gram	Tiupa_Anal_3	Russkaja
1	не может	2	22
2	и не	12	19
3	в том	9	17
4	в этом	14	17
5	и в	18	14
6	то что	2	13
7	самим собой	1	12
8	то же	3	11
9	точки зрения	3	11
10	таким образом	4	11
11	в то	3	10
12	же время	3	10
13	но и	13	10
14	в себе	2	9
15	не только	22	9
16	том что	12	9
17	с точки	2	9
18	может быть	9	9
19	во всяком	2	9
20	того чтобы	1	8
21	прежде всего	5	8
22	как на	1	8
23	самом деле	2	7
24	отнюдь не	4	7
25	к богу	1	7
26	в данном	4	7
27	к тому	6	7
28	не будет	3	7
29	о том	6	7
30	мы должны	1	7
31	если в	3	6
32	в своем	4	6
33	и к	4	6
34	с тем	2	6
35	в своих	1	6
36	если бы	1	6
37	все это	3	6
38	и для	2	6
39	для того	1	6
40	что он	4	6
41	всяком случае	2	6
42	для всех	2	6
43	для него	6	6
44	на самом	1	6
45	а между	1	5
46	вопрос о	1	5
47	и на	4	5
48	между собой	1	5
49	во всех	2	5
50	на то	1	5
51	в нем	2	5
52	при этом	11	5
53	он не	6	5
54	было бы	3	5
55	в своей	1	5
56	национальной культуре	1	5
57	никогда не	5	5
58	потому что	1	5
59	между тем	5	5
60	а потому	1	5
61	и только	1	5
62	только в	2	5
63	хотя бы	1	5
64	или иной	5	5
65	до сих	1	5
66	себя и	1	5
67	из которых	1	5
68	сих пор	1	5
69	а в	10	5
70	жизни в	1	5
71	но не	7	4
72	себя в	4	4
73	все же	4	4
74	не в	6	4
75	в этой	6	4
76	его в	3	4
77	как и	14	4
78	которой он	1	4
79	в их	6	4
80	во всем	3	4
81	а лишь	1	4
82	не могут	1	4
83	приводит к	4	4
84	в мире	5	4
85	и т.д	2	4
86	путь к	3	4
87	в его	7	4
88	лишь к	1	4
89	со стороны	9	4
90	вместе с	2	4
91	как бы	10	4
92	жизни и	1	4
93	что в	9	4
94	к этой	1	4
95	все что	1	4
96	то в	2	3
97	говорить о	3	3
98	еще не	6	3
99	он сам	1	3
100	из этих	3	3
101	что они	3	3
102	в самом	5	3
103	и по	2	3
104	в другом	1	3
105	лишь в	5	3
106	о которых	2	3
107	несмотря на	2	3
108	должно быть	1	3
109	всех этих	1	3
110	но если	1	3
111	и сейчас	1	3
112	таким же	1	3
113	том чтобы	1	3
114	одна из	2	3
115	связи с	1	3
116	той или	3	3
117	данном случае	3	3
118	собой и	1	3
119	для этого	1	3
120	сводится к	2	3
121	при котором	1	3
122	в значительной	2	3
123	что и	5	3
124	того что	1	3
125	одной из	1	3
126	в качестве	12	3
127	с нею	2	3
128	в большинстве	2	3
129	в конце	5	3
130	тем что	2	3
131	именно в	3	3
132	только к	2	3
133	не было	3	3
134	и потому	2	3
135	да и	2	3
136	этом случае	1	3
137	и как	4	3
138	все они	2	3
139	не есть	4	3
140	из этого	1	3
141	речь идет	1	2
142	говоря о	1	2
143	и есть	1	2
144	от своей	2	2
145	видеть в	2	2
146	к чему	1	2
147	на себя	2	2
148	в ней	2	2
149	в таком	1	2
150	время в	1	2
151	там и	1	2
152	по отношению	7	2
153	тогда как	20	2
154	друг от	1	2
155	сама по	2	2
156	с этим	3	2
157	по воле	3	2
158	но в	2	2
159	не можем	1	2
160	все эти	2	2
161	и тот	1	2
162	во многих	1	2
163	состоит в	4	2
164	и вот	2	2
165	факт что	1	2
