N	3gram	Medvedev_F_1	TeoriaLi
1	по отношению к	4	8
2	в отличие от	1	7
3	в том что	1	6
4	то же время	8	6
5	в то же	8	6
6	так и не	1	5
7	в данном случае	1	5
8	не сводится к	2	5
9	того или иного	2	5
10	состоит в том	1	4
11	более или менее	6	4
12	с другой стороны	1	3
13	тем не менее	1	3
14	в свою очередь	6	3
15	в этом смысле	1	3
16	по своей природе	1	2
17	всех без исключения	1	2
18	с точки зрения	13	2
19	тот или иной	1	2
20	в противном случае	1	2
21	не могло быть	1	2
22	в самом начале	1	2
23	с одной стороны	4	2
24	так или иначе	1	2
25	или иного жанра	1	2
26	и тем самым	1	2
27	не только не	2	2
28	тех или иных	1	2
29	сама по себе	2	2
30	не может быть	5	2
31	на нее как	1	1
32	и глубже чем	1	1
33	и без остатка	1	1
34	этой точки зрения	1	1
35	друг другу и	1	1
36	ни были они	1	1
37	в настоящее время	10	1
38	в том числе	1	1
39	в их отношении	1	1
40	со всех сторон	1	1
41	и свою собственную	1	1
42	смысле можно говорить	1	1
43	в целом ряде	2	1
44	и в то	1	1
45	можно говорить о	1	1
46	в искусстве не	1	1
47	бы то ни	3	1
48	соединении с художественной	2	1
49	произведения искусства в	1	1
50	том числе и	1	1
51	именно в нем	2	1
52	произведения в ее	1	1
53	литературного произведения в	1	1
54	может быть и	3	1
55	этом смысле можно	1	1
56	и исторической поэтики	1	1
57	химическом соединении с	2	1
58	в художественном произведении	2	1
59	то ни было	1	1
60	в отношении к	1	1
61	и в пределах	1	1
62	как художественное целое	1	1
63	может и должен	1	1
64	и как бы	1	1
65	с художественной идеологемой	1	1
66	в связи с	2	1
67	в первой главе	1	1
68	искусства в его	1	1
69	их отношении к	1	1
70	так же как	1	1
71	но не с	1	1
72	в химическом соединении	2	1
73	с этой точки	1	1
74	в нашем примере	1	1
75	во внешнем мире	1	1
76	в истории литературы	2	1
77	глубже чем это	1	1
78	теоретической и исторической	1	1
79	но в то	2	1
80	становления и развития	1	1
81	каждой из них	1	1
82	в большинстве случаев	2	1
83	в общественном сознании	1	1
84	та или иная	1	1
85	в том и	1	1
86	мира и его	1	1
