N	4gram	Losev_Dial_1	Formalny
1	в то же время	4	7
2	на самом же деле	1	2
3	с точки зрения самого	2	2
4	и в то же	2	2
5	мы уже знаем что	1	2
6	и тем не менее	1	1
7	дело в том что	1	1
8	с точки зрения своей	1	1
9	материала с другой стороны	1	1
10	а потому что он	1	1
11	не потому что он	1	1
12	так а не иначе	1	1
13	с другой стороны в	1	1
14	иметь в виду что	1	1
15	же самое и в	1	1
16	одной и той же	1	1
17	не может и не	2	1
18	ни в коем случае	1	1
19	с той или иной	1	1
20	в коем случае не	1	1
21	мы можем сказать что	2	1
22	то же самое и	1	1
