N	3gram	Losev_Prob_5	NovoeSre
1	не может быть	2	4
2	в наше время	1	3
3	равно как и	2	2
4	в этом смысле	3	2
5	вместе с тем	3	2
6	с одной стороны	3	2
7	с другой стороны	5	2
8	вопрос о том	1	2
9	такой же мере	1	1
10	между небом и	1	1
11	только потому что	1	1
12	в этом ничем	1	1
13	то время как	3	1
14	бог так же	1	1
15	и до сих	1	1
16	в том числе	2	1
17	и из них	1	1
18	потому что не	1	1
19	римской империи и	1	1
20	не было и	1	1
21	до сих пор	2	1
22	дня и ночи	1	1
23	о том чтобы	1	1
24	но и в	2	1
25	человек нового времени	1	1
26	том числе и	1	1
27	и для того	1	1
28	можно было бы	1	1
29	нет у него	1	1
30	может быть только	3	1
31	и не в	2	1
32	этом ничем не	1	1
33	другой же стороны	1	1
34	не только в	1	1
35	было то что	1	1
36	и потому что	1	1
37	как будто бы	3	1
38	нового времени в	1	1
39	в такой же	1	1
40	в нем не	1	1
41	в эпоху падения	1	1
42	во всяком случае	2	1
43	в самом себе	1	1
44	хотя и в	1	1
45	природе и в	1	1
46	о том что	9	1
47	в то время	3	1
48	ни в чем	1	1
49	что в новом	1	1
50	и вместе с	1	1
51	имея в виду	1	1
52	это и есть	1	1
53	не в силах	1	1
54	он погружается в	1	1
55	в новое время	3	1
56	в большинстве случаев	1	1
57	в том смысле	1	1
58	должны стремиться к	1	1
59	в том что	8	1
60	с другой же	1	1
