N	4gram	Bakhtin_Pr_1	Freidism
1	в то же время	7	4
2	бы то ни было	2	2
3	но в то же	2	2
4	в зависимости от того	1	2
5	в пределах того что	1	1
6	они и не могут	1	1
7	мы должны перейти к	1	1
8	во что бы то	1	1
9	только с точки зрения	1	1
10	это и есть та	1	1
11	и не могут быть	1	1
12	теперь мы должны перейти	1	1
13	и в нем мы	1	1
14	что бы то ни	1	1
15	в его целом то	1	1
16	бы то ни стало	1	1
17	другая точка зрения на	1	1
18	во всяком случае не	1	1
19	зависимости от того в	1	1
20	и по отношению к	1	1
