N	3gram	Potebnia_M_3	VelikijI
1	за то что	1	3
2	в первый раз	1	3
3	то что мы	2	3
4	к тому что	2	3
5	а между тем	2	2
6	то что я	2	2
7	но и в	4	2
8	том что он	2	2
9	не в силах	1	2
10	в том что	16	2
11	и т д	3	2
12	и теперь еще	1	1
13	и вообще в	1	1
14	и то и	1	1
15	в сознании и	2	1
16	и есть уже	1	1
17	по крайней мере	5	1
18	то и другое	1	1
19	вместе с тем	4	1
20	есть то что	1	1
21	имеет своим предметом	1	1
22	его связь с	1	1
23	будем говорить о	1	1
24	что мы забыли	1	1
25	потому что оно	2	1
26	не могут быть	2	1
27	в этих словах	1	1
28	с другой стороны	4	1
29	жизни и потому	2	1
30	в одно целое	1	1
31	так и в	2	1
32	в человеке и	1	1
33	после того как	1	1
34	и что в	1	1
35	как и в	2	1
36	что на том	1	1
