N	3gram	Vinokur_St_3	Literetu
1	в то же	3	9
2	то же время	3	9
3	не может быть	5	7
4	с одной стороны	2	6
5	в том что	11	5
6	с другой стороны	4	4
7	состоит в том	3	4
8	в том чтобы	2	3
9	речь идет о	1	3
10	в этом отношении	4	3
11	с точки зрения	4	3
12	о том что	4	2
13	и т п	6	2
14	по крайней мере	4	2
15	в русской литературе	1	2
16	в свое время	1	2
17	не говоря уже	1	2
18	говоря уже о	1	2
19	тем не менее	2	2
20	в этом же	1	1
21	в интересах которого	1	1
22	в одном из	1	1
23	приводит к тому	1	1
24	а то и	1	1
25	тем что в	2	1
26	не только не	1	1
27	в конце концов	3	1
28	что в ней	1	1
29	для того чтобы	1	1
30	является одним из	1	1
31	может быть это	3	1
32	а с другой	2	1
33	к тому что	2	1
34	в стихах и	1	1
35	и не является	1	1
36	то же самое	1	1
37	вместе с ним	1	1
38	как мы видели	1	1
39	этой точки зрения	1	1
40	в русской поэзии	2	1
41	можно было бы	1	1
42	на самом деле	1	1
43	вовсе не является	1	1
44	в свою очередь	1	1
45	он говорит у	1	1
46	он не может	1	1
47	могло бы показаться	1	1
48	той или иной	1	1
49	вместе с тем	1	1
50	прежде всего в	3	1
51	в самом начале	1	1
52	в такой же	1	1
53	том что этот	1	1
54	пути по которому	1	1
55	но то что	1	1
56	не в том	3	1
57	что же касается	1	1
58	во всех этих	2	1
59	с этой точки	1	1
