N	3gram	Propp_Isto_4	Tragedij
1	так и в	2	3
2	и не случайно	1	2
3	точно так же	5	2
4	в данном случае	3	2
5	о том что	2	2
6	но все же	4	2
7	в этом случае	3	1
8	из дома и	1	1
9	не только по	1	1
10	отцом и сыном	1	1
11	и не может	1	1
12	что он не	1	1
13	и то что	5	1
14	за то что	1	1
15	своего отца он	1	1
16	все эти черты	1	1
17	в этой связи	1	1
18	и я тебе	1	1
19	в виду не	1	1
20	смысле этого слова	2	1
21	объясняется тем что	1	1
22	по сравнению с	3	1
23	тем не менее	2	1
24	не могут быть	1	1
25	в связи с	2	1
26	то что он	2	1
27	не может быть	4	1
28	на одной стороне	1	1
29	это мы видим	1	1
30	и знает что	1	1
31	как и все	1	1
32	в точности соответствует	2	1
33	и вместе с	1	1
34	это и есть	1	1
35	у него есть	1	1
36	в дальнейшем он	1	1
37	с того что	2	1
38	вряд ли есть	1	1
39	ли есть необходимость	1	1
40	после того как	2	1
41	к тому что	1	1
42	мы видим уже	1	1
43	как и в	1	1
