N	2gram	Tiupa_Narr_1	EvropaiE
1	и в	19	37
2	в пределах	2	25
3	точки зрения	10	23
4	что в	3	21
5	не только	32	18
6	с точки	2	17
7	в то	3	16
8	то же	4	15
9	хотя бы	4	15
10	в своем	2	14
11	но в	6	14
12	же время	4	14
13	в качестве	21	14
14	но и	23	14
15	и не	20	14
16	в этом	17	12
17	в их	1	11
18	в области	2	11
19	в том	18	11
20	так и	9	10
21	отнюдь не	5	9
22	в себе	8	9
23	только в	4	9
24	прежде всего	4	9
25	не может	10	9
26	так же	2	9
27	в смысле	1	9
28	в ее	3	8
29	было бы	4	8
30	к тому	7	8
31	между тем	3	8
32	с одной	7	8
33	одной стороны	7	8
34	также и	1	7
35	а также	7	7
36	того что	1	7
37	с другой	8	7
38	как и	7	7
39	по своему	1	7
40	может быть	25	6
41	и на	3	6
42	во всех	1	6
43	то есть	19	6
44	том что	14	6
45	вслед за	4	6
46	вовсе не	1	6
47	в последние	2	6
48	и даже	3	6
49	как бы	4	6
50	с этой	1	6
51	то что	11	6
52	же как	3	5
53	столь же	3	5
54	но не	5	5
55	не в	14	5
56	в россии	1	5
57	и по	1	5
58	тем самым	6	5
59	как мы	3	5
60	одной из	4	5
61	со стороны	9	5
62	от этого	1	5
63	в частности	14	5
64	и потому	2	5
65	в той	6	5
66	как нам	1	5
67	этой точки	2	5
68	то в	6	4
69	мы не	1	4
70	в некотором	1	4
71	в ней	3	4
72	независимо от	2	4
73	в самом	1	4
74	культурной жизни	1	4
75	то ни	3	4
76	того или	2	4
77	несмотря на	2	4
78	даже в	2	4
79	не имеет	2	4
80	в процессе	1	4
81	к ней	1	4
82	той или	4	4
83	бы то	3	4
84	по себе	5	4
85	можно сказать	5	4
86	тем более	2	4
87	именно в	6	4
88	на всем	1	4
89	ни было	3	4
90	само по	1	4
91	или иной	5	4
92	не на	2	4
93	мира в	5	4
94	как это	6	4
95	западной европе	1	4
96	для нас	1	4
97	сказать что	4	4
98	или иного	2	4
99	культуры в	1	4
100	идет о	2	3
101	на себя	3	3
