N	3gram	Voloshinov_1	Problema
1	тем не менее	1	18
2	то же самое	1	9
3	для того чтобы	1	8
4	в данном случае	2	8
5	на то что	1	8
6	ничего общего с	2	7
7	в том что	2	5
8	на самом деле	1	4
9	только то что	1	4
10	в связи с	1	4
11	в то же	1	4
12	иметь в виду	1	3
13	более или менее	1	3
14	с точки зрения	5	3
15	может быть и	1	3
16	то что в	1	3
17	с другой стороны	2	3
18	что иное как	2	2
19	в нем только	1	2
20	в самом деле	2	2
21	есть не что	2	2
22	в сознании и	1	2
23	так же как	1	2
24	тех или иных	1	2
25	а также и	1	2
26	так и для	1	2
27	не может быть	4	2
28	того или иного	2	2
29	и как бы	1	2
30	не что иное	2	2
31	можно было бы	1	2
32	только потому что	1	2
33	подобно тому как	1	2
34	и следовательно в	1	2
35	все указанные нами	1	1
36	связаны между собою	1	1
37	само собой разумеется	1	1
38	в чем же	1	1
39	и к тому	1	1
40	есть прежде всего	3	1
41	с момента своего	1	1
42	никоим образом не	1	1
43	во всей своей	1	1
44	в этом отношении	1	1
45	то или иное	1	1
46	что же такое	1	1
47	одно и то	3	1
48	в своей статье	1	1
49	постановка вопроса о	1	1
50	если бы мы	1	1
51	но в то	1	1
52	и то же	2	1
53	между собою и	1	1
54	в течение всей	1	1
55	вовсе не на	1	1
56	очень трудно разграничить	1	1
57	а вовсе не	1	1
58	в общем виде	1	1
59	путем отвлечения однородных	2	1
60	не чем иным	2	1
61	мы уже видели	1	1
62	может и должно	1	1
63	ли кто-нибудь станет	1	1
64	не было бы	1	1
65	вступает в свои	1	1
66	в свои права	1	1
67	чем иным как	2	1
68	может быть это	1	1
69	сознании не только	1	1
70	выходит за пределы	1	1
71	едва ли кто-нибудь	1	1
72	в каждом отдельном	1	1
73	к тому что	1	1
74	и в его	1	1
75	конечно мы не	1	1
76	как и в	1	1
77	говорить и о	1	1
