N	3gram	Savitsky_E_1	StatiiOP
1	в том что	6	11
2	не может быть	2	5
3	в этом смысле	3	4
4	с точки зрения	16	4
5	в этом отношении	3	4
6	то время как	1	4
7	во всяком случае	3	4
8	с другой стороны	2	4
9	в то время	1	4
10	прежде всего в	2	3
11	с тем что	1	3
12	в связи с	1	3
13	то же время	14	3
14	не только в	4	3
15	на то что	2	3
16	в то же	15	3
17	только в виде	1	2
18	в эту эпоху	1	2
19	но и в	1	2
20	в ряде случаев	1	2
21	и не в	1	2
22	и в этих	1	2
23	он считает что	1	2
24	с одной стороны	8	2
25	и в этом	4	2
26	во всех этих	1	2
27	было бы совершенно	1	2
28	заключается в том	2	2
29	только тогда когда	1	2
30	в каком смысле	1	2
31	к тому что	1	2
32	в том смысле	1	2
33	независимо от того	1	2
34	и т д	1	2
35	можно сказать что	3	1
36	то в отношении	1	1
37	не может не	1	1
38	но так как	1	1
39	в отношении которого	1	1
40	между прочим и	2	1
41	более или менее	1	1
42	т е не	1	1
43	во многих случаях	1	1
44	и в качестве	1	1
45	в одной из	1	1
46	что же касается	1	1
47	говоря уже о	1	1
48	связи с этим	1	1
49	что мы знаем	1	1
50	можно было бы	3	1
51	а также от	1	1
52	то что в	2	1
53	в лучшем случае	1	1
54	в значительной мере	1	1
55	с этой точки	5	1
56	к западной европе	1	1
57	и в частности	2	1
58	в применении к	3	1
59	между тем для	1	1
60	в том же	1	1
61	того что в	2	1
62	в некоторых случаях	1	1
63	в известном смысле	3	1
64	по большей части	1	1
65	с западной европой	1	1
66	это один из	1	1
67	в той или	3	1
68	было бы неправильно	1	1
69	независимо от этого	1	1
70	для того же	1	1
71	этой точки зрения	5	1
72	между тем некоторые	1	1
73	том смысле что	1	1
74	не означает что	1	1
75	в свою очередь	2	1
76	в одном из	2	1
77	не имеет шансов	1	1
78	той или иной	4	1
79	речь идет о	1	1
80	его жизни но	1	1
81	в известной степени	3	1
82	что в смысле	1	1
83	совершенно очевидно что	1	1
84	отметить что эти	1	1
85	для того чтобы	5	1
86	какова должна быть	1	1
87	начиная с г	1	1
88	отметить что в	1	1
89	как мы видели	2	1
90	не говоря уже	2	1
