N	2gram	Tiupa_Teor_1	Psycholo
1	то что	3	44
2	и в	18	33
3	в этом	8	28
4	и что	3	25
5	как бы	5	25
6	потому что	3	24
7	для того	1	23
8	том что	9	22
9	того чтобы	1	22
10	может быть	17	22
11	что в	9	21
12	в том	16	21
13	о том	1	20
14	что он	1	20
15	как это	8	14
16	что это	1	13
17	таким образом	3	13
18	то есть	12	13
19	так же	2	13
20	и не	13	13
21	все это	2	13
22	сказать что	3	13
23	в самом	4	12
24	было бы	1	12
25	все то	1	12
26	к тому	2	12
27	если мы	2	12
28	так как	1	12
29	он не	3	11
30	что все	1	11
31	говорит что	2	10
32	на то	1	10
33	что она	2	10
34	если бы	3	10
35	в его	6	10
36	не может	4	10
37	то же	7	9
38	в этой	3	9
39	по себе	1	9
40	как раз	2	9
41	в конце	2	8
42	как будто	2	8
43	для этого	1	8
44	в рассказе	2	8
45	вместе с	2	8
46	в каком	1	8
47	в своем	4	7
48	раз в	1	7
49	не только	16	7
50	в нем	4	7
51	так что	1	7
52	и только	1	7
53	же точно	1	7
54	в сущности	1	6
55	что они	1	6
56	перед нами	2	6
57	все эти	2	6
58	в себе	9	6
59	и вот	3	6
60	точки зрения	9	6
61	всякий раз	2	6
62	но он	3	6
63	тому что	2	6
64	в самой	2	6
65	же самое	1	6
66	никак не	1	6
67	это не	2	6
68	мы видим	1	6
69	у него	1	6
70	а не	9	6
71	в целом	3	5
72	и на	1	5
73	целый ряд	1	5
74	и как	2	5
75	как и	4	5
76	никогда не	4	5
77	и его	8	5
78	и это	2	5
79	казалось бы	2	5
80	заключается в	2	5
81	в какой	2	5
82	что для	1	5
83	вовсе не	3	5
84	из этого	1	5
85	той же	1	4
86	в которой	2	4
87	я не	2	4
88	говорит о	1	4
89	что автор	1	4
90	могла бы	2	4
91	не будет	2	4
92	это было	2	4
93	с тем	1	4
94	слова и	1	4
95	в своей	6	4
96	с точки	3	4
97	а в	13	4
98	у нас	2	4
99	как мы	1	4
100	и о	4	4
101	можно было	1	4
102	жизнь и	1	4
103	об этом	2	4
104	в порядке	3	4
105	того что	4	4
106	в двух	1	4
107	только в	6	4
108	себя в	6	4
109	в жизни	2	4
110	из них	1	4
111	никто не	2	4
112	по поводу	1	4
113	что не	1	4
114	смысла и	1	4
115	в частности	16	4
116	совершенно не	1	4
117	ее в	2	4
118	например в	1	3
119	же как	1	3
120	идет о	1	3
121	и до	1	3
122	говорить о	3	3
123	как я	1	3
124	что его	1	3
125	слова как	3	3
126	но не	9	3
127	в сторону	1	3
128	сама по	1	3
129	как в	5	3
130	что может	2	3
131	на этом	1	3
132	здесь мы	1	3
133	его в	2	3
134	должен был	1	3
135	ни в	2	3
136	этого слова	3	3
137	далеко не	2	3
138	должно быть	1	3
139	обратимся к	1	3
140	несет в	2	3
141	мы в	2	3
142	их в	3	3
143	тем самым	4	3
144	она не	1	3
145	в то	6	3
146	в основе	3	3
147	материала в	2	3
148	и для	2	3
149	с ее	3	3
150	в пределах	5	3
151	в мире	19	3
152	так и	10	3
153	и здесь	2	3
154	в драме	1	3
155	что и	2	3
156	во всей	1	3
157	вслед за	2	3
158	дело с	1	3
159	или его	1	3
160	с одной	2	3
161	на сцене	1	3
162	в одном	2	3
163	тем что	1	3
164	но и	9	3
165	не было	1	3
166	одной стороны	2	3
167	мы легко	2	3
168	означало бы	1	3
169	в той	2	3
170	указывает на	1	3
171	тот же	1	3
172	в своих	1	3
173	точно так	1	3
174	убийства и	1	2
175	также и	1	2
176	и то	2	2
177	между двумя	3	2
178	на две	3	2
179	из его	1	2
180	жизни ее	1	2
181	мы имеем	7	2
182	при анализе	1	2
183	впечатление от	1	2
184	принадлежит к	3	2
185	и ее	3	2
186	вовсе может	1	2
187	столь же	2	2
188	бы то	1	2
189	с его	5	2
190	во всех	1	2
191	истинный смысл	1	2
192	со стороны	2	2
193	и первый	1	2
194	как говорит	3	2
195	в одной	1	2
196	в художественном	3	2
197	не в	7	2
198	и к	3	2
199	в действительности	1	2
200	но в	9	2
201	говорит не	1	2
202	тому как	1	2
203	не упоминается	1	2
204	представляет собой	9	2
205	из этих	3	2
206	если он	1	2
207	с чем	1	2
208	при этом	12	2
209	читателя в	1	2
210	тем и	1	2
211	и дает	1	2
212	только одно	1	2
213	в них	2	2
214	всю жизнь	1	2
215	иначе говоря	4	2
216	в такой	1	2
217	это делает	1	2
218	в их	2	2
219	место в	5	2
220	вопрос о	1	2
221	даже в	3	2
222	в русской	6	2
223	не по	1	2
224	только не	2	2
225	же время	5	2
226	и является	2	2
227	перед ним	1	2
228	и другим	1	2
229	и конечно	1	2
