N	3gram	Propp_Russ_2	VerxiiNi
1	вместе с тем	4	8
2	с одной стороны	2	7
3	во всяком случае	1	6
4	более или менее	1	5
5	для того чтобы	6	5
6	о том что	4	4
7	а так как	1	3
8	так же как	4	3
9	всяком случае не	1	3
10	и таким образом	1	3
11	тем не менее	2	3
12	в том что	18	3
13	с тем и	1	2
14	те и другие	1	2
15	но все это	1	2
16	в этом отношении	1	2
17	может быть и	1	2
18	на русской почве	1	2
19	но вместе с	2	2
20	таким образом в	1	2
21	с одним из	1	2
22	можно сказать что	1	2
23	на то что	1	2
24	и в этом	1	2
25	его уже не	1	1
26	а между тем	1	1
27	не может не	1	1
28	как эти боги	1	1
29	она живет в	1	1
30	состоит в том	13	1
31	иметь в виду	1	1
32	в настоящее время	1	1
33	к новой жизни	1	1
34	о том как	1	1
35	но далеко не	1	1
36	не отличаются от	1	1
37	в первую очередь	1	1
38	а вместе с	1	1
39	как бы олицетворение	1	1
40	но и как	1	1
41	совершенно иной характер	1	1
42	ни с одним	1	1
43	того момента когда	1	1
44	в данном случае	6	1
45	смысле этого слова	1	1
46	в отличие от	3	1
47	потому что в	1	1
48	не только как	1	1
49	с ней и	1	1
50	в разные стороны	1	1
51	что здесь имеется	1	1
52	данном случае мы	1	1
53	том что они	1	1
54	с другой стороны	1	1
55	мы видели что	4	1
56	но не с	1	1
57	не может быть	3	1
58	в то время	2	1
59	в свою очередь	1	1
60	это и есть	1	1
61	во всех других	1	1
62	тем и другим	1	1
63	в связь с	1	1
64	связан и другой	1	1
65	могут рассматриваться как	1	1
66	и по своим	1	1
67	так как эти	1	1
68	после того как	2	1
69	религии в которых	1	1
70	только тогда когда	3	1
