N	3gram	Propp_Russ_1	Problema
1	о том что	4	9
2	с точки зрения	3	8
3	в том что	15	8
4	в связи с	4	7
5	тем не менее	3	5
6	точно так же	1	3
7	только тогда когда	1	3
8	можно сказать что	1	3
9	не что иное	2	3
10	в то время	1	3
11	в настоящее время	3	3
12	как будто бы	1	3
13	что иное как	2	3
14	после того как	2	3
15	вместе с тем	6	3
16	все же не	2	3
17	поступать так как	1	2
18	в таком случае	1	2
19	по отношению к	1	2
20	в это время	2	2
21	потому что они	1	2
22	никак не может	1	2
23	на то что	1	2
24	для нас не	1	2
25	но все же	2	2
26	во всяком случае	1	2
27	по этому поводу	2	2
28	в данном случае	1	2
29	потому что он	1	2
30	как мы увидим	5	1
31	не потому что	1	1
32	можно судить по	1	1
33	в большинстве случаев	2	1
34	вопрос о том	1	1
35	и потому что	2	1
36	что от них	1	1
37	то что и	1	1
38	и в этом	1	1
39	не только по	2	1
40	и в том	1	1
41	и с ней	1	1
42	но это не	2	1
43	но тем не	2	1
44	вот что пишет	1	1
45	у него нет	1	1
46	интересно не только	1	1
47	между прочим так	1	1
48	только о том	1	1
49	точки зрения в	1	1
50	бросается в глаза	1	1
51	и как бы	1	1
52	ничего общего не	1	1
53	думается что для	1	1
54	состоит в том	8	1
55	можно было бы	1	1
56	и т д	9	1
57	на самом деле	1	1
58	мы увидим ниже	2	1
59	в других местах	2	1
60	еще в середине	1	1
61	не только в	1	1
62	в этом отношении	1	1
63	увидим ниже в	1	1
64	здесь говорится о	1	1
65	к другому и	1	1
66	и в дальнейшем	1	1
67	тому что в	1	1
68	в xix в	10	1
69	только потому что	1	1
70	это таким образом	1	1
71	что они были	1	1
72	в какой степени	2	1
73	были у нас	1	1
74	о том чтобы	1	1
75	не только как	1	1
76	хотя и не	1	1
