N	2gram	Vygotskiy__5	ViktorSh
1	конце концов	2	2
2	и в	30	2
3	том что	21	2
4	в том	27	2
5	в конце	4	2
6	и только	3	1
7	крайней мере	1	1
8	тем более	1	1
9	под влиянием	3	1
10	ни к	1	1
11	в другом	3	1
12	хотя бы	3	1
13	и не	6	1
14	все время	20	1
15	и его	6	1
16	потому что	23	1
17	сводится к	5	1
18	и то	9	1
19	самом деле	8	1
20	другом месте	1	1
21	и т.д	1	1
22	все это	2	1
23	совершенно ясно	7	1
24	от других	1	1
25	по поводу	3	1
26	именно в	6	1
27	главным образом	1	1
28	в теории	1	1
29	чего не	1	1
30	в их	3	1
31	как же	1	1
32	дело в	2	1
33	в частности	4	1
34	так в	3	1
35	речи и	1	1
36	одно и	3	1
37	все то	2	1
38	столь же	1	1
39	в которых	2	1
40	в значительной	1	1
41	заключается что	1	1
42	в самом	14	1
43	дело именно	1	1
44	только в	5	1
45	то же	7	1
46	ясно что	6	1
47	так как	9	1
48	далеко не	1	1
49	и составляет	3	1
50	что слово	1	1
51	но это	1	1
52	что язык	1	1
53	в этом	14	1
54	и самым	1	1
55	да и	1	1
56	чем больше	3	1
57	по крайней	1	1
58	а только	1	1
59	на одном	4	1
60	и заключается	4	1
61	по существу	2	1
62	к этому	3	1
63	отказались от	1	1
64	гораздо более	2	1
