N	2gram	Bakhtin_KF_1	Problema
1	и в	24	44
2	вовсе не	7	37
3	и не	26	35
4	не есть	20	35
5	то есть	1	34
6	может быть	45	28
7	по себе	2	25
8	потому что	2	25
9	не просто	1	23
10	то что	7	23
11	в том	6	21
12	только в	16	19
13	а не	17	18
14	в этом	14	17
15	также и	1	16
16	если мы	1	16
17	для нас	4	16
18	когда мы	1	15
19	и то	2	14
20	не только	5	14
21	и даже	1	14
22	то же	5	13
23	не в	12	13
24	но в	5	12
25	том что	4	12
26	той или	3	12
27	не является	1	11
28	отнюдь не	6	10
29	так и	2	10
30	как и	5	10
31	тем не	2	10
32	не менее	3	10
33	в виду	3	10
34	но и	9	10
35	не имеет	5	9
36	в нем	28	9
37	и с	1	9
38	это не	10	9
39	и тем	3	9
40	в то	3	9
41	и это	12	9
42	в его	40	9
43	что и	7	9
44	что он	2	9
45	так как	1	9
46	в данном	2	9
47	как бы	9	9
48	же самое	1	9
49	и от	1	9
50	во всяком	1	9
51	смысле слова	1	8
52	в себе	21	8
53	он не	6	8
54	было бы	8	8
55	ни в	12	8
56	но это	6	8
57	как раз	1	8
58	здесь не	3	8
59	того что	3	8
60	или иной	2	8
61	а именно	1	8
62	что мы	1	8
63	что в	4	8
64	это и	2	7
65	мы не	3	7
66	на самом	3	7
67	все эти	10	7
68	мы должны	1	7
69	ничего общего	2	7
70	с ним	5	7
71	значит что	1	7
72	уже не	7	7
73	не может	27	7
74	и потому	2	7
75	в целом	10	6
76	все же	5	6
77	и к	1	6
78	о том	3	6
79	то ни	2	6
80	ясно что	3	6
81	того или	3	6
82	но только	1	6
83	никогда не	5	6
84	для этого	2	6
85	другими словами	1	6
86	можно сказать	1	6
87	общее и	3	6
88	и только	6	6
89	всяком случае	1	6
90	мы можем	1	6
91	нет ничего	1	6
92	в виде	2	6
93	жизни и	8	6
94	и есть	9	5
95	едва ли	2	5
96	еще не	4	5
97	а только	1	5
98	в своем	16	5
99	хотя и	1	5
100	в нашем	1	5
101	с тем	2	5
102	есть именно	2	5
103	точки зрения	12	5
104	в своей	10	5
105	является только	1	5
106	тем самым	4	5
107	как о	1	5
108	и его	17	5
109	и о	1	5
110	в ней	3	5
111	и здесь	7	5
112	только на	1	5
113	гораздо более	1	5
114	не было	8	5
115	как в	2	5
116	этого слова	2	5
117	все это	10	5
118	а в	4	5
119	с ней	1	5
120	не имеют	1	4
121	мы уже	1	4
122	бы то	2	4
123	в чем	4	4
124	но как	5	4
125	только при	1	4
126	для которой	3	4
127	при этом	4	4
128	тому что	2	4
129	раз и	2	4
130	можно ли	1	4
131	дело в	2	4
132	только с	3	4
133	есть только	1	4
134	отличается от	1	4
135	в ее	16	4
136	же и	1	4
137	тем что	3	4
138	это будет	1	4
139	мы говорим	1	4
140	это значит	1	4
141	дело здесь	2	4
142	или в	1	4
143	или другой	1	4
144	совершенно не	6	4
145	в каком	4	4
146	в искусстве	1	4
147	отношения к	1	3
148	говорить о	2	3
149	и ее	2	3
150	но не	12	3
151	и как	2	3
152	в самом	1	3
153	что это	3	3
154	в этой	2	3
155	на то	1	3
156	как оно	2	3
157	содержит в	1	3
158	но все	5	3
159	об этом	1	3
160	его в	5	3
161	том смысле	1	3
162	но уже	1	3
163	все равно	1	3
164	себе как	2	3
165	не значит	6	3
166	себе а	2	3
167	но эта	5	3
168	бы быть	5	3
169	и очень	1	3
170	человека но	1	3
171	чем не	4	3
172	ничего не	3	3
173	находятся в	1	3
174	с соответствующим	1	3
175	и такие	1	3
176	она не	1	3
177	то или	2	3
178	с собой	1	3
179	если бы	8	3
180	действительность и	1	3
181	каждый раз	1	3
182	или как	2	3
183	во всей	4	3
184	может иметь	2	3
185	быть и	3	3
186	в качестве	2	3
187	самом деле	3	3
188	а это	2	3
189	а то	1	3
190	для него	8	3
191	могло бы	4	3
192	само по	1	3
193	мы возьмем	1	3
194	говорим о	1	3
195	жизни а	1	3
196	здесь в	1	3
197	прежде всего	2	3
198	его как	5	3
199	ни о	1	3
200	жизнь в	1	3
201	если не	2	3
202	но оно	1	3
203	ни на	1	3
204	это есть	2	3
205	самого себя	1	3
206	слова и	1	3
207	это уже	2	3
208	и все	7	3
209	из себя	8	3
210	и ни	3	3
211	ни к	2	3
212	хотя бы	4	3
213	ни было	4	3
214	же в	1	3
215	или иного	3	3
216	только путем	1	3
217	к тому	1	3
218	того же	1	2
219	и до	1	2
220	поэтому и	1	2
221	его не	1	2
222	мы имеем	5	2
223	его только	1	2
224	в некотором	3	2
225	быть в	4	2
226	не был	1	2
227	во всех	11	2
228	совсем не	2	2
229	мы будем	1	2
230	ни только	1	2
231	него с	1	2
232	и будет	1	2
233	есть просто	1	2
234	или иное	2	2
235	в известном	1	2
236	с этим	1	2
237	когда он	1	2
238	не являются	1	2
239	тем же	1	2
240	в которой	1	2
241	не будем	1	2
242	нами в	1	2
243	бы только	1	2
244	всей его	2	2
245	с чем	1	2
246	время и	5	2
247	контекст и	1	2
248	всех этих	3	2
249	эта последняя	1	2
250	ни была	1	2
251	в понятии	1	2
252	из него	3	2
253	что все	1	2
254	же не	1	2
255	и может	3	2
256	в другом	3	2
257	а как	2	2
258	он есть	1	2
259	нашего исследования	1	2
260	он и	2	2
261	жизни но	3	2
262	нисколько не	4	2
263	в этих	1	2
264	в котором	24	2
265	с точки	9	2
266	в их	8	2
267	от себя	10	2
268	от его	5	2
269	образом и	1	2
270	себя или	2	2
271	для нее	7	2
272	в отношении	1	2
273	при условии	2	2
