N	2gram	Propp_Morf_1	Formalny
1	и в	13	38
2	в этом	14	27
3	т е	21	26
4	может быть	52	23
5	и его	1	21
6	и пр	37	21
7	таким образом	21	20
8	и не	12	20
9	не в	3	15
10	прежде всего	9	15
11	и т	41	14
12	не может	14	14
13	связи с	10	13
14	но и	4	13
15	в пределах	3	12
16	вовсе не	4	11
17	с тем	2	11
18	в том	6	11
19	с его	2	11
20	в связи	9	10
21	с помощью	1	10
22	с другими	1	10
23	в его	1	10
24	и с	1	9
25	как и	3	9
26	при этом	1	9
27	не только	4	9
28	все же	7	8
29	так и	6	8
30	точки зрения	2	8
31	что и	7	8
32	тем что	4	8
33	самом деле	4	8
34	в своей	1	7
35	что в	8	7
36	для него	1	7
37	с точки	2	7
38	в других	3	7
39	как мы	6	7
40	в первом	3	7
41	уже не	2	7
42	этом отношении	1	7
43	не могут	4	7
44	по существу	12	7
45	во втором	3	7
46	все эти	2	6
47	как такового	1	6
48	как раз	1	6
49	хотя бы	4	6
50	а в	7	6
51	то же	7	6
52	он не	3	6
53	только в	2	6
54	в этой	2	6
55	могут быть	16	6
56	в результате	7	6
57	то что	8	6
58	и ее	3	6
59	а не	11	6
60	было бы	3	6
61	во всяком	2	5
62	и для	2	5
63	т д	39	5
64	должна быть	1	5
65	во всех	4	5
66	что же	2	5
67	говорить о	3	5
68	это и	2	5
69	в то	3	5
70	с этим	11	5
71	всяком случае	2	5
72	в основе	1	5
73	если бы	2	5
74	всего этого	1	5
75	что он	4	5
76	если мы	5	5
77	и наконец	1	4
78	что они	2	4
79	другой стороны	4	4
80	как таковое	2	4
81	здесь не	2	4
82	лишь как	1	4
83	в большинстве	3	4
84	независимо от	3	4
85	там где	5	4
86	в некоторых	3	4
87	ничего не	4	4
88	того или	1	4
89	одним словом	1	4
90	оно не	2	4
91	совершенно не	1	4
92	входит в	2	4
93	высшей степени	1	4
94	как они	1	4
95	и к	4	4
96	они не	1	4
97	к тому	4	4
98	в сущности	3	4
99	и даже	1	4
100	в особенности	1	4
101	в высшей	1	4
102	не столько	1	4
103	вот как	1	4
104	но в	2	4
105	что не	1	4
106	известной степени	1	4
107	пр и	2	4
108	как в	3	4
109	из них	3	4
110	материала и	1	4
111	так как	16	4
112	дело идет	1	4
113	к этому	3	4
114	как бы	3	4
115	главным образом	4	3
116	лишь постольку	1	3
117	и здесь	5	3
118	материал и	1	3
119	из этих	1	3
120	или в	4	3
121	как таковой	2	3
122	значение и	1	3
123	и их	2	3
124	большинстве случаев	3	3
125	и все	1	3
126	к нему	3	3
127	что это	1	3
128	в какой	3	3
129	мы не	8	3
130	если в	5	3
131	того чтобы	3	3
132	о возможности	1	3
133	его в	2	3
134	до известной	1	3
135	но все	3	3
136	например в	2	3
137	того что	3	3
138	в ином	2	3
139	на самом	4	3
140	не приходится	1	3
141	нового направления	1	3
142	в целом	3	3
143	для того	2	3
144	хотя и	3	3
145	то это	3	3
146	и может	1	3
147	только и	1	3
148	однако и	1	3
149	и др	10	3
150	такой же	1	3
151	не входит	1	3
152	и на	1	3
153	быть и	2	3
154	но ведь	1	3
155	с другой	8	3
156	в области	1	3
157	изучения и	1	3
158	чем же	1	3
159	это было	3	3
160	не является	3	3
161	только на	1	3
162	без всякой	2	3
163	и как	5	3
164	и до	1	3
165	не есть	1	3
166	что о	1	2
167	в которой	3	2
168	и совершенно	1	2
169	приводит к	2	2
170	в в	2	2
171	это положение	2	2
172	ни одна	4	2
173	сам он	3	2
174	как например	2	2
175	и многие	1	2
176	и то	1	2
177	это время	1	2
178	как таковая	2	2
179	кроме того	1	2
180	явления и	1	2
181	том случае	1	2
182	не по	2	2
183	этот прием	1	2
184	в тех	6	2
185	если это	3	2
186	от изучения	1	2
187	что эта	2	2
188	поставить вопрос	2	2
189	не так	1	2
190	и другие	6	2
191	как это	3	2
192	на котором	3	2
193	та же	2	2
194	от него	1	2
195	отношение к	1	2
196	как его	1	2
197	то в	3	2
198	совсем не	3	2
199	даже в	1	2
200	но не	4	2
201	эти функции	2	2
202	от тех	1	2
203	а именно	1	2
204	или же	6	2
205	в таком	1	2
206	его не	1	2
207	потому что	3	2
208	лишь о	1	2
209	с теми	4	2
210	постольку поскольку	1	2
211	в той	1	2
212	между тем	5	2
213	но как	2	2
214	это не	6	2
215	в этих	13	2
216	не происходит	3	2
217	не имеет	2	2
218	между двумя	1	2
219	в предисловии	1	2
220	различных народов	1	2
221	может лежать	1	2
222	как их	2	2
223	из этого	1	2
224	отличие от	1	2
225	в качестве	5	2
226	ее в	1	2
227	можно говорить	1	2
228	приходим к	2	2
229	и становятся	1	2
230	то ни	3	2
231	для нее	1	2
232	в чем	1	2
233	разница между	1	2
