N	2gram	Bakhtin_Fr_7	IolandNe
1	и с	4	3
2	должен быть	2	2
3	и не	7	2
4	в этом	15	2
5	оба они	1	2
6	он не	4	2
7	что в	9	2
8	ничего не	4	2
9	же это	1	1
10	себя в	1	1
11	теперь я	2	1
12	все это	10	1
13	автора и	1	1
14	этим и	1	1
15	и др	2	1
16	эти произведения	2	1
17	и в	41	1
18	и о	1	1
19	у всех	1	1
20	с жизнью	1	1
21	я не	3	1
22	какую роль	2	1
23	бы в	2	1
24	как только	1	1
25	стало быть	1	1
26	того же	3	1
27	не остается	1	1
28	и со	2	1
29	было не	1	1
30	и та	1	1
31	это было	2	1
32	человеке и	1	1
33	а в	5	1
34	того что	2	1
35	и без	1	1
36	как о	3	1
37	на котором	1	1
38	утверждает что	1	1
39	и еще	2	1
40	не так	1	1
41	для него	6	1
42	а также	2	1
43	в основе	1	1
44	в значительной	2	1
45	есть только	1	1
46	видит в	1	1
47	отношению к	2	1
48	так и	10	1
49	бы его	1	1
50	от этого	3	1
51	никогда не	2	1
52	только для	1	1
53	жизни и	3	1
54	эпизод с	11	1
55	тех же	1	1
56	для других	1	1
57	тем что	3	1
58	и литература	1	1
59	по отношению	2	1
60	в них	7	1
61	все эти	13	1
62	по существу	8	1
63	знать и	1	1
64	со всеми	2	1
65	с любым	1	1
