N	2gram	Vygotskiy__3	Hudozhes
1	в мире	2	23
2	в качестве	12	19
3	состоит в	3	16
4	и не	10	16
5	не только	6	15
6	и в	25	15
7	в том	23	15
8	может быть	13	13
9	в частности	4	13
10	при этом	5	12
11	и его	2	12
12	а в	4	12
13	но не	6	11
14	в этом	14	11
15	в себе	2	11
16	то же	2	10
17	по отношению	3	10
18	представляет собой	6	10
19	как бы	10	10
20	так и	5	10
21	а не	1	10
22	отношению к	2	10
23	но и	4	10
24	такого рода	2	9
25	точки зрения	6	9
26	в его	15	9
27	сводится к	1	8
28	отличие от	6	7
29	но в	1	7
30	внутренней речи	19	7
31	в отличие	6	7
32	в то	4	7
33	или иной	3	7
34	с другой	6	7
35	с его	2	6
36	отношение к	1	6
37	том что	20	6
38	не в	6	6
39	в основе	16	6
40	по своей	7	6
41	в ее	1	6
42	приводит к	4	6
43	в состав	1	6
44	не сводится	1	6
45	не может	6	6
46	что в	17	6
47	более или	1	5
48	в самом	3	5
49	то что	15	5
50	не предполагает	1	5
51	ни в	9	5
52	тем самым	2	5
53	могут быть	5	5
54	той или	2	5
55	с ее	5	5
56	а также	2	5
57	того что	10	5
58	и одновременно	2	5
59	только в	10	5
60	уже не	2	5
61	между ними	3	5
62	другой стороны	3	5
63	или менее	3	5
64	в нем	2	5
65	отношения к	1	4
66	и то	2	4
67	мы имеем	4	4
68	место в	2	4
69	еще не	4	4
70	а только	1	4
71	хотя и	2	4
72	и как	5	4
73	порядка в	1	4
74	он не	4	4
75	в другом	1	4
76	и тем	1	4
77	в слове	1	4
78	в этих	2	4
79	в ходе	1	4
80	в своей	2	4
81	не столько	4	4
82	и т.д	5	4
83	входит в	5	4
84	между тем	3	4
85	в форме	1	4
86	для него	5	4
87	к которому	3	4
88	прежде всего	4	4
89	как это	7	4
90	например в	1	4
91	к тому	4	4
92	по пути	4	4
93	сказать что	4	4
94	речи и	8	4
95	того же	6	3
96	на деле	3	3
97	в целом	13	3
98	в виду	1	3
99	как говорит	5	3
100	как уже	6	3
101	и к	5	3
102	или иного	2	3
103	в которой	1	3
104	его в	3	3
105	этом смысле	2	3
106	к области	2	3
107	как и	15	3
