N	2gram	Losev_Prob_4	Formalny
1	т е	1	32
2	и не	28	30
3	вовсе не	21	28
4	и в	20	27
5	может быть	9	25
6	не может	5	24
7	так и	10	21
8	и его	10	19
9	в этом	9	18
10	таким образом	8	18
11	а не	7	17
12	самом деле	3	16
13	точки зрения	14	16
14	то же	7	15
15	в нем	5	15
16	между ними	1	15
17	на самом	5	14
18	как и	6	14
19	с точки	11	14
20	не в	13	12
21	если бы	8	12
22	и т	4	11
23	в самом	2	11
24	в жизни	3	11
25	и от	6	11
26	художественное произведение	1	11
27	не могут	1	10
28	но и	14	10
29	в действительности	1	9
30	не только	24	9
31	так как	5	9
32	так же	5	9
33	отнюдь не	10	8
34	как бы	4	8
35	при этом	6	8
36	ни в	17	8
37	как мы	3	8
38	в пределах	2	8
39	только в	23	8
40	как раз	4	8
41	то что	15	8
42	и все	8	8
43	что в	3	8
44	художественного произведения	1	7
45	тем же	1	7
46	с тем	4	7
47	не менее	10	7
48	потому что	15	7
49	его в	2	7
50	в его	3	7
51	в том	20	7
52	для них	2	7
53	если мы	5	7
54	все это	9	7
55	совершенно не	3	7
56	в то	4	7
57	в искусстве	1	7
58	действительности и	5	6
59	еще не	7	6
60	и понимания	1	6
61	но в	8	6
62	все эти	16	6
63	т д	3	6
64	в своей	4	6
65	и ее	4	6
66	всяком случае	4	6
67	все время	2	6
68	было бы	14	6
69	в литературе	2	6
70	что он	8	6
71	с другой	7	6
72	вместе с	5	6
73	в данном	6	6
74	все же	2	6
75	и для	4	6
76	бы в	1	6
77	хотя бы	7	6
78	в своих	1	6
79	во всяком	8	6
80	становится в	1	5
81	в зависимости	3	5
82	зависимости от	3	5
83	совсем не	1	5
84	но не	5	5
85	в истории	3	5
86	независимо от	3	5
87	что именно	2	5
88	в художественном	4	5
89	в единстве	1	5
90	в каждом	1	5
91	войти в	1	5
92	ни было	2	5
93	того чтобы	2	5
94	если же	1	5
95	в ней	7	5
96	что они	2	5
97	никогда не	1	5
98	связи с	3	5
99	большинстве случаев	1	5
100	т п	1	5
101	друг друга	2	5
102	и между	1	5
103	тем что	3	5
104	именно так	1	5
105	и потому	7	5
106	что же	1	5
107	не является	10	5
108	в результате	8	5
109	другой стороны	6	5
110	можно говорить	1	4
111	не есть	12	4
112	мы не	7	4
113	смысл и	1	4
114	он был	3	4
115	бы то	1	4
116	как в	5	4
117	и как	3	4
118	в целом	1	4
119	и те	1	4
120	но ведь	1	4
121	в корне	2	4
122	то ни	1	4
123	данном случае	5	4
124	в ее	5	4
125	том что	12	4
126	по себе	11	4
127	в смысле	5	4
128	мы можем	3	4
129	и является	3	4
130	могут быть	1	4
131	к тому	3	4
132	следовательно и	1	4
133	о том	5	4
134	как ее	1	4
135	же и	3	4
136	конечно не	3	4
137	уже в	4	4
138	только на	2	4
139	ориентации в	3	4
140	для того	3	4
141	прежде всего	11	4
142	до конца	1	4
143	в связи	3	4
144	как это	3	4
145	да и	5	4
146	слова и	1	4
147	между собой	2	4
148	в романе	1	4
149	из этого	3	4
150	жизни и	5	4
151	одним из	1	3
152	же как	1	3
153	функции в	2	3
154	того же	2	3
155	мы и	1	3
156	в виду	6	3
157	целое и	1	3
158	и на	3	3
159	столь же	2	3
160	время в	1	3
161	во всех	4	3
162	то мы	2	3
163	то он	2	3
164	нет и	2	3
165	бы и	3	3
166	что это	2	3
167	в себе	12	3
168	сливаются в	3	3
169	и с	7	3
170	искусства в	1	3
171	это не	7	3
172	действительности в	1	3
173	и тем	7	3
174	он и	1	3
175	как таковой	1	3
176	раз и	1	3
177	в этих	5	3
178	от его	1	3
179	и более	3	3
180	тому что	1	3
181	в основе	1	3
182	для нас	6	3
183	ничто не	1	3
184	исторического процесса	1	3
185	же самое	6	3
186	а что	1	3
187	они и	2	3
188	только то	1	3
189	ясно что	7	3
190	жизнь и	4	3
191	в эпоху	1	3
192	никак не	4	3
193	и что	2	3
194	можно сказать	5	3
195	единства и	1	3
196	в них	5	3
197	дело с	2	3
198	в какой	4	3
199	уже не	5	3
200	нуждается в	1	3
201	в конце	2	3
202	не о	1	3
203	у нас	14	3
204	не на	1	3
205	на фоне	1	3
206	к его	3	3
207	она есть	1	3
208	в той	8	3
209	того что	1	3
210	является для	3	3
211	в условиях	3	3
212	жизни в	2	3
213	сказать что	7	3
214	равно как	1	3
215	всех других	2	3
216	смысле слова	15	2
217	убедимся в	1	2
218	чтобы не	2	2
219	человека и	1	2
220	в такой	1	2
221	это и	4	2
222	нам кажется	2	2
223	к другому	1	2
224	в котором	2	2
225	обойтись без	2	2
226	что уже	1	2
227	так чтобы	2	2
228	говорить о	2	2
229	так называемые	1	2
230	и сами	1	2
231	с его	2	2
232	жизни с	1	2
233	к нулю	1	2
234	россии и	1	2
235	за пределы	2	2
236	чем же	3	2
237	в своем	3	2
238	стороны и	2	2
239	не являются	2	2
240	становления и	1	2
241	с душой	1	2
242	то в	2	2
243	это можно	2	2
244	бы не	1	2
245	из этих	1	2
246	учение о	3	2
247	в этой	4	2
248	только один	2	2
249	говорят о	1	2
250	как он	1	2
251	вообще не	3	2
252	что она	4	2
253	сами эти	1	2
254	перестает быть	2	2
255	всех этих	6	2
256	не значит	1	2
257	не как	1	2
258	в россии	1	2
259	на земле	2	2
260	его от	1	2
261	лишь с	1	2
262	человека в	3	2
263	это значит	10	2
264	ни взяли	2	2
265	этом смысле	3	2
266	кажется что	2	2
267	из нее	1	2
268	он является	1	2
269	ни с	4	2
270	произведение с	1	2
271	и тогда	2	2
272	нисколько не	1	2
273	том как	2	2
274	то его	1	2
275	но эта	2	2
276	однако в	2	2
277	что этот	1	2
278	необходимо чтобы	1	2
279	даже в	1	2
280	сам он	1	2
281	на дурную	1	2
282	и очень	5	2
283	в отношении	4	2
284	как о	3	2
285	дело не	3	2
286	правда в	3	2
287	дело в	2	2
288	и притом	2	2
289	весь этот	2	2
290	только не	4	2
291	находятся в	2	2
292	тем не	10	2
293	чисто художественной	1	2
294	и общность	1	2
295	в каком	6	2
296	области познания	1	2
297	отличается от	4	2
298	этих областей	1	2
299	и это	2	2
300	с ее	2	2
301	здесь не	7	2
302	если они	1	2
303	не ради	1	2
304	можно только	2	2
305	это только	1	2
306	поэтому в	1	2
307	для этого	2	2
308	ничего не	1	2
309	познания и	1	2
310	на все	2	2
311	в самой	4	2
312	художественной структуры	2	2
313	и своей	1	2
314	и во	4	2
315	мы ни	2	2
316	что и	3	2
317	и только	4	2
318	соединении с	1	2
319	в художественной	1	2
320	нем и	1	2
321	когда говорят	1	2
322	предмета и	1	2
323	но так	2	2
324	поэтому и	1	2
325	является не	2	2
326	из них	3	2
327	превращаются в	1	2
328	ту или	1	2
329	совсем другое	2	2
330	бы тот	1	2
331	сами по	2	2
332	же деле	2	2
333	без всякой	2	2
334	и содержания	1	2
335	и даже	9	2
336	или иной	13	2
337	в области	3	2
338	связаны с	1	2
339	в каких	1	2
340	являются только	1	2
341	мы еще	1	2
342	и др	1	2
343	исторического развития	1	2
344	превращается в	1	2
345	самом же	2	2
346	и самый	1	2
347	была бы	2	2
348	то ведь	1	2
349	но уже	1	2
350	существуют в	2	2
351	всех областях	1	2
352	а к	1	2
353	но это	6	2
354	но для	1	2
355	сознания и	3	2
356	все стороны	1	2
357	конце концов	1	2
358	мы должны	3	2
359	в целях	5	2
360	к самому	1	2
361	одной из	4	2
362	но если	6	2
363	именно потому	1	2
364	является и	3	2
365	бы быть	2	2
366	в таком	6	2
367	это понятие	1	2
368	также что	1	1
369	таком случае	1	1
370	сам по	6	1
371	и то	2	1
372	художественных произведений	1	1
373	для науки	1	1
374	и творчество	1	1
375	и закон	2	1
376	от своей	1	1
377	вещь не	1	1
378	и до	1	1
379	собой но	1	1
380	ведь и	1	1
381	со своей	2	1
382	и этот	3	1
383	входящих в	1	1
384	не происходит	1	1
385	есть не	6	1
386	с теорией	1	1
387	мы имеем	6	1
388	нам в	1	1
389	не была	1	1
390	под нее	1	1
391	и глубокие	1	1
392	как эта	1	1
393	ему в	2	1
394	то это	3	1
395	жизни это	1	1
396	под эту	1	1
397	в каждой	3	1
398	это время	1	1
399	себе а	1	1
400	он встречается	1	1
401	и связь	1	1
402	и человеческой	1	1
403	тем как	1	1
404	иной закономерности	1	1
405	всего является	1	1
406	а следовательно	1	1
