N	3gram	Bakhtin_Fr_6	Tragedij
1	то же время	5	5
2	в то же	5	5
3	в данном случае	2	2
4	но в то	1	2
5	и как бы	1	2
6	о том что	5	2
7	но все же	1	2
8	в том что	2	2
9	в обоих случаях	1	1
10	том что он	1	1
11	и до конца	1	1
12	и должна быть	1	1
13	сам по себе	1	1
14	в той же	4	1
15	и то что	2	1
16	отметим также что	1	1
17	все это мы	1	1
18	за то что	1	1
19	никакой роли в	1	1
20	одном из своих	1	1
21	но если он	1	1
22	никогда не был	1	1
23	и в истории	1	1
24	это как бы	1	1
25	подчеркнуть что образ	1	1
26	мы встречаем такие	1	1
27	в конце концов	1	1
28	смысле этого слова	1	1
29	в чем же	1	1
30	по самой середине	1	1
31	так же легко	2	1
32	начала и до	1	1
33	все же не	1	1
34	в xix веке	1	1
35	в связи с	1	1
36	то что он	1	1
37	романа прежде всего	1	1
38	вместо того чтобы	3	1
39	не может быть	1	1
40	если б я	1	1
41	все эти образы	1	1
42	как и все	1	1
43	в одном из	1	1
44	в самом деле	4	1
45	мы узнаем в	1	1
46	с тем и	1	1
47	с начала и	1	1
48	в последней главе	1	1
49	после того как	1	1
