N	3gram	Vygotskiy__6	Freidism
1	с точки зрения	10	11
2	по отношению к	10	8
3	не может быть	2	7
4	в самом деле	1	6
5	мы знаем что	3	4
6	в зависимости от	5	4
7	в данном случае	1	4
8	на самом деле	1	4
9	можно сказать что	6	4
10	как мы видели	4	4
11	для того чтобы	8	3
12	в собственном смысле	1	3
13	на этот вопрос	2	3
14	и тот же	1	3
15	и той же	3	3
16	один и тот	1	3
17	в свою очередь	1	3
18	с самого начала	7	3
19	одной и той	3	3
20	то же самое	6	2
21	и по отношению	1	2
22	до сих пор	3	2
23	и не может	2	2
24	его отношение к	2	2
25	в отличие от	1	2
26	по своему содержанию	1	2
27	но мы знаем	1	2
28	во всех областях	1	2
29	с помощью которого	1	2
30	не могут быть	2	2
31	в этом отношении	3	2
32	на следующих ступенях	1	2
33	зависимости от того	1	2
34	выйти за пределы	1	2
35	в настоящей главе	1	2
36	с одной стороны	1	2
37	тем не менее	1	2
38	в конце концов	1	2
39	мы видели что	3	2
40	том что в	1	1
41	свое отношение к	1	1
42	но как раз	1	1
43	нет и не	1	1
44	мы видим в	2	1
45	только в пределах	1	1
46	зависит от того	1	1
47	вообще не может	1	1
48	это означает что	2	1
49	новых и новых	1	1
50	ответить на этот	1	1
51	в котором он	1	1
52	и в отношении	1	1
53	те же самые	3	1
54	в этом случае	2	1
55	гораздо большей степени	1	1
56	как раз и	1	1
57	как и все	1	1
58	между ними существует	1	1
59	до известной степени	2	1
60	является одним из	1	1
61	что все эти	2	1
62	оказывается для него	1	1
63	только то что	2	1
64	по аналогии с	1	1
65	из того что	3	1
66	в гораздо большей	1	1
67	в этот период	1	1
68	вместе с этим	1	1
69	мы должны прибавить	1	1
70	не исчерпывается мы	1	1
71	что он и	1	1
72	он никогда не	1	1
73	иное отношение к	2	1
74	ничего другого как	1	1
75	в чем заключается	1	1
76	можем ли мы	1	1
77	точки зрения обоих	1	1
78	из того же	1	1
79	следующих ступенях развития	1	1
80	того что он	2	1
81	до конца и	1	1
82	как по отношению	1	1
83	чтобы ответить на	1	1
84	это для ребенка	1	1
85	но вместе с	1	1
86	и не могут	1	1
87	что на первой	1	1
88	по сравнению с	14	1
89	при этом совершенно	1	1
90	это не может	2	1
91	для этого нужно	1	1
92	дело не исчерпывается	1	1
93	то что он	2	1
94	этим дело не	1	1
95	ребенка еще не	2	1
96	но этим дело	1	1
97	собственном смысле слова	1	1
98	дает ему возможность	1	1
99	мы говорили что	1	1
100	и все же	1	1
101	исчерпывается мы должны	1	1
102	они и не	1	1
103	то обстоятельство что	1	1
104	мы не можем	1	1
105	от того что	6	1
106	в то время	6	1
107	то что мы	2	1
108	он должен был	1	1
109	ребенок на первых	1	1
110	ничего общего с	1	1
111	было бы для	1	1
112	к выводу что	1	1
113	того чтобы вообще	1	1
114	не только не	2	1
115	той или иной	1	1
116	его в себя	1	1
117	но и по	1	1
118	смысле этого слова	1	1
119	с этим вопросом	1	1
120	то время когда	1	1
121	в этом смысле	2	1
122	в направлении к	1	1
123	в том что	19	1
124	но не может	1	1
125	что и в	1	1
126	и входит в	1	1
127	является как бы	2	1
128	на первой стадии	1	1
129	только в самых	1	1
130	знаем что в	2	1
