N	2gram	Nazirov_Tr_1	Komedia
1	и в	18	22
2	т е	1	13
3	том что	4	12
4	но и	4	11
5	в том	2	11
6	не только	8	10
7	в то	5	10
8	и т	1	9
9	как и	5	9
10	может быть	7	9
11	таким образом	1	8
12	должны были	1	8
13	о том	2	8
14	и его	6	8
15	в одном	2	8
16	и не	7	8
17	в этой	4	7
18	то же	5	6
19	и по	1	6
20	не в	2	6
21	ни в	2	6
22	в конце	3	6
23	что он	6	6
24	к тому	2	6
25	в которой	1	6
26	что в	4	6
27	в истории	1	5
28	как в	3	5
29	при этом	3	5
30	потому что	2	5
31	мы встречаем	1	5
32	так и	5	5
33	еще в	2	5
34	и даже	4	5
35	между тем	1	5
36	один из	3	5
37	уже в	3	5
38	в его	3	5
39	прежде всего	4	5
40	т п	1	5
41	все это	4	5
42	но в	6	4
43	в нем	4	4
44	и вот	1	4
45	в другом	1	4
46	известно что	1	4
47	несмотря на	5	4
48	в котором	1	4
49	одном из	2	4
50	как мы	1	4
51	же время	6	4
52	а также	1	4
53	что и	2	4
54	тем что	2	4
55	именно в	1	4
56	и особенно	1	4
57	в результате	1	4
58	конце концов	1	4
59	по поводу	2	4
60	в году	9	3
61	и о	1	3
62	х годов	1	3
63	и на	7	3
64	в чем	1	3
65	с одной	1	3
66	в этом	9	3
67	все же	5	3
68	и как	3	3
69	в целом	4	3
70	он не	2	3
71	и еще	1	3
72	здесь мы	1	3
73	и с	7	3
74	его в	2	3
75	в них	1	3
76	и ее	2	3
77	вопрос о	2	3
78	не менее	1	3
79	на всю	1	3
80	того как	1	3
81	ничего не	2	3
82	могут быть	1	3
83	и сам	3	3
84	после того	1	3
85	в частности	2	3
86	в образе	6	3
87	только в	1	3
88	в виде	2	3
89	за счет	1	3
90	отношение к	2	3
91	у него	6	3
92	так же	4	3
93	как это	3	3
94	не удалось	1	3
95	не мог	2	3
96	и все	4	3
97	к людям	3	2
98	ту же	1	2
99	на две	1	2
100	сам автор	1	2
101	в и	1	2
102	на себя	1	2
103	он был	2	2
104	столь же	2	2
105	отличие от	2	2
106	за пределы	1	2
107	в настоящем	1	2
108	к сожалению	1	2
109	чем же	1	2
110	наряду с	1	2
111	несколько раз	1	2
112	к числу	1	2
113	для ее	1	2
114	и хотя	1	2
115	со своей	1	2
116	в самом	2	2
117	право на	1	2
118	в себе	4	2
119	только один	1	2
120	не к	1	2
121	на этом	1	2
122	для характеристики	1	2
123	на все	1	2
124	всяком случае	1	2
125	почти не	1	2
126	но он	1	2
127	тем не	1	2
128	не раз	1	2
129	одна из	2	2
130	судя по	1	2
131	к ней	1	2
132	по своей	1	2
133	и теперь	1	2
134	как будто	3	2
135	в области	1	2
136	ли это	1	2
137	в трагедии	1	2
138	одному из	1	2
139	указывает на	1	2
140	с ее	3	2
141	всего этого	1	2
142	мог бы	3	2
143	до начала	1	2
144	и здесь	2	2
145	в форме	1	2
146	еще не	4	2
147	даже если	2	2
148	который в	2	2
149	именно на	1	2
150	в финале	1	2
151	даже не	1	2
152	в период	1	2
153	и притом	1	2
154	то и	2	2
155	до конца	2	2
156	одну из	1	2
157	в оригинале	1	2
158	не может	5	2
159	вместе с	1	2
160	но не	1	2
161	к нему	3	2
162	но это	4	2
163	об отношении	1	2
164	а к	1	2
165	только что	1	2
166	то что	4	2
167	где он	1	2
168	во всяком	1	2
169	а между	1	1
170	них он	1	1
171	в применении	1	1
172	чтобы не	1	1
173	сам по	1	1
174	или своей	1	1
175	женщины на	1	1
176	из самых	2	1
177	поэтому он	1	1
178	исходит из	1	1
179	высшей степени	1	1
180	объясняется и	1	1
181	намек на	1	1
182	и за	2	1
183	одним из	1	1
184	той же	1	1
185	по мнению	2	1
186	из своих	2	1
187	что под	1	1
188	ему в	1	1
189	по замыслу	2	1
190	как свой	1	1
191	в мире	3	1
192	и он	3	1
193	в ней	1	1
194	ответа на	1	1
195	быть в	1	1
196	во всех	1	1
197	как у	2	1
198	отказ от	1	1
199	отнюдь не	3	1
200	сперва он	1	1
201	с собой	1	1
202	в своем	3	1
203	власть и	1	1
204	смысле этого	1	1
205	говорит что	2	1
206	за все	1	1
207	то в	1	1
208	что это	5	1
209	представляет собой	1	1
210	он в	1	1
211	бы не	1	1
212	все по	1	1
213	но без	1	1
214	только на	1	1
215	самую суть	1	1
216	роль в	1	1
217	как он	1	1
218	в братьях	1	1
219	не могла	1	1
220	что эти	2	1
221	идей и	1	1
222	что же?	2	1
223	к одному	1	1
224	социального типа	1	1
225	сказал что	1	1
226	не могли	1	1
227	способен на	1	1
228	что она	2	1
229	последнее слово	1	1
230	но все	2	1
231	что все	2	1
232	же не	1	1
233	им как	1	1
234	конечно в	1	1
235	единственное что	1	1
236	об этом	4	1
237	был первым	1	1
238	то есть	3	1
239	это было	1	1
240	обоих случаях	1	1
241	дома и	2	1
242	не исключено	1	1
243	перед нами	2	1
244	начала и	1	1
245	любовь к	1	1
246	эти же	1	1
