N	3gram	Bakhtin_Pr_4	Analitik
1	о том что	2	6
2	в том что	2	6
3	в данном случае	1	5
4	с одной стороны	1	4
5	по отношению к	5	4
6	к тому же	1	4
7	в этом случае	1	4
8	как и в	3	3
9	на себя внимание	2	3
10	той или иной	2	3
11	в этом смысле	2	2
12	в то же	5	2
13	с другой стороны	3	2
14	в отличие от	3	2
15	то есть в	4	2
16	можно было бы	2	2
17	в значительной степени	1	2
18	не только в	1	2
19	то же время	5	2
20	в том или	1	2
21	с точки зрения	9	2
22	так или иначе	1	1
23	до некоторой степени	1	1
24	те же самые	1	1
25	определенных языковых стилей	1	1
26	и даже не	1	1
27	как мы это	1	1
28	от автора и	2	1
29	самом наличии определенных	1	1
30	или противопоставлены в	1	1
31	и не знает	1	1
32	словам того же	1	1
33	стилей социальных диалектов	1	1
34	и во всех	1	1
35	хотя бы и	1	1
36	одним и тем	1	1
37	из того же	1	1
38	и в словах	2	1
39	под каким диалогическим	1	1
40	с самим собою	3	1
41	а затем и	1	1
42	если бы он	1	1
43	в самом наличии	1	1
44	языковых стилей социальных	1	1
45	внешней и внутренней	1	1
46	диалогическим углом они	1	1
47	а между тем	1	1
48	между тем как	1	1
49	дело не в	1	1
50	выходят за пределы	2	1
51	не совпадает с	1	1
52	к тому что	1	1
53	и там и	1	1
54	и тем же	1	1
55	как один из	1	1
56	никак не может	1	1
57	в том под	1	1
58	можно сказать что	2	1
59	и то же	1	1
60	а как бы	1	1
61	героя с самим	1	1
62	изо всей силы	1	1
63	они сопоставлены или	1	1
64	как раз и	3	1
65	в системе языка	2	1
66	ведь и сам	3	1
67	о себе не	1	1
68	более или менее	3	1
69	наличии определенных языковых	1	1
70	с оглядкой на	2	1
71	о том же	2	1
72	ибо и в	1	1
73	противопоставлены в произведении	1	1
74	в связи с	1	1
75	в этих случаях	2	1
76	в самом деле	4	1
77	не о том	1	1
78	прежде всего в	1	1
79	том под каким	1	1
80	в свое время	2	1
81	углом они сопоставлены	1	1
82	друг с другом	5	1
83	но и в	2	1
84	сами по себе	2	1
85	но и на	1	1
86	с установкой на	1	1
87	времени как бы	1	1
88	на этот вопрос	2	1
89	не в самом	1	1
90	с самим собой	2	1
91	как бы не	1	1
92	в отношении к	2	1
93	сопоставлены или противопоставлены	1	1
94	сама по себе	2	1
95	другой стороны и	1	1
96	одно и то	1	1
97	каким диалогическим углом	1	1
98	не может быть	8	1
