N	2gram	Vinokur_Vv_1	Russkaja
1	не может	13	22
2	и не	13	19
3	в том	31	17
4	в этом	34	17
5	и в	27	14
6	национальной культуры	4	13
7	то что	17	13
8	то же	8	11
9	точки зрения	7	11
10	таким образом	19	11
11	в то	5	10
12	же время	5	10
13	но и	5	10
14	в себе	4	9
15	не только	21	9
16	том что	26	9
17	с точки	2	9
18	может быть	24	9
19	во всяком	3	9
20	того чтобы	21	8
21	прежде всего	8	8
22	как на	11	8
23	самом деле	6	7
24	и с	2	7
25	в данном	11	7
26	к тому	4	7
27	о том	15	7
28	мы должны	1	7
29	ни к	2	7
30	в своем	3	6
31	и к	1	6
32	в россии	1	6
33	с тем	6	6
34	в своих	2	6
35	и при	2	6
36	если бы	2	6
37	все это	6	6
38	и для	4	6
39	для того	21	6
40	что он	4	6
41	всяком случае	3	6
42	для него	1	6
43	на самом	1	6
44	а между	1	5
45	вопрос о	8	5
46	и на	3	5
47	между собой	1	5
48	во всех	2	5
49	на то	1	5
50	в нем	13	5
51	при этом	3	5
52	он должен	1	5
53	было бы	5	5
54	в своей	4	5
55	никогда не	3	5
56	данного народа	2	5
57	потому что	14	5
58	между тем	8	5
59	а потому	3	5
60	только в	13	5
61	хотя бы	5	5
62	или иной	1	5
63	до сих	5	5
64	из которых	2	5
65	по существу	2	5
66	национальная культура	1	5
67	сих пор	5	5
68	а в	5	5
69	и то	5	4
70	смотреть на	4	4
71	бы то	1	4
72	но не	7	4
73	себе и	2	4
74	себя в	2	4
75	все же	8	4
76	не в	8	4
77	в этой	3	4
78	то ни	1	4
79	его в	6	4
80	как и	5	4
81	в их	11	4
82	точку зрения	1	4
83	тогда когда	3	4
84	во всем	2	4
85	а лишь	1	4
86	ли это	1	4
87	от того	3	4
88	не могут	5	4
89	переворот в	1	4
90	идет речь	2	4
91	можно было	7	4
92	при том	5	4
93	и т.д	4	4
94	в его	10	4
95	так как	13	4
96	лишь к	1	4
97	со стороны	12	4
98	вместе с	6	4
99	что же	3	4
100	как бы	5	4
101	жизни и	2	4
102	что в	11	4
103	все что	1	4
104	вряд ли	2	3
105	и т	43	3
106	то в	1	3
107	так чтобы	3	3
108	говорить о	3	3
109	еще не	4	3
110	он сам	3	3
111	самих себя	1	3
112	из этих	5	3
113	в самом	12	3
114	что это	3	3
115	ни одна	2	3
116	главным образом	1	3
117	на том	3	3
118	был и	1	3
119	в другом	3	3
120	лишь в	1	3
121	для них	1	3
122	о которых	2	3
123	несмотря на	2	3
124	должно быть	2	3
125	но если	3	3
126	и сейчас	2	3
127	том чтобы	6	3
128	одна из	2	3
129	связи с	3	3
130	то это	3	3
131	что оно	2	3
132	той или	1	3
133	приходит к	1	3
134	что все	1	3
135	данном случае	5	3
136	что может	3	3
137	надо признать	1	3
138	для этого	3	3
139	в вопросах	1	3
140	в значительной	2	3
141	вопросу о	2	3
142	что и	3	3
143	в лучшем	1	3
144	того что	12	3
145	одной из	3	3
146	в качестве	7	3
147	в виде	4	3
148	из них	3	3
149	в конце	3	3
150	тем что	6	3
151	именно в	8	3
152	не было	1	3
153	в положении	1	3
154	да и	4	3
155	культуры в	5	3
156	этом случае	6	3
157	лучшем случае	1	3
158	или в	1	3
159	о котором	8	3
160	конце концов	2	3
161	и как	9	3
162	не есть	4	3
163	от этой	1	2
164	речь идет	2	2
165	к данному	1	2
166	и есть	3	2
167	должна быть	2	2
168	видеть в	1	2
169	вся она	1	2
170	новой исторической	1	2
171	приводят к	1	2
172	в ней	3	2
173	время в	2	2
174	взгляде на	2	2
175	смотрят на	1	2
176	именно на	2	2
177	по отношению	4	2
178	тогда как	2	2
179	существование в	1	2
180	не просто	4	2
181	сама по	3	2
182	всю эту	1	2
183	с этим	2	2
184	что действительно	1	2
185	помнить что	1	2
186	к культуре	2	2
187	но в	10	2
188	это есть	2	2
189	а во-вторых	2	2
190	все эти	3	2
191	каждого народа	1	2
192	и тот	1	2
193	во многих	1	2
194	и те	2	2
195	состоит в	2	2
196	не к	2	2
197	и вот	3	2
198	европейской культуры	1	2
199	чтобы в	1	2
200	факт что	1	2
201	мы уже	1	2
202	на этой	3	2
203	того или	1	2
204	на почве	5	2
205	по себе	9	2
206	и тем	5	2
207	ведь в	1	2
208	участие в	1	2
209	русской культуры	1	2
210	на основании	5	2
211	этого не	2	2
212	и тогда	3	2
213	нисколько не	3	2
214	народа и	1	2
215	в этих	3	2
216	во время	1	2
217	будет в	2	2
218	что такое	10	2
219	котором идет	2	2
220	могут не	1	2
221	в котором	4	2
222	в силу	3	2
223	и более	1	2
224	том же	2	2
225	для нее	1	2
226	любовь к	4	2
227	бы нас	1	2
228	тому что	2	2
229	в таких	1	2
230	культурной жизни	2	2
231	что с	3	2
232	в мировоззрении	1	2
233	у него	1	2
234	следовательно и	1	2
235	и является	1	2
236	на которой	1	2
237	как будто	3	2
238	в области	4	2
239	деятельности и	2	2
240	отличается от	1	2
241	понять что	1	2
242	если же	2	2
243	для себя	1	2
244	и о	1	2
245	значительной мере	1	2
246	культуры и	1	2
247	во главе	1	2
248	ясно что	9	2
249	это только	4	2
250	и должно	1	2
251	настоящее время	1	2
252	и что	4	2
253	были бы	1	2
254	они принадлежат	1	2
255	к нему	2	2
256	это в	2	2
257	вся эта	1	2
258	эта работа	1	2
259	народов и	2	2
