N	4gram	Vygotskiy__1	StatiiOP
1	дело в том что	1	4
2	о том что он	1	3
3	в одном из писем	1	2
4	если принять во внимание	1	2
5	той мере в какой	1	2
6	в той мере в	1	2
7	совершенно так же как	1	2
8	одно и то же	1	1
9	одному и тому же	1	1
10	в том что она	2	1
11	одни и те же	1	1
12	виде в каком он	1	1
13	не в том что	1	1
14	так же как в	1	1
15	он не только не	2	1
16	точно так же как	1	1
17	поскольку речь идет о	1	1
18	заключается в том что	3	1
19	и т п в	1	1
20	дело не в том	1	1
21	в отличие от других	1	1
22	одним и тем же	1	1
23	но вместе с тем	1	1
