N	3gram	Bakhtin_fo_1	Formalny
1	с точки зрения	2	14
2	не может быть	3	14
3	в то же	6	7
4	то же время	9	7
5	во всяком случае	1	6
6	и т п	8	5
7	в зависимости от	1	5
8	в самом деле	1	4
9	для того чтобы	5	4
10	а вовсе не	1	4
11	в связи с	5	4
12	в данном случае	1	4
13	в том что	2	3
14	в этом романе	2	3
15	по отношению к	3	3
16	вовсе не является	1	3
17	в этом отношении	3	3
18	все без исключения	1	3
19	вместе с тем	2	3
20	так и в	1	2
21	в последнем счете	1	2
22	и во всяком	1	2
23	и в то	5	2
24	до известной степени	1	2
25	ровно ничего не	1	2
26	равно как и	2	2
27	может быть только	3	2
28	сами по себе	1	2
29	смысле этого слова	1	2
30	в высшей степени	1	2
31	дело в том	2	2
32	мы уже знаем	1	2
33	в отличие от	2	2
34	в истории романа	1	1
35	о том что	1	1
36	для него это	1	1
37	с одной стороны	2	1
38	с самого начала	2	1
39	между ними не	1	1
40	значение в романе	2	1
41	так же как	2	1
42	и в литературе	1	1
43	героя и его	1	1
44	в данном месте	1	1
45	возможно лишь в	1	1
46	жизни и в	2	1
47	тот факт что	1	1
48	мы уже указывали	4	1
49	лишь там где	1	1
50	жизни в то	1	1
51	и тогда когда	1	1
52	не физическое тело	1	1
53	так и его	1	1
54	так сказать в	1	1
55	а следовательно и	1	1
56	в это время	1	1
57	если они не	1	1
58	условный характер носит	1	1
59	как и в	2	1
60	и в том	1	1
61	видение и понимание	1	1
62	только на почве	1	1
63	человека в жизни	1	1
64	говорит о том	1	1
65	имеет место и	1	1
66	особенно остро эта	1	1
67	друг на друга	2	1
68	до сих пор	3	1
69	не касаемся здесь	1	1
70	не являются только	1	1
71	на первый план	1	1
72	с нашей точки	3	1
73	в его целом	2	1
74	еще вернемся в	1	1
75	в той же	1	1
76	и тех же	2	1
77	мы еще не	1	1
78	имеем в виду	1	1
79	и того же	5	1
80	который был бы	1	1
81	в данных исторических	1	1
82	если бы например	1	1
83	в реальное время	1	1
84	в этом случае	1	1
85	с тем что	1	1
86	и в других	4	1
87	в определенном месте	2	1
88	в искусстве и	1	1
89	и все другие	2	1
90	в ее целом	2	1
91	внешнее и внутреннее	2	1
92	в разных жанрах	1	1
93	в виду что	1	1
94	более и более	1	1
95	и до конца	2	1
96	все то что	2	1
97	во все стороны	1	1
98	одних и тех	2	1
99	одной из них	1	1
100	но отнюдь не	1	1
101	отношению к быту	2	1
102	в значительной степени	1	1
103	отца к сыну	1	1
104	не только в	2	1
105	от отца к	1	1
106	мы еще вернемся	1	1
107	одного и того	5	1
108	в том числе	4	1
109	совершенно независимо от	1	1
110	нашей точки зрения	3	1
111	той или иной	2	1
112	и в самом	1	1
113	мы имеем в	1	1
114	которые могут быть	1	1
115	мы говорили в	1	1
116	но все же	2	1
117	так как он	1	1
118	лишь в пределах	2	1
119	друг с другом	1	1
120	сама по себе	1	1
121	со всех сторон	1	1
122	отличие от всех	1	1
123	в других областях	1	1
124	ее значение для	1	1
125	мы не касаемся	1	1
126	поэтому и не	1	1
127	в романе их	1	1
128	остается тем же	1	1
129	кроме того в	1	1
130	может иметь место	1	1
131	и все же	1	1
132	они не могут	1	1
133	ними не может	1	1
134	так и по	1	1
135	не только на	1	1
136	все более и	1	1
137	в том же	1	1
138	в нем нет	2	1
139	вовсе не являются	1	1
140	том числе и	2	1
141	более того если	1	1
142	не входят в	1	1
143	жанра в процессе	1	1
144	оно ориентировано на	1	1
145	таким образом все	1	1
146	того если мы	1	1
147	в нем как	1	1
148	данных исторических условиях	1	1
149	есть одно из	1	1
150	в жизни и	1	1
151	с тем и	1	1
