N	2gram	Trubetskoy_1	StatiiOP
1	и в	26	29
2	в том	11	27
3	том что	7	27
4	в этом	15	21
5	но и	9	19
6	что в	9	19
7	не только	10	19
8	о том	6	17
9	в его	5	13
10	что он	4	13
11	то что	7	11
12	в которой	3	11
13	все это	6	11
14	таким образом	22	10
15	к тому	6	10
16	как на	8	9
17	так и	6	9
18	он не	4	9
19	потому что	7	9
20	и не	8	9
21	этом отношении	2	9
22	в своем	3	9
23	как раз	1	8
24	но в	7	8
25	и пр	1	8
26	в своей	1	7
27	с тем	18	7
28	вместе с	15	7
29	для того	5	7
30	в котором	4	7
31	того как	1	7
32	в самом	4	7
33	в ней	1	7
34	так например	2	7
35	в виду	2	7
36	но все	7	7
37	одним из	2	6
38	все же	6	6
39	до сих	5	6
40	в одном	3	6
41	и его	1	6
42	в течение	4	6
43	факт что	1	6
44	и на	2	6
45	и что	4	6
46	того чтобы	5	6
47	прежде всего	2	5
48	точки зрения	13	5
49	сих пор	5	5
50	того что	3	5
51	в той	1	5
52	между тем	2	5
53	в качестве	3	5
54	о чем	1	5
55	а не	5	5
56	было бы	1	5
57	как бы	12	5
58	но с	3	4
59	и с	10	4
60	связи с	9	4
61	после того	1	4
62	кроме того	1	4
63	в нем	4	4
64	не в	2	4
65	тот факт	1	4
66	для него	3	4
67	и к	5	4
68	и о	3	4
69	ничего не	1	4
70	именно в	2	4
71	должен был	4	4
72	при помощи	1	4
73	не приходится	1	4
74	к этому	3	4
75	с другой	8	4
76	а как	1	4
77	речь идет	1	4
78	и здесь	2	3
79	и сейчас	2	3
80	на нее	3	3
81	так же	5	3
82	не был	1	3
83	это слово	1	3
84	еще и	1	3
85	связан с	2	3
86	не было	2	3
87	не менее	3	3
88	наконец в	2	3
89	за свою	1	3
90	хотя бы	3	3
91	что это	3	3
92	по себе	1	3
93	в их	1	3
94	в образе	2	3
95	но не	8	3
96	одной из	5	3
97	во всяком	6	3
98	иметь в	1	3
99	должно было	2	3
100	в начале	2	3
101	никогда не	5	3
102	и даже	3	3
103	в этих	4	3
104	в россии	2	3
105	в пользу	2	3
106	так что	3	3
107	идет о	1	3
108	как в	1	3
109	похоже на	1	3
110	у нас	1	3
111	с этим	1	3
112	ни в	1	3
113	тому же	5	3
114	а с	7	3
115	всяком случае	6	3
116	тем что	1	3
117	не могло	2	3
118	другой стороны	1	3
119	ни у	2	3
120	вряд ли	1	3
121	же как	3	3
122	одном из	1	3
123	в общем	8	3
124	с самого	3	3
125	его не	2	3
126	самом деле	1	3
127	давно уже	1	3
128	борьбы с	1	3
129	смотрел на	1	3
130	в эту	2	3
131	не является	1	3
132	из них	7	3
133	и по	4	3
134	самого начала	2	3
135	но это	1	3
136	все эти	6	2
137	о которых	1	2
138	из таких	1	2
139	в значительной	3	2
140	на его	1	2
141	тогда как	1	2
142	как и	1	2
143	бы то	2	2
144	того же	6	2
145	что они	1	2
146	не может	4	2
147	случае не	3	2
148	на это	1	2
149	не по	1	2
150	совершенно так	1	2
151	не к	2	2
152	из этой	2	2
153	связь с	2	2
154	в себе	6	2
155	на то	2	2
156	представляется возможным	1	2
157	даже в	1	2
158	и другие	3	2
159	в конце	6	2
160	не представляется	1	2
161	в области	9	2
162	дело не	1	2
163	и те	3	2
164	в то	4	2
165	если не	2	2
166	эти слова	1	2
167	его в	1	2
168	борьбу с	1	2
169	не смотрел	1	2
170	там где	1	2
171	в ее	1	2
172	далее в	1	2
173	с этой	3	2
174	о мире	1	2
175	совершенно не	1	2
176	особенно в	2	2
177	сами по	1	2
178	тем же	1	2
179	то ни	2	2
180	то же	4	2
181	с точки	6	2
182	не имеет	5	2
183	во внимание	1	2
184	они не	1	2
185	утверждать что	2	2
186	отличие от	1	2
187	на почве	1	2
188	у всех	2	2
189	что такое	1	2
190	в одной	1	2
191	в отношении	6	2
192	только с	1	2
193	и самый	1	2
194	с царем	1	2
195	и это	2	2
196	к сожалению	3	2
197	и потому	6	2
198	тем не	3	2
199	только в	4	2
200	или менее	5	2
201	это было	1	2
202	если бы	3	2
203	эту сторону	1	2
204	только что	2	2
205	во время	4	2
206	по своему	2	2
207	более или	5	2
208	в них	2	2
209	очень мало	4	2
210	где я	1	2
211	только не	2	2
212	фактом что	1	2
213	ни было	2	2
214	в этой	4	2
215	мере в	1	2
216	том же	1	2
217	что именно	2	2
218	при этом	3	2
219	в каком	1	2
220	не потому	2	2
221	ни с	1	2
222	что и	6	2
223	в отличие	1	2
224	в процессе	2	2
225	как известно	1	2
226	в результате	3	2
227	простого народа	1	2
228	на какие	1	2
229	находим в	1	2
230	несмотря на	6	2
231	взглянуть на	1	2
232	с его	2	2
233	в которую	1	2
234	народа в	1	2
235	образцом для	1	2
236	видел в	1	2
237	а также	2	2
238	на этот	4	2
239	по существу	2	2
240	может быть	10	2
241	но они	1	2
242	сказать что	2	2
243	должна была	2	2
244	такое же	1	2
245	что с	1	2
246	так как	9	2
247	этот вопрос	1	2
248	и как	3	2
249	не могли	1	2
250	это был	1	2
251	и более	1	2
252	в данном	1	2
253	прямом смысле	1	1
254	его от	2	1
255	одну из	1	1
256	в первую	1	1
257	и совершенно	1	1
258	прежде чем	1	1
259	забывали что	1	1
260	по сравнению	2	1
261	первую очередь	1	1
262	сравнению с	2	1
263	могли быть	1	1
264	существование и	1	1
265	бы в	1	1
266	к которому	2	1
267	еще не	2	1
268	их с	1	1
269	в свое	1	1
270	же время	2	1
271	вся история	1	1
272	данном случае	1	1
273	в связи	3	1
274	должны быть	1	1
275	конце концов	3	1
276	то не	1	1
277	мы и	1	1
278	можно сказать	3	1
279	место в	1	1
280	на пути	2	1
281	с того	2	1
282	жизни и	2	1
283	по одному	1	1
284	к концу	3	1
285	но для	1	1
286	отличается от	2	1
287	больше чем	2	1
288	участвовать в	1	1
289	нет в	1	1
290	и для	5	1
291	что когда	1	1
292	эти два	1	1
293	которым они	1	1
294	себе в	1	1
295	безусловно был	1	1
296	здесь не	1	1
297	и действительно	2	1
298	и их	1	1
299	пути с	1	1
300	от слов	1	1
301	кого больше	1	1
302	только на	1	1
303	переселиться в	1	1
304	и тот	1	1
305	при жизни	4	1
306	все были	1	1
307	и все	2	1
308	и вместе	4	1
309	народ не	1	1
310	к которым	2	1
311	одновременно и	2	1
312	образом при	1	1
313	на эту	1	1
314	настоящее время	1	1
315	совершенно неправильно	1	1
316	у него	1	1
317	причем в	1	1
318	его тело	1	1
319	но точно	1	1
320	всем что	1	1
321	мы не	1	1
322	не так	1	1
323	жизни то	1	1
324	очень много	2	1
325	и далее	1	1
326	не были	1	1
327	русского и	1	1
328	с другими	4	1
329	что человек	1	1
330	вплоть до	2	1
331	а между	1	1
332	вследствие этого	1	1
333	что к	1	1
334	похож на	2	1
335	согласно которой	1	1
336	было в	1	1
337	жизнь в	1	1
338	народу в	1	1
339	это предположение	1	1
340	а в	4	1
341	следует сказать	1	1
342	и во	1	1
343	по тому	2	1
344	он сам	1	1
345	совсем не	1	1
346	в настоящее	1	1
347	вышел победителем	1	1
348	до народа	1	1
349	видели выше	1	1
350	так легко	1	1
351	ничем не	4	1
352	по языку	1	1
353	образом уже	1	1
354	всего что	1	1
355	языка как	1	1
