N	2gram	Bakhtin_fo_2	Mirosoze
1	может быть	7	30
2	не только	11	29
3	и в	46	28
4	не может	2	28
5	но и	9	25
6	а не	4	25
7	он не	5	24
8	человеческой природы	2	20
9	в этом	22	20
10	не было	3	18
11	у него	9	17
12	не в	9	16
13	потому что	8	16
14	в ней	1	15
15	в своей	1	15
16	человека и	4	14
17	и есть	2	14
18	он был	2	14
19	никогда не	6	14
20	до конца	2	14
21	человека в	6	13
22	в нем	5	13
23	и он	4	12
24	и это	2	12
25	в самом	1	11
26	для него	3	11
27	и не	9	11
28	в своем	5	10
29	человек не	2	10
30	было бы	2	10
31	бога и	2	10
32	что в	5	10
33	в мире	4	10
34	прежде всего	14	10
35	что он	3	10
36	был бы	1	10
37	и потому	2	10
38	и все	6	10
39	с тем	2	9
40	но он	2	9
41	и его	12	9
42	в его	8	9
43	человек в	2	9
44	из самых	2	8
45	в котором	4	8
46	но не	5	8
47	человека человек	1	8
48	не был	2	7
49	менее всего	1	7
50	но в	10	7
51	в себе	4	7
52	в конце	2	7
53	в самой	2	7
54	того что	3	7
55	он весь	1	7
56	образ человека	2	7
57	должна быть	1	6
58	и на	7	6
59	он сам	1	6
60	в которой	1	6
61	лишь в	2	6
62	в этой	2	6
63	все в	2	6
64	только в	11	6
65	вместе с	9	6
66	все это	6	6
67	в том	10	6
68	нет и	3	5
69	в глубину	1	5
70	от нее	1	5
71	это не	2	5
72	как и	8	5
73	что есть	1	5
74	у нас	2	5
75	раскрывается в	1	5
76	не могут	1	5
77	то что	7	5
78	и человека	1	5
79	мира и	9	5
80	смысле слова	2	4
81	отношения к	4	4
82	это и	1	4
83	есть не	1	4
84	отношение к	3	4
85	за пределы	1	4
86	не как	1	4
87	в человеческой	1	4
88	и по	3	4
89	должен был	1	4
90	в них	7	4
91	в этих	3	4
92	точки зрения	10	4
93	в их	3	4
94	в которых	3	4
95	она не	2	4
96	иной мир	1	4
97	что и	3	4
98	значит что	2	4
99	один из	2	4
100	уже не	3	4
101	уже в	4	4
102	ни с	1	4
103	а в	3	4
104	тем что	3	4
105	и вместе	1	4
106	в любви	1	4
107	не знал	1	4
108	с этой	4	4
109	не знает	2	4
110	с его	1	3
111	с этим	5	3
112	когда он	1	3
113	этого мира	2	3
114	бы и	1	3
115	идей и	1	3
116	и еще	1	3
117	и вот	2	3
118	добрым и	1	3
119	на этом	2	3
120	и с	6	3
121	то есть	10	3
122	его в	6	3
123	мир в	4	3
124	не мог	2	3
125	том что	4	3
126	человеческого образа	2	3
127	не имеет	1	3
128	у данте	3	3
129	к тому	3	3
130	в ее	1	3
131	особенно в	2	3
132	с собой	1	3
133	учение о	1	3
134	все его	4	3
135	в него	1	3
136	себя в	1	3
137	конечно не	4	3
138	и их	4	3
139	так как	6	3
140	себя и	3	3
141	плоти и	2	3
142	это есть	1	3
143	для человека	1	3
144	это значит	3	3
145	должно быть	5	3
146	он раскрывает	1	3
147	христа и	1	3
148	интерес к	1	3
149	в динамике	1	3
150	в иной	2	3
151	мы увидим	1	3
152	от природы	1	3
153	есть и	4	3
154	на своем	1	3
155	также и	4	2
156	чтобы не	1	2
157	в этот	3	2
158	а как	1	2
159	вопрос о	1	2
160	время как	1	2
161	в виду	3	2
162	себе и	1	2
163	в истории	4	2
164	как в	4	2
165	все же	6	2
166	и как	3	2
167	и к	2	2
