N	4gram	Vinokur_Ku_2	StatiiOP
1	в то время как	1	4
2	в то же время	3	3
3	состоит в том что	1	2
4	и тем не менее	4	2
5	все более и более	1	2
6	заключается в том что	1	2
7	и пр ср также	1	1
8	пр с точки зрения	1	1
9	и т п в	2	1
10	я имею в виду	1	1
11	вообще и в частности	1	1
12	дело не в том	1	1
13	мы имеем здесь дело	1	1
14	с этой точки зрения	2	1
15	одной и той же	1	1
16	не в том чтобы	1	1
17	по крайней мере дважды	1	1
18	и т п но	2	1
19	о котором говорилось выше	1	1
20	и в самом деле	2	1
21	в связи с этим	1	1
22	все это однако не	1	1
23	то обстоятельство что в	1	1
24	как можно было бы	1	1
25	и свое место в	1	1
26	об этом ниже а	1	1
27	и то обстоятельство что	1	1
28	приводит к тому что	1	1
29	не говоря уже о	2	1
30	и пр с точки	1	1
