N	3gram	Bakhtin_sl_1	Problema
1	тем не менее	1	18
2	и т д	5	10
3	для того чтобы	1	8
4	в данном случае	3	8
5	о том что	1	5
6	в том что	1	5
7	в литературе и	1	4
8	то есть в	1	4
9	той или иной	9	4
10	в то же	12	4
11	дело в том	1	3
12	более или менее	3	3
13	с точки зрения	8	3
14	до сих пор	2	3
15	может быть и	1	3
16	во всяком случае	5	3
17	здесь перед нами	1	3
18	не только не	1	3
19	можно сказать что	1	3
20	с другой стороны	4	3
21	в этом случае	2	2
22	в других случаях	2	2
23	но как мы	1	2
24	так или иначе	1	2
25	по крайней мере	1	2
26	и на его	1	2
27	тех или иных	1	2
28	а также и	1	2
29	и в этом	2	2
30	во всех этих	1	2
31	никогда не может	1	2
32	о которых мы	1	2
33	не может быть	1	2
34	того или иного	2	2
35	тем и другим	1	2
36	можно было бы	2	2
37	и следовательно в	2	2
38	вместе со всем	1	1
39	а между тем	2	1
40	и на этот	1	1
41	а не к	1	1
42	все дело в	1	1
43	не выходит за	3	1
44	в скрытой форме	1	1
45	бы оно ни	1	1
46	мы уже сказали	2	1
47	он может быть	1	1
48	которых мы говорили	1	1
49	на один из	1	1
50	а следовательно и	1	1
51	и во всех	2	1
52	как мы сказали	4	1
53	и в то	5	1
54	до известной степени	2	1
55	на самом же	1	1
56	в этом отношении	1	1
57	к тому или	1	1
58	и т п	23	1
59	до наших дней	1	1
60	то или иное	1	1
61	и те моменты	1	1
62	одно и то	2	1
63	в процессе своего	1	1
64	слово во всех	1	1
65	за пределы его	1	1
66	то время как	2	1
67	и в них	1	1
68	в нем может	1	1
69	если бы мы	1	1
70	прежде всего как	1	1
71	но в то	4	1
72	не только в	2	1
73	и с точки	1	1
74	мы не знаем	1	1
75	о нем и	2	1
76	том что всякий	1	1
77	и то же	2	1
78	так и в	3	1
79	в которой они	1	1
80	в известном смысле	2	1
81	и ничего не	1	1
82	таких понятий как	1	1
83	это было бы	1	1
84	в нем всегда	1	1
85	перед нами в	1	1
86	не могут быть	2	1
87	это не значит	1	1
88	а вовсе не	2	1
89	бы то ни	1	1
90	остановимся на анализе	1	1
91	и в том	2	1
92	нет и ничего	1	1
93	и до наших	1	1
94	оно ни было	1	1
95	таким образом в	3	1
96	всякой оглядки на	1	1
97	в то время	2	1
98	дело не с	2	1
99	и нет ничего	1	1
100	точки зрения самого	2	1
101	и его содержание	1	1
102	то есть как	3	1
103	выходит за пределы	3	1
104	вовсе не требует	1	1
105	последние два дня	1	1
106	у нас в	1	1
107	в другом случае	2	1
108	как мы уже	2	1
109	к тому что	2	1
110	в том и	2	1
111	том и в	2	1
112	это не только	1	1
113	самом же деле	1	1
114	как и в	1	1
115	между прочим в	1	1
116	таким образом на	1	1
117	как мы видели	1	1
118	и в другом	2	1
