N	3gram	Losev_Dial_4	Tragedij
1	то же время	6	5
2	в то же	6	5
3	в отличие от	1	2
4	точно так же	2	2
5	и в частности	2	2
6	в данном случае	1	2
7	но в то	2	2
8	и как бы	1	2
9	не в силах	1	2
10	о том что	1	2
11	но все же	1	2
12	в том что	9	2
13	в этом случае	1	1
14	в обоих случаях	1	1
15	хорошо знает и	1	1
16	не только о	1	1
17	это должно быть	1	1
18	у достоевского в	1	1
19	и что же?	1	1
20	и то в	1	1
21	имеет в виду	1	1
22	и не может	1	1
23	хотя бы и	2	1
24	сам по себе	2	1
25	во веки веков	1	1
26	и не могли	1	1
27	в той же	1	1
28	и то что	1	1
29	это как бы	1	1
30	а стало быть	2	1
31	что уже не	1	1
32	еще ничего не	2	1
33	в конце концов	1	1
34	в чем же	2	1
35	и в этом	3	1
36	по сравнению с	2	1
37	и при этом	1	1
38	тем не менее	2	1
39	по природе своей	1	1
40	что я вижу	1	1
41	в связи с	1	1
42	мы отнюдь не	1	1
43	не может быть	6	1
44	как и все	2	1
45	и вместе с	1	1
46	это и есть	4	1
47	не только не	1	1
48	в последней главе	1	1
49	после того как	1	1
50	и сорвался с	1	1
51	может быть в	1	1
52	своей и чужой	1	1
