N	3gram	Medvedev_U_1	Formalny
1	не может быть	4	10
2	в этом отношении	2	7
3	в самом деле	2	5
4	с тем что	1	5
5	то же время	3	5
6	в то же	3	5
7	не могут быть	2	4
8	о формальном методе	1	3
9	и в то	1	3
10	сам по себе	1	3
11	не в том	1	3
12	с другой стороны	3	3
13	этом отношении очень	1	2
14	в этом смысле	2	2
15	на первый план	1	2
16	искусство как прием	1	2
17	в конце концов	2	2
18	не входит в	1	2
19	и в этой	2	2
20	формального метода в	1	2
21	поэтики на лингвистику	1	2
22	и прежде всего	1	2
23	в том что	2	2
24	правило форма создает	1	1
25	и в конце	1	1
26	и случилось с	1	1
27	для формального метода	1	1
28	методах изучения литературы	1	1
29	не как литературные	1	1
30	установку на выражение	1	1
31	наука о литературе	1	1
32	более или менее	1	1
33	равно как и	1	1
34	и конструктивное значение	1	1
35	как психологические документы	1	1
36	но даже и	2	1
37	формального метода не	1	1
38	в этом случае	1	1
39	с одной стороны	1	1
40	уже не как	1	1
41	не о методах	1	1
42	до сих пор	2	1
43	литературные произведения а	1	1
44	метода он становится	1	1
45	склонен рассматривать не	1	1
46	является одним из	1	1
47	же время не	1	1
48	рассматривать не как	1	1
49	поэтика должна быть	1	1
50	в данное время	1	1
51	поэтика и лингвистика	1	1
52	в противном случае	2	1
53	изучения литературы а	1	1
54	по крайней мере	2	1
55	к сожалению и	1	1
56	мы полагаем что	1	1
57	в художественном творчестве	2	1
58	этом отношении статья	1	1
59	о чем рассказывается	1	1
60	произведения а как	1	1
61	в этой области	3	1
62	постулирует историческую индивидуальность	1	1
63	в данном случае	1	1
64	вопрос идет не	1	1
65	но в то	1	1
66	тем что он	1	1
67	в той же	1	1
68	о методах изучения	1	1
69	между тем в	1	1
70	так или иначе	1	1
71	в большей или	1	1
72	или меньшей степени	1	1
73	все же не	1	1
74	бы то ни	3	1
75	а как психологические	1	1
76	формального метода как	2	1
77	в сторону от	1	1
78	то о чем	1	1
79	как литературные произведения	1	1
80	форма создает для	1	1
81	формальном методе и	1	1
82	в широком смысле	1	1
83	не было бы	1	1
84	литературы а о	1	1
85	слово как таковое	1	1
86	для себя содержание	1	1
87	имеем в виду	1	1
88	большей или меньшей	1	1
89	создает для себя	1	1
90	пишет в шкловский	1	1
91	обычное правило форма	1	1
92	в художественном произведении	2	1
93	мы имеем в	1	1
94	он вводит понятие	1	1
95	истории литературы как	1	1
96	ориентации поэтики на	1	1
97	на лингвистику в	1	1
