N	3gram	Berdyaev_M_1	FransuaR
1	для того чтобы	2	6
2	в том что	1	6
3	потому что он	1	3
4	до сих пор	2	3
5	в необходимости и	1	3
6	в нем не	2	3
7	он не только	2	2
8	в отличие от	1	2
9	можно было бы	1	2
10	в то время	2	2
11	так как они	1	2
12	в самой жизни	1	2
13	не может быть	17	2
14	нужно сказать что	1	2
15	как бы в	1	2
16	не только для	1	2
17	и потому она	1	1
18	что иное как	1	1
19	ничего не остается	1	1
20	потому что в	3	1
21	своем художественном творчестве	1	1
22	по отношению к	2	1
23	в самом деле	1	1
24	к нему не	1	1
25	как и все	1	1
26	что он не	2	1
27	его не только	1	1
28	и та же	1	1
29	то есть во	1	1
30	между тем как	1	1
31	он не может	2	1
32	но это не	1	1
33	в своей книге	1	1
34	он ни был	1	1
35	вместе с тем	5	1
36	может быть и	1	1
37	в значительной степени	1	1
38	в себе в	1	1
39	в своем художественном	1	1
40	более чем кто-либо	1	1
41	в его время	1	1
42	быть и речи	1	1
43	во всех этих	1	1
44	и в этой	4	1
45	не было ничего	1	1
46	от мира сего	1	1
47	но и с	1	1
48	и в самой	1	1
49	в нем есть	1	1
50	что в своей	1	1
51	не что иное	1	1
52	от того что	1	1
53	с тем он	2	1
54	что ему удалось	1	1
55	но он не	2	1
56	на этом основании	1	1
57	одна и та	1	1
58	о том что	1	1
59	и речи о	1	1
60	и в самом	3	1
61	и его особая	1	1
62	не остается кроме	1	1
63	бы он ни	1	1
64	с ним может	1	1
65	был одним из	1	1
66	что в основе	1	1
67	что и в	1	1
