N	3gram	Berdyaev_O_1	FransuaR
1	о том что	1	5
2	в другом месте	1	4
3	в самом деле	1	4
4	в этом отношении	1	3
5	вместо того чтобы	1	3
6	и то что	1	2
7	но и в	2	2
8	дело доходит до	1	2
9	в том что	1	2
10	и прежде всего	1	2
11	том что в	1	1
12	о том как	1	1
13	и все это	1	1
14	как и все	2	1
15	то он должен	1	1
16	в строгом смысле	1	1
17	у него в	5	1
18	иначе чем в	1	1
19	нужно отметить что	1	1
20	никогда не было	2	1
21	было для него	1	1
22	сам по себе	1	1
23	смысле этого слова	1	1
24	для него также	1	1
25	друг к другу	1	1
26	как бы в	1	1
27	для того чтобы	3	1
28	чувств и мыслей	1	1
29	не может быть	2	1
30	что нет у	1	1
31	после того как	1	1
32	но и там	1	1
33	в каждом из	1	1
34	и все что	1	1
