N	3gram	Savitsky_E_1	VrazhdaK
1	отцов и детей	1	4
2	то же время	14	4
3	в то же	15	4
4	в связи с	1	3
5	с точки зрения	16	2
6	но в то	2	2
7	не может быть	2	2
8	в том что	6	2
9	между прочим и	2	1
10	в этом смысле	3	1
11	в соответствии с	1	1
12	в том же	1	1
13	а тем более	2	1
14	а также в	1	1
15	в этом отношении	3	1
16	независимо от того	1	1
17	в этот период	1	1
18	может быть и	1	1
19	и в то	8	1
20	не имеет никаких	1	1
21	так же как	5	1
22	по нашему мнению	2	1
23	в известном смысле	3	1
24	и в этом	4	1
25	в свою пользу	1	1
26	прочим и о	1	1
27	во всяком случае	3	1
28	с другой стороны	2	1
29	связи с этим	1	1
30	заключается в том	2	1
31	в то время	1	1
32	в свою очередь	2	1
33	на этот раз	1	1
34	на то что	2	1
35	он сам в	1	1
36	россии в ее	1	1
37	речь идет о	1	1
