N	2gram	Nazirov_Tr_1	Narrotol
1	не только	8	31
2	но и	4	27
3	и не	7	23
4	при этом	3	19
5	может быть	7	15
6	в частности	2	14
7	как и	5	13
8	а не	1	13
9	в этом	9	12
10	только в	1	12
11	и в	18	11
12	в данном	2	11
13	тогда как	1	10
14	своего рода	3	10
15	и его	6	10
16	то есть	3	9
17	то что	4	9
18	то же	5	8
19	представляет собой	1	8
20	не может	5	8
21	данном случае	2	8
22	в том	2	8
23	уже не	2	8
24	в рассказе	2	8
25	но в	6	7
26	том что	4	7
27	у него	6	7
28	и он	3	6
29	в самом	2	6
30	не в	2	6
31	в этой	4	6
32	в себе	4	6
33	об этом	4	6
34	не мог	2	6
35	к тому	2	6
36	и т.д	1	6
37	в его	3	6
38	как бы	7	6
39	один из	3	6
40	а также	1	6
41	и на	7	5
42	перед нами	2	5
43	так и	5	5
44	в своей	1	5
45	тем самым	3	5
46	потому что	2	5
47	на другой	1	5
48	столь же	2	5
49	то в	1	4
50	в первом	2	4
51	на себя	1	4
52	еще не	4	4
53	с его	2	4
54	но не	1	4
55	как в	3	4
56	все же	5	4
57	в нем	4	4
58	в мире	3	4
59	по себе	1	4
60	в одном	2	4
61	вплоть до	1	4
62	в то	5	4
63	одна из	2	4
64	в эпизоде	1	4
65	того чтобы	1	4
66	никогда не	2	4
67	что на	1	4
68	к себе	1	4
69	в ней	1	4
70	о том	2	4
71	же время	6	4
72	к нему	3	4
73	в литературе	1	4
74	того что	1	4
75	для него	3	4
76	слова в	1	4
77	прежде всего	4	4
78	о чем	3	4
79	матери и	1	4
80	и то	2	3
81	самом деле	1	3
82	он сам	7	3
83	но как	1	3
84	в противовес	1	3
85	в центре	1	3
86	в своем	3	3
87	и как	3	3
88	в целом	4	3
89	он не	2	3
90	и с	7	3
91	при которой	1	3
92	в глазах	2	3
93	это не	5	3
94	начала и	1	3
95	еще раз	2	3
96	в ходе	2	3
97	и ее	2	3
98	стало быть	1	3
99	тем не	1	3
100	не менее	1	3
101	но они	2	3
102	как будто	3	3
103	и о	1	3
104	но при	2	3
105	еще в	2	3
106	когда в	1	3
107	о нем	1	3
108	лишь в	1	3
109	между тем	1	3
110	что он	6	3
111	могло бы	1	3
112	в финале	1	3
113	именно в	1	3
114	не было	1	3
115	как это	3	3
116	быть не	1	3
117	это уже	2	3
118	не является	1	3
119	и все	4	3
120	в поле	3	3
121	что в	4	3
122	в сфере	1	2
123	именно эта	1	2
124	мать и	1	2
125	не вполне	1	2
126	ему в	1	2
127	между собой	1	2
128	в чем	1	2
129	отличие от	2	2
130	во сне	2	2
131	отнюдь не	3	2
132	в той	1	2
133	дистанция между	1	2
134	роль в	1	2
135	на две	1	2
136	не могла	1	2
137	так сказать	1	2
138	и еще	1	2
139	и вот	1	2
140	а по	1	2
141	это было	1	2
142	я в	1	2
143	тот самый	1	2
144	этого не	1	2
145	а за	1	2
146	он и	2	2
147	в отличие	2	2
148	того кто	1	2
149	она не	1	2
150	в обоих	1	2
151	не имеет	2	2
152	ничего не	2	2
153	связи с	1	2
154	к жизни	5	2
155	как мы	1	2
156	у себя	1	2
157	с ее	3	2
158	с ним	3	2
159	ситуации и	1	2
160	времени в	2	2
161	это была	1	2
162	в форме	1	2
163	не сводится	1	2
164	чем он	2	2
165	с ними	1	2
166	дело с	1	2
167	всяком случае	1	2
168	который в	2	2
169	только на	1	2
170	до конца	2	2
171	в конце	3	2
172	к ним	1	2
173	друг друга	2	2
174	в особенности	1	2
175	и даже	4	2
176	в области	1	2
177	в результате	1	2
178	как у	2	2
179	и притом	1	2
180	что не	1	2
181	героя и	1	2
182	и стал	1	2
183	а на	1	2
184	вместе с	1	2
185	вот я	1	2
186	о его	2	2
187	рассказа но	1	2
188	в связи	1	2
189	и от	1	2
190	в году	9	2
191	тот кто	1	2
192	хотя бы	1	2
193	только что	1	2
194	к ее	1	2
195	жизни в	1	2
196	в романе	10	2
197	в таком	2	2
198	во всяком	1	2
199	если б	2	1
200	и т	1	1
201	одним из	1	1
202	рассказ об	1	1
203	чтобы не	1	1
204	сам по	1	1
205	отметим что	1	1
206	а из	1	1
207	это и	1	1
208	и есть	1	1
209	за все	1	1
210	но главное	3	1
211	и до	2	1
212	сам автор	1	1
213	например в	1	1
214	не исключено	1	1
215	то и	2	1
216	событий и	1	1
217	а теперь	1	1
218	жизни столь	1	1
219	себе этого	1	1
220	он был	2	1
221	быть в	1	1
222	могло быть	1	1
223	видит в	1	1
224	значение и	1	1
225	свою жизнь	1	1
226	с отцом	1	1
227	а он	1	1
228	отношение к	2	1
229	тут же	2	1
230	сменяющие друг	1	1
231	самого рассказчика	1	1
232	и я	2	1
233	вызывает в	1	1
234	что именно	1	1
235	так можно	1	1
236	о жизни	2	1
237	что ее	1	1
238	и наконец	1	1
239	впечатление что	2	1
240	со своей	1	1
241	в которой	1	1
242	что это	5	1
243	не понимает	1	1
244	бы не	1	1
245	к своей	1	1
246	лишний раз	1	1
247	что даже	1	1
248	как он	1	1
249	человек не	1	1
250	что она	2	1
251	одному из	1	1
252	не как	1	1
253	себе ее	1	1
254	содержит в	1	1
255	на земле	1	1
256	недостаточно чтобы	1	1
257	и по	1	1
258	таким образом	1	1
259	но все	2	1
260	этом свидетельствует	1	1
261	той же	1	1
262	его в	2	1
263	он есть	1	1
264	лишь на	1	1
265	на свои	1	1
266	но уже	1	1
267	мировой литературы	1	1
268	в ее	2	1
269	с тем	2	1
270	нет своего	1	1
271	ведет к	1	1
272	связаны между	1	1
273	этой связи	1	1
274	казалось что	1	1
275	в котором	1	1
276	что я	4	1
277	должны были	1	1
278	что этот	2	1
279	любовь к	1	1
280	что эта	1	1
281	тому что	1	1
282	раз и	2	1
283	любви и	2	1
284	не раз	1	1
285	перед смертью	1	1
286	словами о	1	1
287	того как	1	1
288	всем моим	1	1
289	судя по	1	1
290	детей и	1	1
291	по своей	1	1
292	во всем	1	1
293	мы бы	1	1
294	в момент	1	1
295	встречается в	1	1
296	мы узнаем	1	1
297	могут быть	1	1
298	не любил	1	1
299	указывает на	1	1
300	подчеркнуть что	1	1
301	самом общем	1	1
302	за самим	1	1
303	по определению	1	1
304	в виду	1	1
305	говорили что	1	1
306	и совершенно	1	1
307	и сам	3	1
308	в другом	1	1
309	в образе	6	1
310	на нее	1	1
311	не за	2	1
312	в последующих	1	1
313	мог бы	3	1
314	чем у	1	1
315	с собой	1	1
316	какой она	1	1
317	но у	1	1
318	и чтобы	1	1
319	согласие на	1	1
320	входит и	1	1
321	похожим на	1	1
322	иисуса христа	1	1
323	и здесь	2	1
324	это происходит	1	1
325	исключено что	1	1
326	на страницах	3	1
327	в глаза	2	1
328	в смерти	1	1
329	теперь и	2	1
330	для нас	1	1
331	личности героя	1	1
332	во всех	1	1
333	теперь уже	1	1
334	на ковре	1	1
335	нуждается в	1	1
336	что и	2	1
337	этом прямо	1	1
338	если за	1	1
339	весьма напоминает	1	1
340	все время	1	1
341	к ней	1	1
342	в жизнь	1	1
343	в новой	1	1
344	в двух	1	1
345	даже если	2	1
346	по мнению	2	1
347	между этими	2	1
348	с одной	1	1
349	к одному	1	1
350	на всем	2	1
351	уже в	3	1
352	героя с	1	1
353	свидетельствует о	1	1
354	не из	1	1
355	в душе	2	1
356	на столе	1	1
357	которая составляет	1	1
358	случайное и	1	1
359	не случайно	2	1
360	этими словами	1	1
361	не понимал	1	1
362	в карты	1	1
363	тем что	2	1
364	не просто	2	1
365	он понял	1	1
366	никого не	1	1
367	предчувствуя что	1	1
368	а стало	1	1
369	на уровне	1	1
370	даже не	1	1
371	до этого	1	1
372	и знает	1	1
373	говорит о	2	1
374	на этот	1	1
375	это могло	1	1
376	не верит	1	1
377	в евангелии	1	1
378	его как	1	1
379	одну из	1	1
380	со своими	1	1
381	которой он	1	1
382	с помощью	1	1
383	о себе	1	1
384	так же	4	1
385	и потому	1	1
386	опирается на	1	1
387	в человеке	1	1
388	над ним	1	1
389	что за	3	1
390	смеются над	1	1
391	не меньшей	1	1
392	наряду с	1	1
393	это его	1	1
394	бросается в	2	1
395	облекается в	1	1
396	но это	4	1
397	развернута в	1	1
398	все это	4	1
399	не смог	1	1
400	в книге	1	1
401	сам же	1	1
402	известной степени	1	1
403	при таком	1	1
404	в голову	1	1
405	но еще	1	1
406	у которого	1	1
407	противопоставляющего себя	1	1
408	в период	1	1
409	совершенно не	1	1
410	него нет	1	1
411	самой своей	1	1
412	только о	2	1
413	этим объясняется	2	1
414	не самому	1	1
415	к этой	1	1
416	начальные главы	1	1
417	по поводу	2	1
418	русской литературы	2	1
419	точно так	2	1
