N	3gram	Medvedev_F_1	Narrotol
1	в данном случае	1	8
2	в том что	1	5
3	то же время	8	4
4	и тем самым	1	4
5	в то же	8	4
6	не может быть	5	4
7	по отношению к	4	3
8	в этом отношении	1	3
9	тем не менее	1	3
10	состоит в том	1	2
11	так и не	1	2
12	до сих пор	6	2
13	сами по себе	2	2
14	в отличие от	1	2
15	но и в	1	2
16	как если бы	2	2
17	в зависимости от	2	2
18	не сводится к	2	2
19	в связи с	2	2
20	во всяком случае	4	2
21	в свою очередь	6	2
22	не только на	1	2
23	друг для друга	1	2
24	входит в состав	1	1
25	ясно что для	1	1
26	это то что	1	1
27	произведение в его	2	1
28	как один из	1	1
29	более или менее	6	1
30	не только с	1	1
31	как она есть	1	1
32	в том числе	1	1
33	же как и	1	1
34	с другой стороны	1	1
35	с точки зрения	13	1
36	и не может	2	1
37	как и все	2	1
38	и в то	1	1
39	в той же	1	1
40	в первой главе	1	1
41	бы то ни	3	1
42	как мы увидим	2	1
43	может быть вполне	1	1
44	может быть и	3	1
45	в предыдущей главе	1	1
46	не могло быть	1	1
47	в самом начале	1	1
48	то ни было	1	1
49	с одной стороны	4	1
50	дистанцию по отношению	1	1
51	и вся его	1	1
52	значения и смысла	1	1
53	и как бы	1	1
54	в эстетике и	1	1
55	связи с этим	2	1
56	самом деле в	1	1
57	мы не можем	2	1
58	как и всякий	1	1
59	том числе и	1	1
60	но все же	1	1
61	друг от друга	2	1
62	жизни не только	1	1
63	по себе но	1	1
64	к тому что	1	1
65	тем более не	1	1
66	на самом деле	6	1
67	мы уже знаем	1	1
68	быть и не	2	1
69	в отрыве от	1	1
70	но и с	1	1
71	и т д	8	1
72	как мы видели	2	1
