N	2gram	Savitsky_E_1	Tvorches
1	и в	37	21
2	как бы	6	17
3	в то	16	15
4	то же	15	13
5	времени в	1	13
6	в его	2	13
7	то есть	6	12
8	как и	7	12
9	же время	14	12
10	что в	21	12
11	с его	1	11
12	том что	6	11
13	как в	3	8
14	он не	2	8
15	то что	6	8
16	и на	6	7
17	но в	14	7
18	не только	18	7
19	при этом	1	7
20	тем самым	5	7
21	во многом	2	7
22	и не	14	7
23	в том	11	7
24	в свою	3	7
25	в этом	12	6
26	в котором	2	6
27	не менее	1	6
28	и его	1	6
29	по природе	1	6
30	он сам	2	6
31	о том	3	6
32	и все	2	6
33	для него	1	6
34	а в	2	6
35	жизни в	3	6
36	отнюдь не	9	5
37	все же	1	5
38	в этой	2	5
39	таким образом	2	5
40	вовсе не	6	5
41	в своих	2	5
42	потому что	3	5
43	как будто	2	5
44	по нашему	3	5
45	только в	9	5
46	может быть	6	5
47	нашему мнению	2	5
48	а не	2	5
49	но это	1	5
50	хотя бы	15	5
51	из всех	3	4
52	в своем	14	4
53	и как	2	4
54	та же	1	4
55	в своей	8	4
56	в мире	2	4
57	одной из	5	4
58	русской жизни	1	4
59	прежде всего	9	4
60	не может	9	4
61	и от	3	4
62	один из	1	4
63	с большой	2	4
64	ту же	1	3
65	и т	1	3
66	той же	1	3
67	среды и	1	3
68	время в	3	3
69	хотя и	2	3
70	в самом	4	3
71	представляет собой	3	3
72	в нем	1	3
73	в россии	5	3
74	на его	1	3
75	на земле	1	3
76	и по	5	3
77	что все	2	3
78	и с	2	3
79	и других	2	3
80	соответствии с	1	3
81	далеко не	2	3
82	в их	11	3
83	место в	3	3
84	представление о	2	3
85	даже в	4	3
86	дело в	3	3
87	никогда не	3	3
88	приходит к	1	3
89	с ее	1	3
90	и другие	1	3
91	с ним	1	3
92	в ту	1	3
93	того что	7	3
94	который в	1	3
95	уже не	1	3
96	уже в	1	3
97	в виде	5	3
98	говорит о	3	3
99	так как	7	3
100	в соответствии	1	3
101	и даже	6	3
102	с другой	7	3
103	но и	14	3
104	ни на	3	3
105	и будущего	1	3
106	но не	5	3
107	на берегу	1	3
108	но если	5	3
109	жизни и	2	3
110	ее в	3	3
111	это в	1	3
112	так же	9	3
113	себя как	1	2
114	того же	3	2
115	некоторые из	1	2
116	по преимуществу	2	2
117	есть не	2	2
118	в ней	4	2
119	в отличие	1	2
120	не нужно	2	2
121	людей в	1	2
122	если в	2	2
123	отличие от	1	2
124	в одной	1	2
125	что как	1	2
126	когда он	3	2
127	и наконец	2	2
128	то в	4	2
129	но его	1	2
130	в себе	9	2
131	в принципе	1	2
132	отношений между	2	2
133	не будет	3	2
134	а затем	1	2
135	о котором	1	2
136	и тем	3	2
137	в данном	3	2
138	такой же	2	2
139	и того	2	2
140	в этих	2	2
141	современного человека	1	2
142	говорит об	1	2
143	не в	5	2
144	одна из	1	2
145	и притом	4	2
146	в основе	1	2
147	иными словами	4	2
148	к ней	4	2
149	в направлении	4	2
150	могут быть	2	2
151	к тому	8	2
152	отказаться от	1	2
153	в жизни	1	2
154	данном случае	2	2
155	мысль о	1	2
156	ли с	1	2
157	и когда	1	2
158	так и	10	2
159	об этом	1	2
160	еще в	1	2
161	во второй	3	2
162	быть может	1	2
163	этой концепции	1	2
164	можно сказать	4	2
165	может не	1	2
166	и та	2	2
167	и будет	1	2
168	одного из	1	2
169	что его	1	2
170	переходит в	1	2
171	что и	3	2
172	во всей	2	2
173	вслед за	6	2
174	перед тем	1	2
175	каких бы	2	2
176	значит что	1	2
177	в двух	1	2
178	тот же	1	2
179	страх перед	1	2
180	больше чем	1	2
181	в качестве	14	2
182	следовало бы	2	2
183	от других	1	2
184	при помощи	2	2
185	из них	3	2
186	был бы	1	2
187	не означает	2	2
188	мы находим	1	2
189	раз на	1	2
190	в современном	1	2
191	к осознанию	1	2
192	именно в	4	2
193	что не	1	2
194	влияние на	2	2
195	что для	1	2
196	зависит от	1	2
197	и далее	1	2
198	с которым	1	2
199	мира в	4	2
200	все более	9	2
201	в частности	5	2
202	вместе с	2	2
203	пространства и	1	2
204	к жизни	1	2
205	еще более	2	2
206	время не	1	2
207	или в	2	2
208	и среди	1	2
209	ее и	1	2
210	из себя	1	2
211	ибо в	1	2
212	сказать что	4	2
213	себе не	3	2
214	гораздо более	1	2
215	которая приводит	1	1
216	как известно	1	1
217	эта идея	1	1
218	в сфере	3	1
219	в русских	1	1
220	же как	5	1
221	чтобы не	1	1
222	связана с	1	1
223	сплошь и	2	1
224	отметим что	1	1
225	мы но	1	1
226	но тем	1	1
227	нам кажется	7	1
228	этого мира	1	1
229	и до	1	1
230	от которых	1	1
231	и этот	2	1
232	также и	7	1
233	что если	2	1
234	и тут	2	1
235	по-разному в	1	1
236	время как	1	1
237	говорить о	1	1
238	в полной	4	1
239	нет ли	1	1
240	но даже	4	1
241	то это	1	1
242	не способен	1	1
243	оставляя открытым	1	1
244	одно из	1	1
245	по этому	1	1
246	между собой	2	1
247	всемирно-историческое значение	1	1
248	но за	1	1
249	науки с	1	1
250	нам представляется	1	1
251	столь же	5	1
252	бы то	4	1
253	во всех	6	1
254	тем как	1	1
255	совершенно прав	2	1
256	наряду с	2	1
257	его построения	1	1
258	по отношению	1	1
259	тогда как	1	1
260	то такой	1	1
261	всей силой	1	1
262	к сожалению	1	1
263	в истории	2	1
264	промежутке времени	1	1
265	с этим	2	1
266	в открытые	1	1
267	вспомним что	1	1
268	кроме того	1	1
269	и где	1	1
270	положения он	1	1
271	целый ряд	2	1
272	что по	1	1
273	к этой	1	1
274	его к	1	1
275	и к	3	1
276	таким как	1	1
277	он на	1	1
278	в этот	1	1
279	от своей	1	1
280	или иную	3	1
281	при таком	1	1
282	всего лишь	3	1
283	бы и	3	1
284	что это	2	1
285	он в	1	1
286	все эти	1	1
287	чуть ли	1	1
288	еще далеко	1	1
289	поскольку в	1	1
290	связанного с	1	1
291	в известном	3	1
292	тому же	1	1
293	и те	1	1
294	претендовать на	1	1
295	мнение что	1	1
296	выход на	2	1
297	он считает	1	1
298	и если	2	1
299	чем обычно	1	1
300	своем развитии	1	1
301	т д	1	1
302	но само	1	1
303	всех этих	1	1
304	не значит	1	1
305	не повторяет	1	1
306	не к	2	1
307	на этом	1	1
308	его можно	1	1
309	заключает в	3	1
310	находим у	1	1
311	мы обнаруживаем	1	1
312	значительной части	1	1
313	то ни	4	1
314	представляются нам	1	1
315	значение в	1	1
316	же касается	1	1
317	на ту	1	1
318	заключается в	2	1
319	это состояние	1	1
320	воспринимается как	1	1
321	было бы	8	1
322	все другие	2	1
323	лишь на	1	1
324	весь мир	1	1
325	… но	1	1
326	одни в	1	1
327	для них	2	1
328	океана и	2	1
329	в них	3	1
330	о которых	1	1
331	является более	1	1
332	с этой	6	1
333	с тем	3	1
334	одна и	2	1
335	нельзя признать	1	1
336	развития так	1	1
337	открытым вопрос	1	1
