N	2gram	Nazirov_Tv_1	Vladivir
1	и в	21	31
2	в году	7	30
3	не только	7	24
4	но и	3	19
5	то что	8	18
6	и не	7	17
7	м м	11	15
8	и даже	3	15
9	у него	7	15
10	в этом	6	14
11	том что	11	14
12	и с	3	14
13	он был	1	14
14	что в	12	14
15	там же	3	13
16	но в	7	12
17	в его	13	12
18	что он	6	12
19	с его	11	11
20	же с	2	11
21	о том	6	11
22	в том	7	11
23	между прочим	1	11
24	потому что	5	11
25	также и	1	10
26	он не	8	10
27	так что	2	10
28	никогда не	3	9
29	в конце	1	9
30	только в	5	9
31	даже и	1	9
32	а в	6	9
33	и по	3	8
34	в то	15	8
35	в дальнейшем	3	8
36	в л	1	8
37	в петербурге	4	8
38	так как	3	8
39	кроме того	1	7
40	мы уже	1	7
41	как это	1	7
42	и его	6	7
43	для него	6	7
44	об этом	2	7
45	о нем	1	7
46	в эти	1	7
47	уже в	3	7
48	как раз	1	7
49	сказать что	2	7
50	того же	2	6
51	то же	13	6
52	и к	1	6
53	н в	1	6
54	это было	1	6
55	он и	1	6
56	в котором	6	6
57	у нас	1	6
58	и сам	1	6
59	так и	2	6
60	и что	1	6
61	можно сказать	2	6
62	в качестве	2	6
63	может быть	5	6
64	на этот	1	6
65	не может	4	6
66	к этому	2	6
67	не был	3	5
68	когда он	2	5
69	это был	1	5
70	и если	1	5
71	не в	2	5
72	со своим	1	5
73	что и	2	5
74	в россию	2	5
75	вовсе не	5	5
76	но он	2	5
77	не было	1	5
78	а с	1	5
79	что же	1	5
80	все это	10	5
81	и от	4	5
82	с ним	3	5
83	жизни и	3	5
84	в своих	5	5
85	я не	3	4
86	что его	2	4
87	совсем не	1	4
88	в этой	5	4
89	в истории	1	4
90	в своем	4	4
91	хотя и	3	4
92	и как	4	4
93	говорит что	2	4
94	в этот	1	4
95	в которой	3	4
96	в себе	2	4
97	как он	1	4
98	в нем	3	4
99	в россии	3	4
100	что у	1	4
101	же касается	1	4
102	как и	12	4
103	еще в	2	4
104	в своей	4	4
105	мысли и	4	4
106	дело в	3	4
107	в нас	1	4
108	году он	1	4
109	же время	12	4
110	к ней	2	4
111	да и	1	4
112	никак не	1	4
113	к нему	1	4
114	один из	4	4
115	себя в	1	4
116	и у	2	4
117	что для	2	4
118	и все	6	4
119	м с	5	4
120	н г	2	4
121	и через	1	3
122	он как	1	3
123	но она	2	3
124	на себя	1	3
125	и он	2	3
126	это время	2	3
127	и на	7	3
128	нам представляется	1	3
129	но не	3	3
130	в в	2	3
131	отнюдь не	5	3
132	как в	8	3
133	все же	5	3
134	со своей	1	3
135	в целом	4	3
136	он в	1	3
137	все эти	1	3
138	но на	1	3
139	о которой	1	3
140	и вот	1	3
141	на его	3	3
142	здесь мы	2	3
143	то есть	12	3
144	в лондон	1	3
145	эти годы	1	3
146	всю жизнь	1	3
147	не мог	2	3
148	во время	1	3
149	но это	5	3
150	т ii	2	3
151	что этот	1	3
152	в отношении	1	3
153	и притом	2	3
154	на него	1	3
155	но только	2	3
156	всей жизни	1	3
157	вот что	1	3
158	таким образом	5	3
159	к тому	2	3
160	время он	2	3
161	в жизни	2	3
162	к его	1	3
163	жизнь и	1	3
164	свидетельствует о	2	3
165	и здесь	1	3
166	и просто	1	3
167	вся эта	1	3
168	человека как	2	3
169	конце концов	1	3
170	тот же	2	3
171	и действительно	1	3
172	уже не	3	3
173	только на	2	3
174	в виде	3	3
175	но что	1	3
176	и из	1	3
177	с другой	3	3
178	и стал	1	3
179	него не	1	3
180	в связи	1	3
181	вместе с	2	3
182	по своему	1	3
183	толстого в	1	3
184	другой стороны	1	3
185	но этот	1	3
186	и т	3	2
187	одним из	4	2
188	к своей	1	2
189	это и	3	2
190	был глубоко	1	2
191	и до	1	2
192	той же	3	2
193	на первом	2	2
194	и тут	1	2
195	в полной	1	2
196	хотя бы	5	2
197	но даже	1	2
198	еще не	1	2
199	он сам	6	2
200	в чем	2	2
201	к жизни	2	2
202	к толстому	1	2
203	и я	1	2
204	как к	2	2
205	не отрицал	2	2
206	его к	1	2
207	учение о	1	2
208	но его	2	2
209	тому же	1	2
210	что она	2	2
