1	и т п	6	11
2	с точки зрения	4	8
3	для того чтобы	1	7
4	друг с другом	2	4
5	в то же	12	4
6	то же время	12	4
7	как мы уже	1	4
8	в том же	1	4
9	и в особенности	1	3
10	к себе самому	14	3
11	и в то	5	3
12	и т д	2	3
13	в том что	1	3
14	в большинстве случаев	2	3
15	мы уже говорили	3	3
16	и прежде всего	4	3
17	и в этом	2	3
18	до сих пор	1	2
19	друг на друга	2	2
20	в этом случае	2	2
21	в этом отношении	1	2
22	может быть и	1	2
23	прежде всего в	1	2
24	потому что они	1	2
25	лежит в основе	1	2
26	протяжении всего романа	2	2
27	на протяжении всего	4	2
28	и самая форма	1	1
29	и пересекаются с	1	1
30	ни в чем	2	1
31	то что в	1	1
32	т д он	1	1
33	прямо начинается с	1	1
34	в той или	2	1
35	отношение к себе	3	1
36	там где они	1	1
37	все более и	1	1
38	он как мы	1	1
39	это вовсе не	1	1
40	даже там где	1	1
41	с самого начала	8	1
42	во всех отношениях	1	1
43	как бы уже	2	1
44	рано или поздно	1	1
45	но в конце	1	1
46	кто бы он	2	1
47	сводится к тому	2	1
48	уже говорили что	2	1
49	выходит за пределы	2	1
50	себе самому к	1	1
51	а так как	1	1
52	и как бы	1	1
53	но при этом	1	1
54	себя и других	1	1
55	себя как бы	1	1
56	на самом деле	10	1
57	что он не	1	1
58	и в другом	1	1
59	одно и то	1	1
60	то что уже	1	1
61	все это было	3	1
62	мне все равно	2	1
63	и в нем	3	1
64	быть и речи	1	1
65	рядом с этим	1	1
66	мы вовсе не	1	1
67	или иной форме	1	1
68	одного и того	1	1
69	что и в	1	1
70	с самим собою	7	1
71	до того что	1	1
72	к тому что	1	1
73	в этом выражении	1	1
74	в чем не	2	1
75	но в этом	1	1
76	в отличие от	2	1
77	и для самого	1	1
78	с такою же	1	1
79	и для других	1	1
80	вместе с тем	2	1
81	здесь еще не	1	1
82	в котором он	1	1
83	но все же	1	1
84	но только в	1	1
85	о том что	2	1
86	не может быть	6	1
87	и стремится к	1	1
88	уст в уста	1	1
89	и у других	1	1
90	что на самом	1	1
91	т п если	1	1
92	в тот же	1	1
93	он не мог	1	1
94	каждый из них	2	1
95	и наконец в	2	1
96	тех же тонах	1	1
97	из уст в	1	1
98	и все его	1	1
99	дело идет о	1	1
100	те же явления	1	1
101	как бы в	1	1
102	имеет громадное значение	1	1
103	той или иной	2	1
104	можно сказать что	1	1
105	а вовсе не	2	1
106	вовсе не является	1	1
107	и во всем	1	1
108	бы он ни	3	1
109	в данном случае	1	1
110	он ни был	3	1
111	в свою очередь	1	1
112	а вместе с	1	1
113	как для других	1	1
114	себе самому и	5	1
115	более и более	1	1
116	в уста в	1	1
117	с другой стороны	3	1
118	и того же	1	1
119	сих пор еще	1	1
120	и вместе с	1	1
121	в конце концов	3	1
122	как и в	1	1
123	но в то	3	1
124	для него самого	1	1
125	это как бы	1	1
126	как и все	2	1
127	как и во	1	1
128	со всех сторон	1	1
129	как мы видели	2	1
130	как бы ни	1	1
131	конце концов он	1	1
132	и то же	1	1
