N	3gram	Tiupa_Disk_2	KulturaY
1	в том что	6	15
2	с точки зрения	2	9
3	по отношению к	4	8
4	в самом деле	1	7
5	с другой стороны	1	6
6	о том что	3	5
7	в этом отношении	4	5
8	по крайней мере	1	5
9	во всяком случае	1	5
10	мере в какой	1	5
11	той мере в	1	5
12	в той мере	1	5
13	что же касается	2	4
14	не в том	1	4
15	тем не менее	1	4
16	состоит в том	2	3
17	в соответствии с	2	3
18	того или иного	1	3
19	а с другой	1	3
20	не может быть	3	3
21	и того же	2	2
22	в этом случае	2	2
23	в иных случаях	1	2
24	в первую очередь	2	2
25	что в них	1	2
26	на мой взгляд	2	2
27	в целом и	1	2
28	так и в	3	2
29	по большей части	2	2
30	в свое время	2	2
31	то же время	5	2
32	речь идет о	1	2
33	одного и того	2	2
34	в то же	4	2
35	но прежде всего	1	1
36	и может быть	2	1
37	в сочетании с	2	1
38	прежде всего на	1	1
39	не говоря уже	1	1
40	с совершенно иными	1	1
41	и там где	1	1
42	с одной стороны	4	1
43	но не менее	1	1
44	и в то	1	1
45	можно говорить о	1	1
46	в отличие от	12	1
47	в наше время	2	1
48	но для этого	1	1
49	отнюдь не является	1	1
50	одно и то	2	1
51	в это время	1	1
52	в применении к	1	1
53	оно не проявляется	1	1
54	целом и в	1	1
55	и то же	2	1
56	в одно и	1	1
57	в качестве нового	1	1
58	та или иная	1	1
59	которое было ему	1	1
60	из той же	1	1
61	при этом в	2	1
62	лицом к лицу	1	1
63	и все же	3	1
64	это еще не	2	1
65	между тем как	1	1
66	по аналогии с	1	1
67	дело не с	1	1
68	все же остается	1	1
69	той или иной	3	1
70	друг от друга	1	1
71	во втором случае	1	1
72	в большинстве случаев	1	1
73	все то что	1	1
