N	4gram	Losev_Prob_1	Marksizm
1	одного и того же	2	5
2	в связи с этим	1	3
3	на самом же деле	1	2
4	но в то же	1	2
5	так же как и	1	2
6	и с точки зрения	1	1
7	в связи с переходом	1	1
8	взятая сама по себе	4	1
9	с точки зрения самого	1	1
10	не сводимую ни к	1	1
11	имеют ничего общего с	1	1
12	не имеют ничего общего	4	1
13	не выходит за пределы	1	1
14	сводится к тому что	1	1
15	сводимую ни к каким	1	1
16	но конечно далеко не	1	1
17	мы на самом деле	1	1
18	вещи и как мы	1	1
19	не чем иным как	1	1
20	до сих пор мы	2	1
21	одним и тем же	1	1
