N	3gram	Losev_Vlad_1	Formalny
1	не может быть	3	14
2	в то же	4	7
3	то же время	4	7
4	во всяком случае	2	6
5	и т д	2	6
6	с другой стороны	3	5
7	в самом деле	1	4
8	и не может	1	4
9	в связи с	1	4
10	бы то ни	1	4
11	то ни было	1	4
12	для того чтобы	2	4
13	в этом отношении	1	3
14	вместе с тем	1	3
15	в одной плоскости	1	3
16	в том что	7	3
17	раз и навсегда	1	3
18	нет и не	1	2
19	в этом смысле	4	2
20	нам кажется что	1	2
21	самом же деле	1	2
22	и в то	2	2
23	на самом же	1	2
24	только то что	1	2
25	дело в том	4	2
26	так и в	1	2
27	не только не	1	2
28	к тому что	1	2
29	тем не менее	2	2
30	дело не в	1	2
31	мы уже знаем	1	2
32	смысле этого слова	1	2
33	в конце концов	3	2
34	но и все	1	1
35	так и не	1	1
36	у них совершенно	1	1
37	вовсе не есть	1	1
38	и как это	1	1
39	в настоящее время	1	1
40	чего бы то	1	1
41	в том же	1	1
42	один и тот	2	1
43	так и его	1	1
44	что же касается	4	1
45	то мы можем	1	1
46	на первый план	2	1
47	а следовательно и	1	1
48	он не был	1	1
49	мы перешли к	1	1
50	но в данном	1	1
51	нужно прибавить что	2	1
52	с тем что	1	1
53	и в литературе	1	1
54	но и здесь	1	1
55	в россии и	1	1
56	так как он	2	1
57	так или иначе	1	1
58	в это время	1	1
59	и что в	1	1
60	что он был	1	1
61	и для всех	1	1
62	место в этом	1	1
63	не потому что	1	1
64	не только в	2	1
65	с одной стороны	1	1
66	и тот же	2	1
67	и вместе с	1	1
68	до настоящего времени	1	1
69	и той же	1	1
70	о том что	7	1
71	одной плоскости с	1	1
72	ни в каком	1	1
73	в этом же	1	1
74	и никогда не	1	1
75	но отнюдь не	1	1
76	можно сказать что	2	1
77	на то что	4	1
78	раз он и	1	1
79	одной и той	1	1
80	и в том	1	1
81	в конце жизни	1	1
82	случае не может	1	1
83	в жизни и	1	1
84	кроме того в	1	1
85	и только в	1	1
