N	2gram	Ircho_Kome_3	Marksizm
1	точки зрения	4	34
2	может быть	6	26
3	и не	21	26
4	не может	3	24
5	с точки	3	20
6	и его	6	19
7	и в	22	19
8	таким образом	12	17
9	в этом	8	16
10	как бы	3	15
11	прежде всего	5	13
12	как мы	2	13
13	как и	3	12
14	и для	4	11
15	связи с	5	11
16	так и	4	11
17	если мы	2	11
18	в нем	3	10
19	в слове	1	10
20	ни было	2	10
21	в самом	9	10
22	самом деле	6	10
23	только в	1	9
24	в результате	2	9
25	все же	4	8
26	бы то	2	8
27	при этом	7	8
28	сих пор	9	8
29	до сих	9	8
30	но и	4	8
31	то что	4	8
32	то ни	3	8
33	друг друга	4	8
34	не только	5	8
35	все эти	1	7
36	в связи	4	7
37	так же	4	7
38	во всех	2	7
39	в ее	3	7
40	но в	5	7
41	то же	7	7
42	и те	1	7
43	в каждом	1	7
44	а не	4	7
45	и здесь	4	6
46	того же	6	6
47	с помощью	4	6
48	настоящее время	1	6
49	мы не	2	6
50	в смысле	1	6
51	в настоящее	1	6
52	в том	12	6
53	в его	8	6
54	отнюдь не	4	6
55	ничего не	3	6
56	является не	1	6
57	другой стороны	2	6
58	в основном	1	6
59	в пределах	2	6
60	во всяком	3	5
61	вовсе не	4	5
62	и все	2	5
63	не в	4	5
64	хотя бы	4	5
65	в конце	7	5
66	ничего общего	1	5
67	те же	1	5
68	того чтобы	6	5
69	в начале	3	5
70	отличие от	2	5
71	до конца	4	5
72	и потому	1	5
73	ясно что	6	5
74	в отличие	1	5
75	за пределы	2	5
76	с другой	4	5
77	к этому	6	5
78	конечно не	3	5
79	мы знаем	2	5
80	еще не	6	4
81	вопрос о	1	4
82	и тот	3	4
83	не будет	2	4
84	не менее	5	4
85	а в	7	4
86	между ними	2	4
87	в отношении	4	4
88	жизни в	1	4
89	что в	5	4
90	здесь мы	1	4
91	с этим	3	4
92	нет и	4	4
93	и на	2	4
94	как в	2	4
95	выражение в	1	4
96	тот же	2	4
97	для того	6	4
98	не столько	1	4
99	отношении к	1	4
100	от того	2	4
101	далеко не	3	4
102	и эта	1	4
103	самого начала	4	4
104	с самого	4	4
105	и между	1	4
106	в ней	4	4
107	сказать что	1	4
108	было бы	3	4
109	не является	4	4
110	только на	1	4
111	к одному	1	4
112	войти в	1	3
113	в которой	3	3
114	же время	5	3
115	конце концов	2	3
116	первом случае	1	3
117	можно сказать	1	3
118	место в	1	3
119	в достаточной	1	3
120	к этим	1	3
121	и ее	2	3
122	не было	2	3
123	в большинстве	1	3
124	в какой	3	3
125	с другими	2	3
126	в своей	5	3
127	не дает	4	3
128	места в	1	3
129	его в	8	3
130	но все	4	3
131	сводится к	1	3
132	нуждается в	2	3
133	одной из	3	3
134	совершенно не	2	3
135	между тем	2	3
136	этом случае	2	3
137	по отношению	5	3
138	и к	3	3
139	а как	2	3
140	этом отношении	2	3
141	следует что	3	3
142	общего с	1	3
143	он является	1	3
144	в то	6	3
145	и от	1	3
146	в сущности	2	3
147	он не	5	3
148	в истории	1	3
149	в первом	1	3
150	в котором	2	3
151	к другому	1	3
152	не могут	2	3
153	нет ничего	2	3
154	и как	1	3
155	не имеет	3	3
156	на этот	3	3
157	нашей работы	1	3
158	все это	5	3
159	в области	2	3
160	целый ряд	2	3
161	знак в	1	3
162	формы и	1	3
163	одного из	3	3
164	эта последняя	1	3
165	и это	2	3
166	из них	5	3
167	же самое	3	3
168	том что	13	3
169	одним из	2	2
170	или иначе	2	2
171	в себе	4	2
172	себе отчет	1	2
173	не знает	3	2
174	и с	4	2
175	бы в	4	2
176	в частности	3	2
177	в другом	2	2
178	из этих	1	2
179	числе и	1	2
180	ситуации и	1	2
181	или в	1	2
182	жизни и	1	2
183	в двух	3	2
184	от этого	1	2
185	на первый	1	2
186	до тех	3	2
187	для нашей	1	2
188	себя от	2	2
189	отношению к	3	2
190	для них	1	2
191	но при	2	2
192	как с	1	2
193	и их	1	2
194	в эти	1	2
195	в сознании	1	2
196	как раз	6	2
197	и во	2	2
198	от их	1	2
199	следовательно не	1	2
200	в понимании	1	2
201	не найдем	1	2
202	точке зрения	1	2
203	если он	2	2
204	то в	1	2
205	там и	1	2
206	и только	1	2
207	пока не	1	2
208	между собой	4	2
209	с этой	3	2
210	конечно в	1	2
211	в таком	2	2
212	к каким	1	2
213	отчет в	1	2
214	но если	3	2
215	независимо от	1	2
216	для данного	1	2
217	к своему	2	2
218	никогда не	3	2
219	и даже	3	2
220	и других	1	2
221	из которых	2	2
222	мог бы	1	2
223	противоречие между	1	2
224	из этого	2	2
225	в качестве	2	2
226	нет никакой	1	2
227	что не	3	2
228	к его	1	2
229	на смену	1	2
230	к тому	6	2
231	нового времени	2	2
232	времени не	1	2
233	как он	3	2
234	в чем	1	2
235	к этой	2	2
236	между первым	1	2
237	зависимости от	1	2
238	является источником	1	2
239	в одной	1	2
240	ни в	10	2
241	за пределами	2	2
242	этот момент	1	2
243	всяком случае	3	2
244	тем что	5	2
245	в объяснении	1	2
246	это делает	1	2
247	той же	1	2
248	не могло	1	2
249	или к	1	2
250	что все	1	2
251	точку зрения	1	2
252	нет ни	2	2
253	и та	1	2
254	могут быть	1	2
255	тому что	2	2
256	и он	2	2
257	тем не	3	2
258	которой она	1	2
259	мы можем	3	2
260	она не	2	2
261	переживания и	1	2
262	как к	1	2
263	что и	8	2
264	язык и	1	2
265	в действительности	1	2
266	не как	2	2
267	ни к	1	2
268	в своих	2	2
269	том числе	1	2
270	в нашем	1	2
271	этого материала	1	2
272	эта мысль	1	2
273	этом вопросе	1	2
274	не приходится	2	2
275	первый план	1	2
276	о том	8	2
277	одним словом	1	2
278	свою очередь	6	2
279	от нее	3	2
280	друга в	1	2
281	что он	8	2
282	ни одной	2	2
283	в основе	2	2
284	и речи	4	2
285	достаточной степени	1	2
286	себе и	1	2
287	в виду	2	2
288	так как	11	2
289	можно было	2	2
290	человека в	2	2
291	если бы	8	2
292	все остальные	2	2
293	тех пор	3	2
294	в первой	1	2
295	в своем	8	2
296	в свою	7	2
297	во втором	1	2
298	ней в	2	1
299	его от	2	1
300	не допускает	1	1
301	что между	1	1
302	не могла	3	1
303	и там	1	1
304	каждом из	1	1
305	и совершенно	1	1
306	и всякого	1	1
307	которую она	1	1
308	образом и	1	1
309	не входит	1	1
310	приводит к	3	1
311	бы по	2	1
312	и наконец	1	1
313	раз эта	1	1
314	его на	2	1
315	человек и	1	1
316	в обеих	1	1
317	говорить о	3	1
318	о действительности	1	1
319	на пути	1	1
320	аналогии с	2	1
321	бы к	1	1
322	бы на	1	1
323	в устах	1	1
324	зрения самого	1	1
325	формуле для	1	1
326	иным как	1	1
327	достаточно назвать	1	1
328	нет в	1	1
329	на которые	3	1
330	может служить	1	1
331	здесь и	2	1
332	ней нет	1	1
333	они были	1	1
334	и лишь	1	1
335	здесь не	2	1
336	такой и	1	1
337	можно сделать	1	1
338	удовлетворительного ответа	1	1
339	особенно в	1	1
340	за ней	2	1
341	выходит за	1	1
342	и вся	1	1
