N	4gram	Losev_Dial_4	Vladivir
1	дело в том что	1	4
2	и в этом смысле	2	3
3	не имеет ничего общего	2	2
4	в то же время	6	2
5	на самом же деле	1	2
6	и в то же	2	2
7	в том случае если	1	2
8	ничего не говорит о	2	2
9	это значит что есть	1	2
10	имеет ничего общего с	2	2
11	и тем не менее	1	1
12	это значит что тут	1	1
13	а это значит что	1	1
14	и то в чем	1	1
15	и то и другое	1	1
16	ровно ничего не говорит	3	1
17	перед нами не просто	1	1
18	в каком отношении не	1	1
19	это ровно ничего не	1	1
20	указать на то что	1	1
21	возникает вопрос о том	1	1
22	имеет никакого отношения к	2	1
23	не что иное как	8	1
24	иметь в виду что	1	1
25	с этой точки зрения	2	1
26	ни в каком смысле	1	1
27	не имеет никакого отношения	2	1
28	ни в каком отношении	1	1
29	мы должны сказать что	1	1
30	в каком смысле не	1	1
31	и ни в каком	1	1
