N	3gram	Voloshinov_2	Vladivir
1	в том что	6	9
2	в связи с	7	8
3	во всяком случае	2	6
4	тем не менее	1	6
5	по крайней мере	2	4
6	как мы знаем	1	4
7	дело в том	1	3
8	более или менее	2	3
9	с точки зрения	13	3
10	в отличие от	3	3
11	в то же	8	3
12	так или иначе	1	3
13	то же время	8	3
14	о том что	3	3
15	никакого отношения к	1	3
16	не говоря уже	1	2
17	на то что	2	2
18	том что он	2	2
19	нам кажется что	1	2
20	как мы сказали	3	2
21	говоря уже о	1	2
22	сам по себе	1	2
23	не только в	1	2
24	в последнее время	1	2
25	в свою очередь	5	2
26	само по себе	1	2
27	а именно к	1	2
28	как мы видели	3	2
29	что иное как	1	1
30	так сказать с	1	1
31	в какой мере	1	1
32	ни к чему	1	1
33	прежде всего на	1	1
34	чуть ли не	1	1
35	так же и	1	1
36	именно здесь в	1	1
37	мы уже сказали	1	1
38	в том числе	1	1
39	и в более	1	1
40	было не так	1	1
41	в этом случае	1	1
42	той же самой	1	1
43	он не может	1	1
44	они не могут	1	1
45	до сих пор	3	1
46	бы то ни	4	1
47	а может быть	1	1
48	не было бы	2	1
49	в этом отношении	1	1
50	в собственном смысле	2	1
51	себе не может	1	1
52	мужчины и женщины	1	1
53	по себе в	1	1
54	и не в	3	1
55	может быть и	5	1
56	во франции и	1	1
57	до известной степени	1	1
58	было конечно не	1	1
59	это было не	1	1
60	до конца и	1	1
61	но в то	5	1
62	есть но он	1	1
63	в высшей степени	3	1
64	и все его	1	1
65	как и везде	1	1
66	мы знаем в	1	1
67	у него с	1	1
68	собственном смысле слова	2	1
69	в первую очередь	1	1
70	и основан на	1	1
71	и в том	1	1
72	не может быть	10	1
73	в той же	1	1
74	во всех своих	1	1
75	и в свою	1	1
76	но тем не	1	1
77	последнее время в	1	1
78	к чему не	1	1
79	так и из	1	1
80	здесь как и	1	1
81	но помимо этого	1	1
82	на первых порах	1	1
83	с самого начала	5	1
84	и прежде всего	2	1
85	в самом деле	5	1
86	то что его	1	1
87	но все же	1	1
88	можно сказать что	1	1
89	этому нужно прибавить	1	1
90	именно в смысле	1	1
91	как мы уже	3	1
92	но во всяком	1	1
93	к этому нужно	1	1
94	конечно не в	1	1
95	не что иное	1	1
96	он есть но	1	1
97	для того чтобы	6	1
98	к тому же	2	1
99	в отрыве от	1	1
100	уже с самого	1	1
101	является как бы	1	1
